kind,alpha,calibration_units,rank,threshold,exceedances,success_calibration_episodes,method,fold
episode,0.01,550,546,2.69961267240423,4,550,behavior_contrast__current,libero_goal_20260908
episode,0.03,550,535,1.7484905562456998,15,550,behavior_contrast__current,libero_goal_20260908
episode,0.05,550,524,1.6004680087237753,26,550,behavior_contrast__current,libero_goal_20260908
episode,0.1,550,496,1.3965006253826016,54,550,behavior_contrast__current,libero_goal_20260908
episode,0.15,550,469,1.3237214497051741,81,550,behavior_contrast__current,libero_goal_20260908
episode,0.2,550,441,1.24955003435563,109,550,behavior_contrast__current,libero_goal_20260908
task_init,0.01,70,71,inf,0,550,behavior_contrast__current,libero_goal_20260908
task_init,0.03,70,69,6.345331159301066,1,550,behavior_contrast__current,libero_goal_20260908
task_init,0.05,70,68,5.7968591165369565,2,550,behavior_contrast__current,libero_goal_20260908
task_init,0.1,70,64,2.214320668965056,6,550,behavior_contrast__current,libero_goal_20260908
task_init,0.15,70,61,2.000861188805189,9,550,behavior_contrast__current,libero_goal_20260908
task_init,0.2,70,57,1.7484905562456998,13,550,behavior_contrast__current,libero_goal_20260908
episode,0.01,550,546,1.8544871525335416,4,550,behavior_contrast__cumsum,libero_goal_20260908
episode,0.03,550,535,1.2938509368552058,15,550,behavior_contrast__cumsum,libero_goal_20260908
episode,0.05,550,524,1.228467708657849,26,550,behavior_contrast__cumsum,libero_goal_20260908
episode,0.1,550,496,1.0571972836075598,54,550,behavior_contrast__cumsum,libero_goal_20260908
episode,0.15,550,469,0.9679965963331739,81,550,behavior_contrast__cumsum,libero_goal_20260908
episode,0.2,550,441,0.9185861934238213,109,550,behavior_contrast__cumsum,libero_goal_20260908
task_init,0.01,70,71,inf,0,550,behavior_contrast__cumsum,libero_goal_20260908
task_init,0.03,70,69,2.133353040099748,1,550,behavior_contrast__cumsum,libero_goal_20260908
task_init,0.05,70,68,1.9776777554908664,2,550,behavior_contrast__cumsum,libero_goal_20260908
task_init,0.1,70,64,1.4720905196957725,6,550,behavior_contrast__cumsum,libero_goal_20260908
task_init,0.15,70,61,1.3384398556069688,9,550,behavior_contrast__cumsum,libero_goal_20260908
task_init,0.2,70,57,1.2638460121090644,13,550,behavior_contrast__cumsum,libero_goal_20260908
episode,0.01,550,546,16.71262525754949,4,550,stats_success__current,libero_goal_20260908
episode,0.03,550,535,6.526310929257567,15,550,stats_success__current,libero_goal_20260908
episode,0.05,550,524,5.2382577719206225,26,550,stats_success__current,libero_goal_20260908
episode,0.1,550,496,4.352499073153331,54,550,stats_success__current,libero_goal_20260908
episode,0.15,550,469,3.9263891219903173,81,550,stats_success__current,libero_goal_20260908
episode,0.2,550,441,3.666806813195112,109,550,stats_success__current,libero_goal_20260908
task_init,0.01,70,71,inf,0,550,stats_success__current,libero_goal_20260908
task_init,0.03,70,69,18.420419938810088,1,550,stats_success__current,libero_goal_20260908
task_init,0.05,70,68,15.84259069787354,2,550,stats_success__current,libero_goal_20260908
task_init,0.1,70,64,7.316011342480749,6,550,stats_success__current,libero_goal_20260908
task_init,0.15,70,61,5.258780904481295,9,550,stats_success__current,libero_goal_20260908
task_init,0.2,70,57,4.947588263455387,13,550,stats_success__current,libero_goal_20260908
episode,0.01,550,546,10.625394961336607,4,550,stats_success__cumsum,libero_goal_20260908
episode,0.03,550,535,4.958716807321013,15,550,stats_success__cumsum,libero_goal_20260908
episode,0.05,550,524,4.4186535993209075,26,550,stats_success__cumsum,libero_goal_20260908
episode,0.1,550,496,3.6665211233927826,54,550,stats_success__cumsum,libero_goal_20260908
episode,0.15,550,469,3.3341056326505067,81,550,stats_success__cumsum,libero_goal_20260908
episode,0.2,550,441,3.0473784931283645,109,550,stats_success__cumsum,libero_goal_20260908
task_init,0.01,70,71,inf,0,550,stats_success__cumsum,libero_goal_20260908
task_init,0.03,70,69,12.613151352975104,1,550,stats_success__cumsum,libero_goal_20260908
task_init,0.05,70,68,9.977887068054809,2,550,stats_success__cumsum,libero_goal_20260908
task_init,0.1,70,64,4.987934562310295,6,550,stats_success__cumsum,libero_goal_20260908
task_init,0.15,70,61,4.733738123816174,9,550,stats_success__cumsum,libero_goal_20260908
task_init,0.2,70,57,3.9997741985960893,13,550,stats_success__cumsum,libero_goal_20260908
episode,0.01,550,546,5.854058411936945,4,550,entropy_low__current,libero_goal_20260908
episode,0.03,550,535,3.4504060626293978,15,550,entropy_low__current,libero_goal_20260908
episode,0.05,550,524,2.8831414359500616,26,550,entropy_low__current,libero_goal_20260908
episode,0.1,550,496,2.4412526857854235,54,550,entropy_low__current,libero_goal_20260908
episode,0.15,550,469,2.311033529229326,81,550,entropy_low__current,libero_goal_20260908
episode,0.2,550,441,2.197509545985021,109,550,entropy_low__current,libero_goal_20260908
task_init,0.01,70,71,inf,0,550,entropy_low__current,libero_goal_20260908
task_init,0.03,70,69,5.209513126437563,1,550,entropy_low__current,libero_goal_20260908
task_init,0.05,70,68,4.789653754951038,2,550,entropy_low__current,libero_goal_20260908
task_init,0.1,70,64,3.4504060626293978,6,550,entropy_low__current,libero_goal_20260908
task_init,0.15,70,61,2.935124984602942,9,550,entropy_low__current,libero_goal_20260908
task_init,0.2,70,57,2.6958996924133802,13,550,entropy_low__current,libero_goal_20260908
episode,0.01,550,546,0.01862243621122928,4,550,entropy_low__cumsum,libero_goal_20260908
episode,0.03,550,535,0.015114148734343453,15,550,entropy_low__cumsum,libero_goal_20260908
episode,0.05,550,524,0.013192648526155105,26,550,entropy_low__cumsum,libero_goal_20260908
