kind,alpha,calibration_units,rank,threshold,exceedances,success_calibration_episodes,method,fold
episode,0.01,541,537,10.356704843231345,4,541,stats_contrast__current,libero_long_20260908_cap1024
episode,0.03,541,526,4.2566266241110595,15,541,stats_contrast__current,libero_long_20260908_cap1024
episode,0.05,541,515,3.8118309026479973,26,541,stats_contrast__current,libero_long_20260908_cap1024
episode,0.1,541,488,3.1644099069943894,53,541,stats_contrast__current,libero_long_20260908_cap1024
episode,0.15,541,461,2.795127718091994,80,541,stats_contrast__current,libero_long_20260908_cap1024
episode,0.2,541,434,2.503794406475179,107,541,stats_contrast__current,libero_long_20260908_cap1024
task_init,0.01,70,71,inf,0,541,stats_contrast__current,libero_long_20260908_cap1024
task_init,0.03,70,69,12.705075155933383,1,541,stats_contrast__current,libero_long_20260908_cap1024
task_init,0.05,70,68,11.76090897797919,2,541,stats_contrast__current,libero_long_20260908_cap1024
task_init,0.1,70,64,8.997114568168282,6,541,stats_contrast__current,libero_long_20260908_cap1024
task_init,0.15,70,61,6.217745730914441,9,541,stats_contrast__current,libero_long_20260908_cap1024
task_init,0.2,70,57,4.194401386093159,13,541,stats_contrast__current,libero_long_20260908_cap1024
episode,0.01,541,537,2.7599127680091278,4,541,stats_contrast__cumsum,libero_long_20260908_cap1024
episode,0.03,541,526,2.239812190902662,15,541,stats_contrast__cumsum,libero_long_20260908_cap1024
episode,0.05,541,515,1.9502475877906815,26,541,stats_contrast__cumsum,libero_long_20260908_cap1024
episode,0.1,541,488,1.7664808690026799,53,541,stats_contrast__cumsum,libero_long_20260908_cap1024
episode,0.15,541,461,1.5725802471141757,80,541,stats_contrast__cumsum,libero_long_20260908_cap1024
episode,0.2,541,434,1.4463171960269696,107,541,stats_contrast__cumsum,libero_long_20260908_cap1024
task_init,0.01,70,71,inf,0,541,stats_contrast__cumsum,libero_long_20260908_cap1024
task_init,0.03,70,69,2.9257930150806266,1,541,stats_contrast__cumsum,libero_long_20260908_cap1024
task_init,0.05,70,68,2.7599127680091278,2,541,stats_contrast__cumsum,libero_long_20260908_cap1024
task_init,0.1,70,64,2.239812190902662,6,541,stats_contrast__cumsum,libero_long_20260908_cap1024
task_init,0.15,70,61,2.081509305378933,9,541,stats_contrast__cumsum,libero_long_20260908_cap1024
task_init,0.2,70,57,1.891509244827876,13,541,stats_contrast__cumsum,libero_long_20260908_cap1024
