suite,representation,query,episodes,failure_episodes,failure_median_radius,success_median_radius,pooled_auroc,within_task_macro_auroc,tasks_with_both_outcomes
libero_goal,routing,7,3877,106,0.9365855185075693,0.9951872796637682,0.45934965451334164,0.5932759397309433,8
libero_goal,dynamics,7,3877,106,1.3855706963038323,1.601147508925911,0.40988076832630355,0.5201002756496818,8
libero_goal,routing,14,601,106,1.1834786103014674,1.0787447182659984,0.7812845435486945,0.6714770073448701,5
libero_goal,dynamics,14,601,106,2.158836811072982,1.5275758165683522,0.6203926052982657,0.550710744831939,5
libero_goal,routing,21,124,106,1.2140014802216452,1.1665138332489042,0.5780922431865828,0.6711601307189543,4
libero_goal,dynamics,21,124,106,3.947574732499571,3.3188015847836567,0.5786163522012578,0.6045751633986929,4
libero_long,routing,7,4000,274,0.9187128071386503,1.016020343340624,0.29103145777746436,0.586808676371404,10
libero_long,dynamics,7,4000,274,3.4190058765409077,1.6343715399334937,0.778346870090232,0.5446483029360057,10
libero_long,routing,14,4000,274,0.996069336679964,0.9713370185494188,0.5495786170175253,0.5942262745497546,10
libero_long,dynamics,14,4000,274,3.485971498394376,2.602429987118006,0.7002411540917836,0.657498812560555,10
libero_long,routing,21,3457,274,0.958360968624248,1.0110023243316102,0.3928167660770838,0.570706561303837,10
libero_long,dynamics,21,3457,274,3.2409026323659598,2.4730180557637507,0.6784170467653203,0.7484079048748088,10
libero_object,routing,7,4000,44,1.129077904338318,0.9311617376897259,0.8439252229065171,0.8638368179927212,8
libero_object,dynamics,7,4000,44,3.1539027835843747,2.652657636915092,0.6796695468333487,0.6749298336377347,8
libero_object,routing,14,1342,44,1.1787270935649552,1.034209456267682,0.7607157865247233,0.755296840531965,8
libero_object,dynamics,14,1342,44,4.74036778979694,3.57216225339184,0.7136678806555541,0.7974883306356115,8
libero_object,routing,21,53,44,1.1809856835334802,1.042588138404927,0.7878787878787878,0.7514285714285714,5
libero_object,dynamics,21,53,44,6.1574964672044405,2.319937338641894,0.7954545454545454,0.7777777777777778,5
libero_spatial,routing,7,3986,140,1.0703947597007286,0.9784356250302108,0.7283188470395959,0.7325792397553371,10
libero_spatial,dynamics,7,3986,140,1.9273192322933088,1.9369063904969956,0.5157882029566897,0.5857556020072496,10
libero_spatial,routing,14,164,140,1.2667418186745498,1.0853300273691462,0.8202380952380952,0.7859240289689986,8
libero_spatial,dynamics,14,164,140,4.58939591976317,3.1722078532345126,0.7255952380952381,0.6287005949190183,8
libero_spatial,routing,21,142,140,1.3397666184899655,1.3332461347504723,0.5142857142857142,0.7916666666666667,2
libero_spatial,dynamics,21,142,140,11.041554255885114,11.183889527756051,0.5321428571428571,0.5,2
