corpus,divergence,temporal,window,t,auc,auc_resid,n_pos,n_neg
A,hell|prev,mean,3,20,0.524378,0.595636,117,155
A,hell|prev,mean,5,20,0.516195,0.623935,117,155
A,hell|prev,mean,8,20,0.405728,0.5,117,155
A,hell|prev,mean,12,20,0.47119,0.536652,117,155
A,hell|prev,mean,20,20,0.418343,0.462325,117,155
A,hell|prev,max,3,20,0.518923,0.587453,117,155
A,hell|prev,max,5,20,0.43164,0.504262,117,155
A,hell|prev,max,8,20,0.389021,0.444596,117,155
A,hell|prev,max,12,20,0.401977,0.445619,117,155
A,hell|prev,max,20,20,0.390044,0.431299,117,155
A,hell|prev,min,3,20,0.502216,0.558814,117,155
A,hell|prev,min,5,20,0.516877,0.558132,117,155
A,hell|prev,min,8,20,0.441527,0.485169,117,155
A,hell|prev,min,12,20,0.447665,0.466076,117,155
A,hell|prev,min,20,20,0.437095,0.43539,117,155
A,hell|prev,median,3,20,0.530515,0.591885,117,155
A,hell|prev,median,5,20,0.509035,0.591885,117,155
A,hell|prev,median,8,20,0.424139,0.481759,117,155
A,hell|prev,median,12,20,0.468121,0.537675,117,155
A,hell|prev,median,20,20,0.412547,0.434027,117,155
A,hell|prev,std,3,20,0.541766,0.565292,117,155
A,hell|prev,std,5,20,0.416638,0.455165,117,155
A,hell|prev,std,8,20,0.432322,0.456188,117,155
A,hell|prev,std,12,20,0.510399,0.526083,117,155
A,hell|prev,std,20,20,0.487555,0.538357,117,155
A,hell|prev,slope,3,20,0.5179,0.51449,117,155
A,hell|prev,slope,5,20,0.547221,0.557109,117,155
A,hell|prev,slope,8,20,0.553358,0.594272,117,155
A,hell|prev,slope,12,20,0.51074,0.542448,117,155
A,hell|prev,slope,20,20,0.508353,0.620184,117,155
A,hell|prev,ewm0.15,3,20,0.530856,0.594954,117,155
A,hell|prev,ewm0.15,5,20,0.5179,0.609956,117,155
A,hell|prev,ewm0.15,8,20,0.491647,0.602455,117,155
A,hell|prev,ewm0.15,12,20,0.486533,0.601773,117,155
A,hell|prev,ewm0.15,20,20,0.472554,0.58643,117,155
A,hell|prev,ewm0.30,3,20,0.535629,0.603819,117,155
A,hell|prev,ewm0.30,5,20,0.518923,0.602796,117,155
A,hell|prev,ewm0.30,8,20,0.520627,0.608251,117,155
A,hell|prev,ewm0.30,12,20,0.514149,0.60416,117,155
A,hell|prev,ewm0.30,20,20,0.512786,0.603478,117,155
A,hell|prev,ewm0.50,3,20,0.546198,0.609274,117,155
A,hell|prev,ewm0.50,5,20,0.536993,0.614047,117,155
A,hell|prev,ewm0.50,8,20,0.539379,0.616434,117,155
A,hell|prev,ewm0.50,12,20,0.539039,0.61507,117,155
A,hell|prev,ewm0.50,20,20,0.539039,0.61507,117,155
A,hell|prev,fracbelow_q10,3,20,0.491476,0.393283,117,155
A,hell|prev,fracbelow_q10,5,20,0.505285,0.426355,117,155
A,hell|prev,fracbelow_q10,8,20,0.50716,0.430788,117,155
A,hell|prev,fracbelow_q10,12,20,0.562905,0.523014,117,155
A,hell|prev,fracbelow_q10,20,20,0.572281,0.57211,117,155
A,hell|prev,fracbelow_q25,3,20,0.498466,0.446812,117,155
A,hell|prev,fracbelow_q25,5,20,0.46761,0.422946,117,155
A,hell|prev,fracbelow_q25,8,20,0.486703,0.440334,117,155
A,hell|prev,fracbelow_q25,12,20,0.522162,0.486192,117,155
A,hell|prev,fracbelow_q25,20,20,0.561712,0.55404,117,155
A,hell|prev,fracabove_q75,3,20,0.538357,0.580293,117,155
A,hell|prev,fracabove_q75,5,20,0.518241,0.586771,117,155
A,hell|prev,fracabove_q75,8,20,0.448005,0.509376,117,155
A,hell|prev,fracabove_q75,12,20,0.496079,0.570406,117,155
A,hell|prev,fracabove_q75,20,20,0.441016,0.494374,117,155
A,hell|prev,fracabove_q90,3,20,0.528981,0.577566,117,155
A,hell|prev,fracabove_q90,5,20,0.489942,0.565292,117,155
A,hell|prev,fracabove_q90,8,20,0.418854,0.481418,117,155
A,hell|prev,fracabove_q90,12,20,0.448005,0.500852,117,155
A,hell|prev,fracabove_q90,20,20,0.406921,0.46403,117,155
A,hell|prev,cum_over_t,0,20,0.418343,0.462325,117,155
A,hell|prev,ewmall0.15,0,20,0.472554,0.58643,117,155
A,hell|prev,ewmall0.30,0,20,0.512786,0.603478,117,155
A,hell|prev,ewmall0.50,0,20,0.539039,0.61507,117,155
A,bc|prev,mean,3,20,0.471872,0.404364,117,155
A,bc|prev,mean,5,20,0.494374,0.38834,117,155
A,bc|prev,mean,8,20,0.603478,0.580293,117,155
A,bc|prev,mean,12,20,0.538698,0.475963,117,155
A,bc|prev,mean,20,20,0.5791,0.529151,117,155
A,bc|prev,max,3,20,0.489942,0.433004,117,155
A,bc|prev,max,5,20,0.470849,0.427549,117,155
A,bc|prev,max,8,20,0.52523,0.483805,117,155
A,bc|prev,max,12,20,0.55029,0.529151,117,155
A,bc|prev,max,20,20,0.577566,0.578248,117,155
A,bc|prev,min,3,20,0.476134,0.411865,117,155
A,bc|prev,min,5,20,0.569724,0.492329,117,155
A,bc|prev,min,8,20,0.606546,0.55745,117,155
A,bc|prev,min,12,20,0.57927,0.533924,117,155
A,bc|prev,min,20,20,0.59359,0.554381,117,155
A,bc|prev,median,3,20,0.473236,0.414252,117,155
A,bc|prev,median,5,20,0.491135,0.410501,117,155
A,bc|prev,median,8,20,0.584044,0.528128,117,155
A,bc|prev,median,12,20,0.53955,0.468121,117,155
A,bc|prev,median,20,20,0.566996,0.544153,117,155
A,bc|prev,std,3,20,0.534947,0.573815,117,155
A,bc|prev,std,5,20,0.412888,0.472554,117,155
A,bc|prev,std,8,20,0.418684,0.460961,117,155
A,bc|prev,std,12,20,0.46778,0.509035,117,155
A,bc|prev,std,20,20,0.459598,0.516536,117,155
A,bc|prev,slope,3,20,0.488237,0.492329,117,155
A,bc|prev,slope,5,20,0.454483,0.447665,117,155
A,bc|prev,slope,8,20,0.444255,0.397545,117,155
