corpus,thresh,det,det_resid
A,global_q0.50,0.7754858506648483,0.6406409819297647
A,global_q0.60,0.7923627684964201,0.6501875213092397
A,global_q0.70,0.7765086941697921,0.5987043982270712
A,global_q0.75,0.8010569382884418,0.6464370951244459
A,global_q0.80,0.7913399249914763,0.6743948175929083
A,global_q0.90,0.6602454824411865,0.594272076372315
A,global_q0.95,0.5586430276167746,0.5871121718377088
A,branch_own_q75,0.7638936242754859,0.6338220252301398
B,global_q0.50,0.6802788844621513,0.5378486055776892
B,global_q0.60,0.749003984063745,0.6354581673306773
B,global_q0.70,0.7534860557768924,0.6289840637450199
B,global_q0.75,0.7420318725099602,0.6344621513944223
B,global_q0.80,0.728585657370518,0.62699203187251
B,global_q0.90,0.5963645418326693,0.5049800796812749
B,global_q0.95,0.5483067729083665,0.5204183266932271
B,branch_own_q75,0.6264940239043825,0.5054780876494024
