spec,note,t20_A,t20_B,t25_A,t25_B,t30_A,res30_A,t30_B,res30_B
hell|prev|mean|W8,BASELINE (stated),0.594272,0.644422,0.634504,0.5249,0.798841,0.5,0.750996,0.5
hell|prev|mean|W12,longer window,0.52881,0.665837,0.65462,0.540837,0.807364,0.652233,0.768924,0.596614
hell|prev|ewmall0.15|W0,full-history EWM a=0.15,0.5274460000000001,0.671315,0.685646,0.513446,0.799523,0.603819,0.775896,0.634462
hell|prev|ewm0.15|W12,"windowed EWM a=0.15, W=12",0.513467,0.671813,0.689056,0.50747,0.804637,0.616434,0.77739,0.633466
hell|prev|fracabove_q75|W12,burst count (the near-miss),0.5039210000000001,0.595867,0.628708,0.502988,0.801057,0.646437,0.742032,0.634462
hell|prev|median|W3,short median,0.530515,0.601594,0.645414,0.505478,0.755881,0.544494,0.787351,0.630478
hell|prev|max|W3,short max,0.518923,0.554781,0.673031,0.581673,0.776679,0.610297,0.723606,0.545817
hell|prev|std|W8,window std,0.567678,0.561255,0.538698,0.518426,0.612683,0.51449,0.547809,0.512948
hell|prev|slope|W8,window slope,0.553358,0.508466,0.563246,0.551793,0.729287,0.573474,0.744024,0.610558
hell|prev|cum_over_t|W0,cumulative / t,0.581657,0.670319,0.530174,0.576693,0.742925,0.525401,0.763944,0.595618
emd|prev|mean|W8,EMD instead of Hellinger,0.5226729999999999,0.600598,0.583021,0.540837,0.76611,0.551995,0.742032,0.548805
hell|runmean|mean|W8,vs own running mean,0.575179,0.539841,0.595636,0.528884,0.699966,0.5513129999999999,0.651892,0.5104580000000001
dent_abs|mean|W8,|entropy change|,0.504603,0.583665,0.613706,0.580179,0.64371,0.521991,0.643426,0.533865
dtop1_abs|mean|W8,|top-1 mass change|,0.540743,0.581175,0.545857,0.61753,0.675077,0.551313,0.641932,0.57495
