experiment,unit,event,leg,signal,lead,effect,ci_lo,ci_hi,p_maxT,n_groups,n_groups_pos,n_groups_neg,n_events_used,n_pairs
E3,U1_main_S8,static,raw,D_tok,-4,-0.383473,-0.46653,-0.300417,0.013993,11,0,11,111,1605
E3,U1_main_S8,static,raw,D_tok,-3,-0.377514,-0.475029,-0.28,0.013993,11,0,10,111,1575
E3,U1_main_S8,static,raw,D_tok,-2,-0.361723,-0.479746,-0.2437,0.014993,11,1,10,111,1509
E3,U1_main_S8,static,raw,D_tok,-1,-0.400143,-0.464967,-0.335318,0.013993,11,0,11,111,1390
E3,U1_main_S8,static,raw,D_tok,0,-0.374777,-0.50214,-0.247413,0.014993,11,1,10,111,1209
E3,U1_main_S8,static,raw,D_tok,1,-0.331494,-0.45242,-0.210569,0.028486,11,1,10,110,1035
E3,U1_main_S8,static,raw,D_tok,2,-0.326647,-0.509238,-0.144055,0.028486,11,2,9,107,911
E3,U1_main_S8,static,raw,C,-4,0.38374,0.299395,0.468085,0.013993,11,11,0,111,1605
E3,U1_main_S8,static,raw,C,-3,0.37835,0.2777,0.478999,0.013993,11,10,0,111,1575
E3,U1_main_S8,static,raw,C,-2,0.361889,0.244278,0.479499,0.014993,11,10,1,111,1509
E3,U1_main_S8,static,raw,C,-1,0.400736,0.336325,0.465146,0.013993,11,11,0,111,1390
E3,U1_main_S8,static,raw,C,0,0.375124,0.247177,0.503071,0.014993,11,10,1,111,1209
E3,U1_main_S8,static,raw,C,1,0.334037,0.215403,0.452672,0.027486,11,10,1,110,1035
E3,U1_main_S8,static,raw,C,2,0.334187,0.135182,0.533192,0.027486,11,10,1,107,911
E3,U1_main_S8,static,raw,S_ent,-4,0.114749,0.00367,0.225827,0.874563,11,8,3,111,1605
E3,U1_main_S8,static,raw,S_ent,-3,0.126853,-0.010812,0.264518,0.795102,11,8,3,111,1575
E3,U1_main_S8,static,raw,S_ent,-2,0.171932,0.052501,0.291363,0.475262,11,9,2,111,1509
E3,U1_main_S8,static,raw,S_ent,-1,0.245888,0.14505,0.346726,0.162919,11,11,0,111,1390
E3,U1_main_S8,static,raw,S_ent,0,0.334305,0.233864,0.434745,0.024988,11,11,0,111,1209
E3,U1_main_S8,static,raw,S_ent,1,0.353376,0.276604,0.430148,0.015492,11,11,0,110,1035
E3,U1_main_S8,static,raw,S_ent,2,0.42349,0.341111,0.505869,0.004498,11,11,0,107,911
