unit,lead,n_events_in_paired_groups,n_drop_before_start,n_drop_after_episode_end,n_alive,n_used,median_n_controls,min_n_controls,total_n_controls
U1_main_S8,-4,111,0,0,111,111,14.0,3,1605
U1_main_S8,-3,111,0,0,111,111,14.0,2,1575
U1_main_S8,-2,111,0,0,111,111,11.0,2,1509
U1_main_S8,-1,111,0,0,111,111,11.0,1,1390
U1_main_S8,0,111,0,0,111,111,11.0,1,1209
U1_main_S8,1,111,0,0,111,110,9.0,2,1035
U1_main_S8,2,111,0,3,108,107,7.0,1,911
U2_grid_S8,-4,69,0,0,69,69,4.0,1,263
U2_grid_S8,-3,69,0,0,69,69,4.0,1,259
U2_grid_S8,-2,69,0,0,69,68,4.0,1,252
U2_grid_S8,-1,69,0,0,69,67,3.0,1,233
U2_grid_S8,0,69,0,0,69,67,3.0,1,208
U2_grid_S8,1,69,0,1,68,64,3.0,1,176
U2_grid_S8,2,69,0,1,68,63,2.0,1,154
U3_grid_objaware,-4,93,0,0,93,46,3.0,1,145
U3_grid_objaware,-3,93,0,0,93,45,3.0,1,142
U3_grid_objaware,-2,93,0,0,93,45,3.0,1,142
U3_grid_objaware,-1,93,0,0,93,45,3.0,1,132
U3_grid_objaware,0,93,0,0,93,43,3.0,1,117
U3_grid_objaware,1,93,0,9,84,37,3.0,1,100
U3_grid_objaware,2,93,0,13,80,34,3.0,1,97
