cohort,group,detector,episodes,risk_n,timely_n,late_n,persistent_n,alarms,tp,fp,fn,tn,risk_recall,timely_fpr,precision,late_recall,persistent_recall,detected_risk_lead_median,early2_risk_recall,early4_risk_recall,early8_risk_recall,early12_risk_recall
development_main,libero_goal,freeze_only_auto,4000,102,3898,1,101,48,48,0,54,3898,0.47058823529411764,0.0,1.0,0.0,0.4752475247524752,5.0,0.37254901960784315,0.28431372549019607,0.18627450980392157,0.17647058823529413
development_main,libero_goal,published_v7,4000,102,3898,1,101,70,70,0,32,3898,0.6862745098039216,0.0,1.0,0.0,0.693069306930693,4.0,0.5882352941176471,0.47058823529411764,0.21568627450980393,0.19607843137254902
development_main,libero_goal,turbulence_only_auto,4000,102,3898,1,101,74,72,2,30,3896,0.7058823529411765,0.000513083632632119,0.972972972972973,0.0,0.7128712871287128,5.0,0.6078431372549019,0.5098039215686274,0.2549019607843137,0.20588235294117646
development_main,libero_goal,unlabeled_budget_guard,4000,102,3898,1,101,54,52,2,50,3896,0.5098039215686274,0.000513083632632119,0.9629629629629629,0.0,0.5148514851485149,6.0,0.39215686274509803,0.3235294117647059,0.22549019607843138,0.18627450980392157
development_main,libero_long,freeze_only_auto,2800,222,2578,18,204,208,176,32,46,2546,0.7927927927927928,0.012412723041117145,0.8461538461538461,0.5555555555555556,0.8137254901960784,18.0,0.7702702702702703,0.7612612612612613,0.7342342342342343,0.6261261261261262
development_main,libero_long,published_v7,2800,222,2578,18,204,247,187,60,35,2518,0.8423423423423423,0.023273855702094646,0.757085020242915,0.5555555555555556,0.8676470588235294,19.0,0.8333333333333334,0.8153153153153153,0.7792792792792793,0.6801801801801802
development_main,libero_long,turbulence_only_auto,2800,222,2578,18,204,292,197,95,25,2483,0.8873873873873874,0.036850271528316526,0.6746575342465754,0.6111111111111112,0.9117647058823529,19.0,0.8738738738738738,0.8603603603603603,0.8423423423423423,0.7477477477477478
development_main,libero_long,unlabeled_budget_guard,2800,222,2578,18,204,263,191,72,31,2506,0.8603603603603603,0.027928626842513578,0.7262357414448669,0.6111111111111112,0.8823529411764706,18.0,0.8333333333333334,0.8243243243243243,0.8018018018018018,0.7072072072072072
development_main,libero_object,freeze_only_auto,4000,37,3963,4,33,22,20,2,17,3961,0.5405405405405406,0.0005046681806712087,0.9090909090909091,0.5,0.5454545454545454,6.0,0.5135135135135135,0.40540540540540543,0.13513513513513514,0.0
development_main,libero_object,published_v7,4000,37,3963,4,33,30,23,7,14,3956,0.6216216216216216,0.0017663386323492304,0.7666666666666667,0.75,0.6060606060606061,8.0,0.5945945945945946,0.5405405405405406,0.32432432432432434,0.0
