failure_type,prefix_queries,token_family,layer_group,denoise_step,metric,top_quartile_failure_rate,bottom_quartile_failure_rate,failure_rate_difference,ci95_low,ci95_high,permutation_p_raw,permutation_p_maxT,n_top,n_bottom
stagnation,1,action,front_2_5,3,consensus_distance,0.3125,0.4375,-0.125,-0.38461539149284363,0.2666666805744171,0.527363184079602,1.0,16,16
stagnation,1,state,front_2_5,2,entropy,0.4375,0.3125,0.125,-0.2142857164144516,0.4000000059604645,0.527363184079602,1.0,16,16
stagnation,1,state,front_2_5,6,top1_mass,0.375,0.25,0.125,-0.2142857164144516,0.4000000059604645,0.527363184079602,1.0,16,16
stagnation,1,action,back_12_15,1,token_dispersion,0.3125,0.4375,-0.125,-0.4375,0.3125,0.5323383084577115,1.0,16,16
stagnation,1,action,back_12_15,2,consensus_distance,0.25,0.375,-0.125,-0.2777777910232544,0.13333334028720856,0.5323383084577115,1.0,16,16
stagnation,1,action,front_2_5,8,top1_mass,0.3125,0.1875,0.125,-0.125,0.4615384638309479,0.5373134328358209,1.0,16,16
stagnation,1,action,front_2_5,2,consensus_distance,0.25,0.375,-0.125,-0.3125,0.13333334028720856,0.5472636815920398,1.0,16,16
stagnation,1,state,back_12_15,8,entropy,0.4375,0.3125,0.125,-0.25,0.5175000146031372,0.5472636815920398,1.0,16,16
stagnation,1,action,back_12_15,5,token_dispersion,0.3125,0.4375,-0.125,-0.3499999940395355,0.18416667059063835,0.5522388059701493,1.0,16,16
stagnation,1,action,back_12_15,7,consensus_distance,0.25,0.375,-0.125,-0.375,0.1428571492433548,0.5522388059701493,1.0,16,16
stagnation,1,state,back_12_15,0,top1_mass,0.4375,0.3125,0.125,-0.20000000298023224,0.4375,0.5522388059701493,1.0,16,16
stagnation,1,action,back_12_15,3,token_dispersion,0.3125,0.4375,-0.125,-0.4375,0.3125,0.5621890547263682,1.0,16,16
stagnation,1,action,back_12_15,5,entropy,0.375,0.25,0.125,-0.25,0.4875000052154058,0.5671641791044776,1.0,16,16
stagnation,1,action,front_2_5,5,token_dispersion,0.25,0.375,-0.125,-0.38461539149284363,0.09487179666757506,0.5671641791044776,1.0,16,16
stagnation,1,action,front_2_5,9,consensus_distance,0.3125,0.1875,0.125,0.0,0.2857142984867096,0.5671641791044776,1.0,16,16
stagnation,1,state,front_2_5,7,entropy,0.375,0.25,0.125,-0.36833334118127814,0.5,0.5771144278606966,1.0,16,16
stagnation,1,state,front_2_5,7,top1_mass,0.375,0.5,-0.125,-0.5833333134651184,0.3333333432674408,0.5771144278606966,1.0,16,16
stagnation,1,state,front_2_5,9,consensus_distance,0.5,0.375,0.125,-0.2857142984867096,0.46666666865348816,0.582089552238806,1.0,16,16
stagnation,1,state,back_12_15,4,top1_mass,0.3125,0.1875,0.125,-0.07692307978868484,0.2777777910232544,0.5870646766169154,1.0,16,16
stagnation,1,action,back_12_15,3,entropy,0.375,0.25,0.125,-0.18416667059063907,0.3499999940395355,0.5920398009950248,1.0,16,16
stagnation,1,action,back_12_15,4,entropy,0.375,0.25,0.125,-0.18416667059063907,0.3499999940395355,0.5920398009950248,1.0,16,16
stagnation,1,action,front_2_5,1,entropy,0.375,0.25,0.125,-0.13333334028720856,0.3125,0.6218905472636815,1.0,16,16
stagnation,1,action,front_2_5,8,token_dispersion,0.1875,0.3125,-0.125,-0.3125,0.13333334028720856,0.6218905472636815,1.0,16,16
stagnation,1,state,back_12_15,2,entropy,0.3125,0.375,-0.0625,-0.2972527593374252,0.11764705926179886,0.7810945273631841,1.0,16,16
stagnation,1,action,back_12_15,8,token_dispersion,0.375,0.4375,-0.0625,-0.30828947275876994,0.20000000298023224,0.7960199004975125,1.0,16,16
stagnation,1,state,front_2_5,2,consensus_distance,0.3125,0.25,0.0625,-0.18416667059063907,0.2222222238779068,0.8059701492537313,1.0,16,16
stagnation,1,action,back_12_15,6,entropy,0.375,0.3125,0.0625,-0.4087499976158142,0.48602941259741717,0.8159203980099502,1.0,16,16
stagnation,1,action,front_2_5,6,consensus_distance,0.3125,0.25,0.0625,-0.15414473637938497,0.4000000059604645,0.8159203980099502,1.0,16,16
stagnation,1,action,front_2_5,6,top1_mass,0.1875,0.125,0.0625,0.0,0.20000000298023224,0.8159203980099502,1.0,16,16
stagnation,1,state,back_12_15,3,entropy,0.3125,0.25,0.0625,-0.2901260629296303,0.4642307713627814,0.8159203980099502,1.0,16,16
stagnation,1,action,back_12_15,7,top1_mass,0.3125,0.375,-0.0625,-0.3571428656578064,0.20000000298023224,0.8208955223880597,1.0,16,16
stagnation,1,action,back_12_15,9,entropy,0.3125,0.25,0.0625,-0.23076923191547394,0.2777777910232544,0.8208955223880597,1.0,16,16
stagnation,1,action,back_12_15,7,token_dispersion,0.375,0.4375,-0.0625,-0.30828947275876994,0.20000000298023224,0.8258706467661692,1.0,16,16
stagnation,1,action,front_2_5,7,consensus_distance,0.3125,0.25,0.0625,-0.23076923191547394,0.375,0.8258706467661692,1.0,16,16
stagnation,1,state,front_2_5,9,top1_mass,0.375,0.4375,-0.0625,-0.4285714328289032,0.23529411852359772,0.8258706467661692,1.0,16,16
stagnation,1,action,back_12_15,6,top1_mass,0.3125,0.375,-0.0625,-0.3645220629870891,0.3076923191547394,0.8308457711442786,1.0,16,16
stagnation,1,action,front_2_5,8,consensus_distance,0.25,0.3125,-0.0625,-0.3076923191547394,0.125,0.8308457711442786,1.0,16,16
stagnation,1,state,back_12_15,2,top1_mass,0.375,0.3125,0.0625,-0.2631579041481018,0.38461539149284363,0.8308457711442786,1.0,16,16
stagnation,1,action,front_2_5,0,consensus_distance,0.25,0.3125,-0.0625,-0.3076923191547394,0.125,0.835820895522388,1.0,16,16
stagnation,1,action,front_2_5,1,consensus_distance,0.25,0.3125,-0.0625,-0.2857142984867096,0.18226103149354433,0.835820895522388,1.0,16,16
stagnation,1,state,front_2_5,5,entropy,0.375,0.3125,0.0625,-0.3715659417212009,0.3529411852359772,0.835820895522388,1.0,16,16
stagnation,1,state,front_2_5,4,consensus_distance,0.3125,0.375,-0.0625,-0.47058823704719543,0.4615384638309479,0.8407960199004975,1.0,16,16
stagnation,1,state,front_2_5,8,entropy,0.375,0.3125,0.0625,-0.3147058933973312,0.5384615659713745,0.8407960199004975,1.0,16,16
stagnation,1,action,back_12_15,5,top1_mass,0.3125,0.375,-0.0625,-0.21052631735801697,0.1538461595773697,0.845771144278607,1.0,16,16
stagnation,1,action,front_2_5,6,entropy,0.1875,0.25,-0.0625,-0.2857142984867096,0.1466071490198372,0.845771144278607,1.0,16,16
stagnation,1,state,front_2_5,1,top1_mass,0.375,0.3125,0.0625,-0.25875000730156894,0.4000000059604645,0.845771144278607,1.0,16,16
stagnation,1,state,front_2_5,6,consensus_distance,0.25,0.3125,-0.0625,-0.4000000059604645,0.21052631735801697,0.845771144278607,1.0,16,16
stagnation,1,action,back_12_15,0,top1_mass,0.375,0.3125,0.0625,-0.1111111119389534,0.2857142984867096,0.8507462686567164,1.0,16,16
stagnation,1,action,back_12_15,3,consensus_distance,0.25,0.3125,-0.0625,-0.2222222238779068,0.18416667059063835,0.8507462686567164,1.0,16,16
stagnation,1,action,back_12_15,4,top1_mass,0.3125,0.375,-0.0625,-0.21052631735801697,0.1538461595773697,0.8507462686567164,1.0,16,16
stagnation,1,action,front_2_5,2,token_dispersion,0.3125,0.375,-0.0625,-0.2972527593374252,0.1428571492433548,0.8507462686567164,1.0,16,16
stagnation,1,action,front_2_5,3,token_dispersion,0.3125,0.375,-0.0625,-0.2972527593374252,0.1428571492433548,0.8507462686567164,1.0,16,16
