failure_type,prefix_queries,model,feature_scope,n_failure_branches,n_type_positive,brier,log_loss,noise_action_reference,brier_improvement_vs_rate,brier_relative_improvement_vs_rate,brier_improvement_vs_noise_action
stagnation,1,failure_rate_only,absolute,86,21,0.20386732173012895,0.6100260617315059,noise+action,0.0,0.0,0.02978889144039698
stagnation,1,noise+action,absolute,86,21,0.23365621317052593,0.7903509869207396,noise+action,-0.02978889144039698,-0.14611901106853345,0.0
stagnation,1,moe_action,absolute,86,21,0.3072194435500189,2.300799404854015,noise+action,-0.10335212181988995,-0.5069577651915356,-0.07356323037949297
stagnation,1,moe_state,absolute,86,21,0.22775642260865886,1.0087100763118584,noise+action,-0.023889100878529912,-0.11717964740888344,0.005899790561867069
stagnation,1,moe_action+state,absolute,86,21,0.2956887684678823,2.445424995102964,noise+action,-0.09182144673775333,-0.45039806261497234,-0.06203255529735635
stagnation,1,noise+action+moe_action,absolute,86,21,0.30485433186809335,2.3860469872391015,noise+action,-0.1009870101379644,-0.4953565352256248,-0.07119811869756743
stagnation,1,noise+action+moe_action+state,absolute,86,21,0.2961738630665182,2.4374023966196487,noise+action,-0.09230654133638927,-0.452777524877581,-0.06251764989599229
stagnation,1,noise+action_within_snapshot,within_snapshot_centered,86,21,0.21509298792820064,0.6583130486769192,noise+action_within_snapshot,-0.011225666198071693,-0.055063587939472525,0.0
stagnation,1,moe_action_within_snapshot,within_snapshot_centered,86,21,0.2171107183669238,0.6560033509655147,noise+action_within_snapshot,-0.013243396636794857,-0.0649608604478844,-0.0020177304387231643
stagnation,1,moe_state_within_snapshot,within_snapshot_centered,86,21,0.1956128997644341,1.287539708540588,noise+action_within_snapshot,0.008254421965694841,0.04048918627881765,0.019480088163766535
stagnation,1,moe_action+state_within_snapshot,within_snapshot_centered,86,21,0.21120007112429445,0.837649749109845,noise+action_within_snapshot,-0.007332749394165505,-0.0359682431295796,0.003892916803906188
stagnation,1,noise+action+moe_action_within_snapshot,within_snapshot_centered,86,21,0.21603749329506095,0.6503437137334943,noise+action_within_snapshot,-0.012170171564931997,-0.05969652939789125,-0.0009445053668603043
stagnation,1,noise+action+moe_action+state_within_snapshot,within_snapshot_centered,86,21,0.20734186536776056,0.8117182766476749,noise+action_within_snapshot,-0.0034745436376316108,-0.017043161248917894,0.007751122560440082
stagnation,3,failure_rate_only,absolute,86,21,0.20386732173012895,0.6100260617315059,noise+action,0.0,0.0,0.03298716283407771
stagnation,3,noise+action,absolute,86,21,0.23685448456420666,0.9871933016922234,noise+action,-0.03298716283407771,-0.16180701523976823,0.0
stagnation,3,moe_action,absolute,86,21,0.25640803820773,1.0604606488119535,noise+action,-0.05254071647760106,-0.25772014873061544,-0.019553553643523347
stagnation,3,moe_state,absolute,86,21,0.3068117001132005,2.4473543138809104,noise+action,-0.10294437838307158,-0.5049577220587861,-0.06995721554899387
stagnation,3,moe_action+state,absolute,86,21,0.2857839196745137,2.5909008644702154,noise+action,-0.08191659794438477,-0.4018132835080972,-0.04892943511030706
stagnation,3,noise+action+moe_action,absolute,86,21,0.25939002265097794,1.0525409233420875,noise+action,-0.05552270092084899,-0.2723472327475201,-0.02253553808677128
stagnation,3,noise+action+moe_action+state,absolute,86,21,0.2866530597973702,2.677081563033155,noise+action,-0.08278573806724127,-0.40607654706343554,-0.049798575233163556
stagnation,3,noise+action_within_snapshot,within_snapshot_centered,86,21,0.220013339058792,0.7265006997455816,noise+action_within_snapshot,-0.016146017328663054,-0.07919865327919733,0.0
stagnation,3,moe_action_within_snapshot,within_snapshot_centered,86,21,0.21578372950698213,0.7990125112264642,noise+action_within_snapshot,-0.011916407776853183,-0.05845177969536298,0.004229609551809871
stagnation,3,moe_state_within_snapshot,within_snapshot_centered,86,21,0.225534841057613,1.0990775109494046,noise+action_within_snapshot,-0.021667519327484064,-0.10628245441006294,-0.00552150199882101
stagnation,3,moe_action+state_within_snapshot,within_snapshot_centered,86,21,0.2191375113651873,0.748334231627019,noise+action_within_snapshot,-0.015270189635058357,-0.07490258617941917,0.0008758276936046971
stagnation,3,noise+action+moe_action_within_snapshot,within_snapshot_centered,86,21,0.21923562829187465,0.8052894363825144,noise+action_within_snapshot,-0.015368306561745704,-0.07538386452189541,0.00077771076691735
stagnation,3,noise+action+moe_action+state_within_snapshot,within_snapshot_centered,86,21,0.21884537508464003,0.7563648274839914,noise+action_within_snapshot,-0.014978053354511078,-0.0734696136065318,0.0011679639741519754
loop_or_cycling,1,failure_rate_only,absolute,86,60,0.23275799752402151,0.6659687641973502,noise+action,0.0,0.0,0.023859545853334357
loop_or_cycling,1,noise+action,absolute,86,60,0.2566175433773559,0.77810455277908,noise+action,-0.023859545853334357,-0.10250795292596535,0.0
loop_or_cycling,1,moe_action,absolute,86,60,0.2220909544432854,0.6520939996787224,noise+action,0.010667043080736127,0.0458289003781073,0.034526588934070485
loop_or_cycling,1,moe_state,absolute,86,60,0.2348724413135654,0.7149288484167092,noise+action,-0.002114443789543896,-0.009084301343182322,0.02174510206379046
loop_or_cycling,1,moe_action+state,absolute,86,60,0.22572307769027802,0.6399900343997788,noise+action,0.0070349198337434915,0.030224180945780225,0.03089446568707785
loop_or_cycling,1,noise+action+moe_action,absolute,86,60,0.22216971142154596,0.6419903207892043,noise+action,0.010588286102475558,0.045490536158194976,0.034447831955809916
loop_or_cycling,1,noise+action+moe_action+state,absolute,86,60,0.22573559555362488,0.649234785047344,noise+action,0.007022401970396636,0.030170400351858574,0.030881947823730993
loop_or_cycling,1,noise+action_within_snapshot,within_snapshot_centered,86,60,0.2574179324021243,0.7512429721144347,noise+action_within_snapshot,-0.02465993487810278,-0.10594667053516724,0.0
loop_or_cycling,1,moe_action_within_snapshot,within_snapshot_centered,86,60,0.2658309648353685,0.7730824953138633,noise+action_within_snapshot,-0.033072967311346985,-0.14209164738983343,-0.008413032433244205
loop_or_cycling,1,moe_state_within_snapshot,within_snapshot_centered,86,60,0.23607942301404733,1.4125388246592177,noise+action_within_snapshot,-0.0033214254900258144,-0.014269866235994879,0.021338509388076965
loop_or_cycling,1,moe_action+state_within_snapshot,within_snapshot_centered,86,60,0.2400129654375522,0.8460497680077158,noise+action_within_snapshot,-0.007254967913530697,-0.03116957522708519,0.017404966964572083
loop_or_cycling,1,noise+action+moe_action_within_snapshot,within_snapshot_centered,86,60,0.26469854822017225,0.7671531819457571,noise+action_within_snapshot,-0.03194055069615073,-0.13722643705445328,-0.007280615818047953
loop_or_cycling,1,noise+action+moe_action+state_within_snapshot,within_snapshot_centered,86,60,0.23764657217729682,0.8237436251789138,noise+action_within_snapshot,-0.004888574653275302,-0.021002821407976678,0.019771360224827478
loop_or_cycling,3,failure_rate_only,absolute,86,60,0.23275799752402151,0.6659687641973502,noise+action,0.0,0.0,0.029921026485899754
loop_or_cycling,3,noise+action,absolute,86,60,0.26267902400992127,0.9517638746438297,noise+action,-0.029921026485899754,-0.12854993944004778,0.0
loop_or_cycling,3,moe_action,absolute,86,60,0.21089197816326424,0.6306350888147143,noise+action,0.02186601936075727,0.09394314950875368,0.051787045846657026
loop_or_cycling,3,moe_state,absolute,86,60,0.41749968356911077,1.908835891045242,noise+action,-0.18474168604508925,-0.7937071465225302,-0.1548206595591895
loop_or_cycling,3,moe_action+state,absolute,86,60,0.3733706853551025,1.2982615432007598,noise+action,-0.14061268783108097,-0.6041153873416066,-0.11069166134518121
loop_or_cycling,3,noise+action+moe_action,absolute,86,60,0.210707478271772,0.6196918958831195,noise+action,0.022050519252249517,0.09473581783145311,0.05197154573814927
loop_or_cycling,3,noise+action+moe_action+state,absolute,86,60,0.37066944319080036,1.2760578164431018,noise+action,-0.13791144566677885,-0.5925100195646161,-0.1079904191808791
loop_or_cycling,3,noise+action_within_snapshot,within_snapshot_centered,86,60,0.25469851473241106,0.7809319889936849,noise+action_within_snapshot,-0.02194051720838955,-0.09426321519253147,0.0
loop_or_cycling,3,moe_action_within_snapshot,within_snapshot_centered,86,60,0.270669404866297,0.81862041333587,noise+action_within_snapshot,-0.037911407342275466,-0.1628790750288306,-0.015970890133885918
loop_or_cycling,3,moe_state_within_snapshot,within_snapshot_centered,86,60,0.294476137133115,1.0383270652240857,noise+action_within_snapshot,-0.061718139609093475,-0.26516012453116217,-0.03977762240070393
loop_or_cycling,3,moe_action+state_within_snapshot,within_snapshot_centered,86,60,0.30057549941212447,0.9705725989235768,noise+action_within_snapshot,-0.06781750188810295,-0.2913648622582944,-0.045876984679713406
loop_or_cycling,3,noise+action+moe_action_within_snapshot,within_snapshot_centered,86,60,0.2734906088605547,0.8355113634078434,noise+action_within_snapshot,-0.04073261133653319,-0.17499983575142003,-0.018792094128143644
loop_or_cycling,3,noise+action+moe_action+state_within_snapshot,within_snapshot_centered,86,60,0.3009127844047644,0.9768336036930948,noise+action_within_snapshot,-0.06815478688074286,-0.2928139424025979,-0.046214269672353314
drop_or_regrasp,1,failure_rate_only,absolute,86,11,0.11618188589724987,0.4040555841162521,noise+action,0.0,0.0,0.015368668523447065
drop_or_regrasp,1,noise+action,absolute,86,11,0.13155055442069694,0.6153328952215504,noise+action,-0.015368668523447065,-0.13228110737536974,0.0
drop_or_regrasp,1,moe_action,absolute,86,11,0.2338106636416091,1.050817625006166,noise+action,-0.11762877774435923,-1.0124536784364904,-0.10226010922091217
drop_or_regrasp,1,moe_state,absolute,86,11,0.13957525661290607,0.5196307094945436,noise+action,-0.023393370715656198,-0.20135127378070852,-0.008024702192209132
drop_or_regrasp,1,moe_action+state,absolute,86,11,0.18325883029307413,0.8548820804155504,noise+action,-0.06707694439582426,-0.5773442553269144,-0.051708275872377196
drop_or_regrasp,1,noise+action+moe_action,absolute,86,11,0.22186160504319558,1.0270444582195788,noise+action,-0.1056797191459457,-0.9096058161717896,-0.09031105062249864
drop_or_regrasp,1,noise+action+moe_action+state,absolute,86,11,0.16614974130844315,0.790077660645748,noise+action,-0.04996785541119328,-0.4300830118679978,-0.034599186887746214
drop_or_regrasp,1,noise+action_within_snapshot,within_snapshot_centered,86,11,0.12243330338137697,0.44736613270566633,noise+action_within_snapshot,-0.006251417484127095,-0.053807161381902405,0.0
drop_or_regrasp,1,moe_action_within_snapshot,within_snapshot_centered,86,11,0.13333882806745118,0.8037704430984278,noise+action_within_snapshot,-0.017156942170201306,-0.14767312509778624,-0.010905524686074211
drop_or_regrasp,1,moe_state_within_snapshot,within_snapshot_centered,86,11,0.17670013813632895,1.1908666416549816,noise+action_within_snapshot,-0.060518252239079084,-0.5208923213090279,-0.05426683475495199
drop_or_regrasp,1,moe_action+state_within_snapshot,within_snapshot_centered,86,11,0.13376150865294253,0.8228041062675526,noise+action_within_snapshot,-0.017579622755692664,-0.1513112187836227,-0.01132820527156557
drop_or_regrasp,1,noise+action+moe_action_within_snapshot,within_snapshot_centered,86,11,0.13187078244912226,0.798414423345734,noise+action_within_snapshot,-0.01568889655187239,-0.13503737205425892,-0.009437479067745294
drop_or_regrasp,1,noise+action+moe_action+state_within_snapshot,within_snapshot_centered,86,11,0.14018072202257814,0.8481562136386823,noise+action_within_snapshot,-0.02399883612532827,-0.20656263185943297,-0.017747418641201176
drop_or_regrasp,3,failure_rate_only,absolute,86,11,0.11618188589724987,0.4040555841162521,noise+action,0.0,0.0,0.009230568497200137
drop_or_regrasp,3,noise+action,absolute,86,11,0.12541245439445,0.5624485243637029,noise+action,-0.009230568497200137,-0.07944929130659457,0.0
drop_or_regrasp,3,moe_action,absolute,86,11,0.12949368152367488,0.7465838155672483,noise+action,-0.01331179562642501,-0.11457720386978253,-0.004081227129224874
drop_or_regrasp,3,moe_state,absolute,86,11,0.2313396438385465,1.297534926502424,noise+action,-0.11515775794129662,-0.9911851322773416,-0.10592718944409649
drop_or_regrasp,3,moe_action+state,absolute,86,11,0.12957571807167154,0.7946863948608816,noise+action,-0.013393832174421666,-0.11528330833144713,-0.004163263677221529
drop_or_regrasp,3,noise+action+moe_action,absolute,86,11,0.12944615593230138,0.754592328188286,noise+action,-0.013264270035051512,-0.11416814189763026,-0.004033701537851375
drop_or_regrasp,3,noise+action+moe_action+state,absolute,86,11,0.13003582325391805,0.7793383835114717,noise+action,-0.013853937356668178,-0.11924352277187569,-0.004623368859468041
drop_or_regrasp,3,noise+action_within_snapshot,within_snapshot_centered,86,11,0.12654490110198702,0.5522145472799699,noise+action_within_snapshot,-0.010363015204737147,-0.08919647950888056,0.0
drop_or_regrasp,3,moe_action_within_snapshot,within_snapshot_centered,86,11,0.1250042578885444,0.8977183689263024,noise+action_within_snapshot,-0.008822371991294542,-0.07593586489977415,0.0015406432134426051
drop_or_regrasp,3,moe_state_within_snapshot,within_snapshot_centered,86,11,0.15441345509026055,1.0181456297747977,noise+action_within_snapshot,-0.038231569193010684,-0.32906652270064124,-0.027868553988273537
drop_or_regrasp,3,moe_action+state_within_snapshot,within_snapshot_centered,86,11,0.13472026424179717,1.0249694784780794,noise+action_within_snapshot,-0.0185383783445473,-0.15956341387798148,-0.008175363139810155
drop_or_regrasp,3,noise+action+moe_action_within_snapshot,within_snapshot_centered,86,11,0.1259304653304097,0.9177743350603254,noise+action_within_snapshot,-0.00974857943315982,-0.08390791178739661,0.0006144357715773263
drop_or_regrasp,3,noise+action+moe_action+state_within_snapshot,within_snapshot_centered,86,11,0.14085192112785574,1.0673925556350385,noise+action_within_snapshot,-0.024670035230605875,-0.21233977259091674,-0.014307020025868727
single_subtask_omission,1,failure_rate_only,absolute,86,32,0.29496553189392294,0.7958465199250635,noise+action,0.0,0.0,0.027769348558992824
single_subtask_omission,1,noise+action,absolute,86,32,0.32273488045291576,1.1326043501089893,noise+action,-0.027769348558992824,-0.09414438487334643,0.0
single_subtask_omission,1,moe_action,absolute,86,32,0.27173185227680846,1.0565275056335883,noise+action,0.023233679617114478,0.07876743925954675,0.0510030281761073
single_subtask_omission,1,moe_state,absolute,86,32,0.2887107401240766,1.0825940107275467,noise+action,0.006254791769846335,0.021205161598663386,0.03402414032883916
single_subtask_omission,1,moe_action+state,absolute,86,32,0.2602471127140405,1.1068152963596918,noise+action,0.03471841917988244,0.1177033091187348,0.062487767738875266
single_subtask_omission,1,noise+action+moe_action,absolute,86,32,0.27471379114723543,1.1186009463487598,noise+action,0.020251740746687508,0.06865799070370888,0.04802108930568033
single_subtask_omission,1,noise+action+moe_action+state,absolute,86,32,0.2635275928937287,1.2081426992421689,noise+action,0.03143793900019426,0.10658173786725744,0.05920728755918708
single_subtask_omission,1,noise+action_within_snapshot,within_snapshot_centered,86,32,0.29982317037501266,0.8187323240996968,noise+action_within_snapshot,-0.004857638481089721,-0.016468495318417917,0.0
