calibrator,relative_query,rows,episodes,mean_probability,median_probability
A_dense,-6,21,21,0.13310376244335487,0.1532679738562091
A_dense,-5,21,21,0.12806168346226676,0.1532679738562091
A_dense,-4,21,21,0.11351237606608822,0.1532679738562091
A_dense,-3,21,21,0.11217827912687414,0.1532679738562091
A_dense,-2,22,22,0.09152130762371714,0.0685584092792046
A_dense,-1,23,23,0.06819498244445164,0.0163109142166733
A_dense,0,24,24,0.08146121416913625,0.0685584092792046
A_dense,1,25,25,0.08244409832803198,0.0685584092792046
A_dense,2,25,25,0.07754920733967637,0.0685584092792046
A_dense,3,27,27,0.05850060923754799,0.0163109142166733
A_dense,4,31,31,0.06498838444386645,0.0163109142166733
A_dense,5,30,30,0.07745802695812928,0.0163109142166733
A_dense,6,30,30,0.07712404451403777,0.0685584092792046
B_proxy,-6,21,21,0.14027081339762232,0.0717098785690843
B_proxy,-5,21,21,0.098730759903438,0.0717098785690843
B_proxy,-4,21,21,0.08294875339032545,0.0167273554847519
B_proxy,-3,21,21,0.06012496082211358,0.0167273554847519
B_proxy,-2,22,22,0.04497289067997796,0.0026664033181907
B_proxy,-1,23,23,0.022260796063868573,0.0026664033181907
B_proxy,0,24,24,0.03487937268009996,0.0026664033181907
B_proxy,1,25,25,0.030188715212848095,0.0026664033181907
B_proxy,2,25,25,0.03472061440540278,0.0026664033181907
B_proxy,3,27,27,0.03125343958129846,0.0026664033181907
B_proxy,4,31,31,0.029251209806402143,0.0026664033181907
B_proxy,5,30,30,0.027839991119691317,0.0026664033181907
B_proxy,6,30,30,0.034134172265705184,0.0026664033181907
