calibrator,threshold,split,success_episodes,success_alarm_episodes,success_fpr,success_fpr_ci_low,success_fpr_ci_high,all_event_episodes,eligible_event_episodes,events_before_minimum_query,timely_events,timely_recall,timely_recall_ci_low,timely_recall_ci_high,near_first_events,near_first_recall,near_first_recall_ci_low,near_first_recall_ci_high,near_active_events,near_active_recall,premature_events,late_events,no_alarm_events,timely_lead_median,timely_lead_p90
A_dense,0.1,development_37_tasks,14313,2236,0.15622161671207993,0.15036598833672823,0.16226172858634355,222,198,24,145,0.7323232323232324,0.6666617249333183,0.7891415601674311,14,0.0707070707070707,0.042582704187744666,0.11517209508260982,63,0.3181818181818182,131,41,12,15.0,20.0
A_dense,0.1,heldout_3_tasks,1155,589,0.5099567099567099,0.4811417524153051,0.5387056562400653,38,24,14,17,0.7083333333333334,0.5083230633550337,0.8508535180303913,0,0.0,1.3877787807814457e-17,0.13797620467498017,9,0.375,17,5,2,24.0,32.6
A_dense,0.15,development_37_tasks,14313,2236,0.15622161671207993,0.15036598833672823,0.16226172858634355,222,198,24,145,0.7323232323232324,0.6666617249333183,0.7891415601674311,14,0.0707070707070707,0.042582704187744666,0.11517209508260982,63,0.3181818181818182,131,41,12,15.0,20.0
A_dense,0.15,heldout_3_tasks,1155,589,0.5099567099567099,0.4811417524153051,0.5387056562400653,38,24,14,17,0.7083333333333334,0.5083230633550337,0.8508535180303913,0,0.0,1.3877787807814457e-17,0.13797620467498017,9,0.375,17,5,2,24.0,32.6
A_dense,0.2,development_37_tasks,14313,1137,0.07943827289876336,0.07512006631495687,0.08398216760810596,222,198,24,101,0.51010101010101,0.44094420957428826,0.5788733245605268,7,0.03535353535353535,0.017228867488134375,0.07116456231036697,22,0.1111111111111111,94,47,50,16.0,19.0
A_dense,0.2,heldout_3_tasks,1155,250,0.21645021645021645,0.19366061708012292,0.24111970164736987,38,24,14,15,0.625,0.42709962442674276,0.7884063244045122,0,0.0,1.3877787807814457e-17,0.13797620467498017,7,0.2916666666666667,15,3,6,23.0,31.0
A_dense,0.25,development_37_tasks,14313,192,0.01341437853699434,0.011656002954967258,0.015433872974457285,222,198,24,24,0.12121212121212122,0.08282231509749119,0.1740201548469393,2,0.010101010101010102,0.002774446146787516,0.036075148314675856,2,0.010101010101010102,22,38,136,12.5,17.7
A_dense,0.25,heldout_3_tasks,1155,33,0.02857142857142857,0.020415741139673156,0.03985260556908969,38,24,14,5,0.20833333333333334,0.09244825352851857,0.40470453253188665,0,0.0,1.3877787807814457e-17,0.13797620467498017,0,0.0,5,3,16,7.0,23.400000000000002
A_dense,0.35,development_37_tasks,14313,192,0.01341437853699434,0.011656002954967258,0.015433872974457285,222,198,24,24,0.12121212121212122,0.08282231509749119,0.1740201548469393,2,0.010101010101010102,0.002774446146787516,0.036075148314675856,2,0.010101010101010102,22,38,136,12.5,17.7
A_dense,0.35,heldout_3_tasks,1155,33,0.02857142857142857,0.020415741139673156,0.03985260556908969,38,24,14,5,0.20833333333333334,0.09244825352851857,0.40470453253188665,0,0.0,1.3877787807814457e-17,0.13797620467498017,0,0.0,5,3,16,7.0,23.400000000000002
