window,layer_group,confirmations,quantile,ell_star,ratio_threshold,eps_length,alarm_episodes,tp,fp,recall,precision,timely_fpr,low_prior_alarms,low_prior_tp,low_prior_fp,low_prior_precision,loop_tp,loop_recall,low_prior_loop_tp,low_prior_loop_precision,low_prior_loop_lift,low_prior_static_tp,low_prior_static_precision,low_prior_static_lift,low_prior_phantom_tp,low_prior_phantom_lift,low_prior_pure_phantom_tp,low_prior_pure_phantom_lift,ratio_only_timely_fpr,ratio_only_low_prior_tp,ratio_only_low_prior_loop_tp,low_prior_loop_expected,static_tp,static_recall,low_prior_static_expected,phantom_tp,phantom_recall,low_prior_phantom_precision,low_prior_phantom_expected,pure_phantom_tp,pure_phantom_recall,low_prior_pure_phantom_precision,low_prior_pure_phantom_expected
2,all,1,0.005,0.09660141915082932,0.19438546895980835,0.037638433277606964,1,1,0,0.002053388090349076,1.0,0.0,0,0,0,,1,0.00390625,0,,,0,,,0,,0,,0.000978131768322504,17,15,0.0,0,0.0,0.0,1,0.010752688172043012,,0.0,0,0.0,,0.0
2,all,1,0.01,0.09660141915082932,0.22131484746932983,0.037638433277606964,2,2,0,0.004106776180698152,1.0,0.0,0,0,0,,2,0.0078125,0,,,0,,,0,,0,,0.0018165304268846503,17,15,0.0,0,0.0,0.0,1,0.010752688172043012,,0.0,0,0.0,,0.0
2,all,1,0.025,0.09660141915082932,0.2748580873012543,0.037638433277606964,4,4,0,0.008213552361396304,1.0,0.0,0,0,0,,4,0.015625,0,,,0,,,0,,0,,0.014252777195556487,21,17,0.0,0,0.0,0.0,1,0.010752688172043012,,0.0,0,0.0,,0.0
2,all,1,0.05,0.09660141915082932,0.3971015214920044,0.037638433277606964,139,46,93,0.0944558521560575,0.33093525179856115,0.006497589603856634,103,12,91,0.11650485436893204,30,0.1171875,9,0.08737864077669903,3.137504153373196,2,0.019417475728155338,1.1089853438651183,2,1.9165520116107027,0,0.0,0.03591140920841193,42,28,2.8685220991098648,7,0.05185185185185185,1.803450344104144,6,0.06451612903225806,0.019417475728155338,1.043540685503842,0,0.0,0.0,0.11577682641966922
2,all,1,0.075,0.09660141915082932,0.4172552525997162,0.037638433277606964,465,61,404,0.12525667351129363,0.13118279569892474,0.028226088171592258,423,23,400,0.054373522458628844,41,0.16015625,17,0.04018912529550828,1.7482697231112367,3,0.0070921985815602835,0.5730910175079351,2,0.692056208022049,0,0.0,0.05973590442255292,58,41,9.723900022558674,9,0.06666666666666667,5.234770583293013,6,0.06451612903225806,0.004728132387706856,2.8899386737909007,0,0.0,0.0,0.3422780871932397
2,all,1,0.1,0.09660141915082932,0.4279814660549164,0.037638433277606964,788,69,719,0.14168377823408623,0.08756345177664974,0.0502340529588486,739,30,709,0.04059539918809202,48,0.1875,24,0.03247631935047361,1.4483891357397627,5,0.006765899864682003,0.5915015541828345,3,0.6407265034649997,0,0.0,0.08265213442325159,66,48,16.570132575415954,11,0.08148148148148149,8.453063165501826,7,0.07526881720430108,0.0040595399188092015,4.6821849631258114,0,0.0,0.0,0.5319172507333559
2,all,1,0.15,0.09660141915082932,0.44253185391426086,0.037638433277606964,1472,96,1376,0.1971252566735113,0.06521739130434782,0.0961363795151261,1418,54,1364,0.0380818053596615,72,0.28125,45,0.03173483779971791,1.4831675195868954,9,0.006346967559943582,0.5548309581145453,3,0.3292954627218812,0,0.0,0.1307901907356948,103,76,30.34047024744298,15,0.1111111111111111,16.22115685574622,8,0.08602150537634409,0.0021156558533145277,9.11035935692124,0,0.0,0.0,1.0467561358837318
2,all,1,0.2,0.09660141915082932,0.45130491256713867,0.037638433277606964,2149,124,2025,0.2546201232032854,0.0577012563983248,0.1414797736323622,2090,79,2011,0.03779904306220096,91,0.35546875,62,0.02966507177033493,1.4490456901179978,16,0.007655502392344498,0.6692524789444926,7,0.5090796250617449,0,0.0,0.17871864738349752,128,92,42.78678058450404,22,0.16296296296296298,23.907270429889632,12,0.12903225806451613,0.0033492822966507177,13.750304776293078,0,0.0,0.0,1.7278843122323406
2,all,2,0.005,0.09660141915082932,0.23030468821525574,0.037638433277606964,1,1,0,0.002053388090349076,1.0,0.0,0,0,0,,1,0.00390625,0,,,0,,,0,,0,,0.00013973310976035772,9,8,0.0,0,0.0,0.0,1,0.010752688172043012,,0.0,0,0.0,,0.0
2,all,2,0.01,0.09660141915082932,0.2548123002052307,0.037638433277606964,2,2,0,0.004106776180698152,1.0,0.0,0,0,0,,2,0.0078125,0,,,0,,,0,,0,,0.0007685321036819675,11,10,0.0,0,0.0,0.0,1,0.010752688172043012,,0.0,0,0.0,,0.0
