protocol,family,signal,endpoint_estimator,direction,min_stage,saving,outside_reference_rate,outside_reference_count,outside_reference_query_count,outside_reference_rollout_count,mean_controller_score,p95_controller_score,mean_completed_rounds
safety_calibrated,flow_consistency,velocity_change_relative,constant_velocity,le,6,0.0,0.0,0,0,0,0.0,0.0,10.0
compute_matched_10,flow_consistency,velocity_change_relative,constant_velocity,le,6,0.10042613636363637,0.22017045454545456,155,42,4,0.0030989580383394945,0.014470412095903846,8.995738636363637
compute_matched_20,flow_consistency,velocity_change_relative,constant_velocity,le,6,0.19857954545454548,0.4460227272727273,314,44,4,0.0062841802017615245,0.016420507447997168,8.014204545454545
safety_calibrated,flow_consistency,velocity_change_relative,constant_velocity,le,8,0.0005681818181818183,0.0014204545454545455,1,1,1,2.5008144486897085e-05,0.0,9.994318181818182
compute_matched_10,flow_consistency,velocity_change_relative,constant_velocity,le,8,0.10085227272727272,0.12926136363636365,91,27,4,0.0041864986859912155,0.01017857050813451,8.991477272727273
compute_matched_20,flow_consistency,velocity_change_relative,constant_velocity,le,8,0.19971590909090906,0.2840909090909091,200,34,4,0.008425850604115069,0.01065557059988988,8.002840909090908
safety_calibrated,flow_consistency,velocity_speed_log_ratio_abs,constant_velocity,le,6,0.0,0.0,0,0,0,0.0,0.0,10.0
compute_matched_10,flow_consistency,velocity_speed_log_ratio_abs,constant_velocity,le,6,0.09914772727272729,0.22017045454545456,155,36,4,0.003255076201275978,0.013684460838258734,9.008522727272727
compute_matched_20,flow_consistency,velocity_speed_log_ratio_abs,constant_velocity,le,6,0.20184659090909093,0.453125,319,38,4,0.00646250438836545,0.014771883677855376,7.981534090909091
safety_calibrated,flow_consistency,velocity_speed_log_ratio_abs,constant_velocity,le,8,0.00028409090909090913,0.0014204545454545455,1,1,1,1.4142806028105482e-05,0.0,9.997159090909092
compute_matched_10,flow_consistency,velocity_speed_log_ratio_abs,constant_velocity,le,8,0.09971590909090909,0.12926136363636365,91,24,4,0.004173236687916092,0.01008826825348835,9.002840909090908
compute_matched_20,flow_consistency,velocity_speed_log_ratio_abs,constant_velocity,le,8,0.19971590909090906,0.2840909090909091,200,34,4,0.008426587524921219,0.01065557059988988,8.002840909090908
safety_calibrated,flow_consistency,velocity_speed_log_ratio_abs,constant_acceleration,le,6,0.0,0.0,0,0,0,0.0,0.0,10.0
compute_matched_10,flow_consistency,velocity_speed_log_ratio_abs,constant_acceleration,le,6,0.09914772727272729,0.21306818181818182,150,37,4,0.0032793277458510726,0.014038410339885392,9.008522727272727
compute_matched_20,flow_consistency,velocity_speed_log_ratio_abs,constant_acceleration,le,6,0.20184659090909093,0.4403409090909091,310,38,4,0.006528426763915593,0.015198487105915752,7.981534090909091
safety_calibrated,flow_consistency,velocity_speed_log_ratio_abs,constant_acceleration,le,8,0.003693181818181818,0.0014204545454545455,1,1,1,0.00013931937405346732,0.0,9.963068181818182
compute_matched_10,flow_consistency,velocity_speed_log_ratio_abs,constant_acceleration,le,8,0.09971590909090909,0.026988636363636364,19,11,4,0.0037361042319648554,0.00891392648183812,9.002840909090908
compute_matched_20,flow_consistency,velocity_speed_log_ratio_abs,constant_acceleration,le,8,0.19971590909090906,0.05113636363636364,36,20,4,0.007447252023834381,0.009266790592843676,8.002840909090908
safety_calibrated,physical_scale,physical_update_rms,constant_velocity,le,6,0.0,0.0,0,0,0,0.0,0.0,10.0
compute_matched_10,physical_scale,physical_update_rms,constant_velocity,le,6,0.10269886363636363,0.22727272727272727,160,32,4,0.003124604930345537,0.014252297206920178,8.973011363636363
compute_matched_20,physical_scale,physical_update_rms,constant_velocity,le,6,0.20071022727272728,0.4431818181818182,312,43,4,0.006188491306987177,0.015104420920230077,7.9928977272727275
safety_calibrated,physical_scale,physical_update_rms,constant_velocity,le,8,0.00340909090909091,0.005681818181818182,4,3,1,0.0001370545544897139,0.0,9.965909090909092
compute_matched_10,physical_scale,physical_update_rms,constant_velocity,le,8,0.1002840909090909,0.14204545454545456,100,24,4,0.0041872248729931776,0.01023692984841051,8.997159090909092
compute_matched_20,physical_scale,physical_update_rms,constant_velocity,le,8,0.19971590909090906,0.2840909090909091,200,34,4,0.008426375079989836,0.01065557059988988,8.002840909090908
safety_calibrated,physical_scale,physical_update_rms,constant_acceleration,le,6,0.0,0.0,0,0,0,0.0,0.0,10.0
compute_matched_10,physical_scale,physical_update_rms,constant_acceleration,le,6,0.10269886363636363,0.234375,165,34,4,0.0032663431136588992,0.014689752108684095,8.973011363636363
