evaluation,task,chunk,model,failures,mixed_scenes,conditional_pairs,conditional_auc,auc_ci_low,auc_ci_high,delta_vs_control,delta_ci_low,delta_ci_high,global_roc_auc,global_average_precision
scene_loso,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,control,42,7,562,0.5160142348754448,0.3657982261640798,0.5941347495487653,0.0,0.0,0.0,0.7697061803444782,0.1791441703545729
scene_loso,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,router,42,7,562,0.6281138790035588,0.4324084236520785,0.8352490421455939,0.1120996441281139,-0.09917355371900832,0.3994252873563219,0.454305977710233,0.12860812963112886
scene_loso,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,hidden,42,7,562,0.6921708185053381,0.6352896273013021,0.7799227799227799,0.17615658362989328,0.0817308203210616,0.3740679800425557,0.35425531914893615,0.060504618345438035
scene_loso,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,moe,42,7,562,0.6743772241992882,0.5723684210526315,0.7654840780156528,0.1583629893238434,0.028112449799196804,0.3391304347826087,0.3696048632218845,0.0828135944687982
scene_loso,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,control_router,42,7,562,0.5782918149466192,0.3861003861003861,0.7337492266446687,0.06227758007117434,-0.12650602409638556,0.28859060402684567,0.6175785207700102,0.1306447145106054
scene_loso,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,control_hidden,42,7,562,0.6014234875444839,0.5071149403758506,0.6902044559163156,0.08540925266903909,0.006783572921632594,0.252366878488231,0.44772036474164134,0.08313628342835926
scene_loso,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,control_moe,42,7,562,0.6120996441281139,0.5096525096525096,0.7230142566191446,0.09608540925266906,-0.025695931477516032,0.25808143469433764,0.3952887537993921,0.079321975172825
scene_loso,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,1,control,42,7,562,0.5338078291814946,0.39677679900294033,0.6628352490421456,0.0,0.0,0.0,0.35035460992907796,0.09064112639164287
scene_loso,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,1,router,42,7,562,0.40747330960854095,0.2911111111111111,0.5402017270259342,-0.12633451957295366,-0.32592728758169937,0.07155195007659318,0.5032421479229989,0.07628545516258634
scene_loso,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,1,hidden,42,7,562,0.48576512455516013,0.35207537248475473,0.6217458130167476,-0.048042704626334476,-0.2734418455890532,0.1545921321209869,0.5034447821681864,0.09113895585503119
scene_loso,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,1,moe,42,7,562,0.4679715302491103,0.3047619047619048,0.6258920165693842,-0.0658362989323843,-0.32102243633285615,0.16374321198712757,0.5013171225937183,0.08010093899369405
scene_loso,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,1,control_router,42,7,562,0.37722419928825623,0.2809872229599928,0.46112600536193027,-0.15658362989323837,-0.2941274346677107,-0.02409638554216864,0.42624113475177305,0.07376475948098937
scene_loso,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,1,control_hidden,42,7,562,0.47330960854092524,0.3463302752293578,0.6151757780740832,-0.06049822064056937,-0.20397111913357402,0.12371261610697151,0.3301418439716312,0.07814054781626256
scene_loso,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,1,control_moe,42,7,562,0.4359430604982206,0.2826677034000141,0.6067415730337079,-0.09786476868327398,-0.30383839366809395,0.13498652766777963,0.3913880445795339,0.0675552415179057
scene_loso,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,2,control,42,7,562,0.5551601423487544,0.3643995125441617,0.7139219366221545,0.0,0.0,0.0,0.7292299898682878,0.14270461252275277
scene_loso,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,2,router,42,7,562,0.3540925266903915,0.2710843373493976,0.45411478773976005,-0.20106761565836295,-0.3832618964657063,0.007598228043142966,0.49235055724417426,0.0751698446157344
scene_loso,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,2,hidden,42,7,562,0.3790035587188612,0.2436548223350254,0.48404675251959683,-0.17615658362989323,-0.3494161520029698,0.005804923403878398,0.5637791286727457,0.10258321618491739
scene_loso,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,2,moe,42,7,562,0.34519572953736655,0.22697890061315926,0.4786200334840691,-0.2099644128113879,-0.44552058111380144,0.025292444466335034,0.5029381965552178,0.0848838195015493
scene_loso,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,2,control_router,42,7,562,0.3914590747330961,0.2689655172413793,0.4625176803394625,-0.16370106761565834,-0.3604118315068323,-0.01652688668986519,0.6389564336372847,0.1086837768763855
scene_loso,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,2,control_hidden,42,7,562,0.40569395017793597,0.23681992903607332,0.5078035438620041,-0.14946619217081847,-0.274356157687866,-0.014981273408239737,0.6354103343465045,0.1052122633129145
scene_loso,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,2,control_moe,42,7,562,0.3683274021352313,0.2277511769288085,0.46956521739130436,-0.18683274021352314,-0.391575663026521,-0.01953592892265286,0.5705673758865248,0.0880934443840556
scene_loso,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,3,control,42,7,562,0.4181494661921708,0.2243873479631894,0.5005151762065264,0.0,0.0,0.0,0.565450861195542,0.09698646153082498
