main_id,benchmark,category,task_name,analysis_role,length,failure,online_v7_first,v7_frozen,v8_frozen,v82_frozen,knn20,c4_assigned_radius,c32_assigned_radius,c32_union_radius,norm_only,cosine_knn20,knn_euclidean_OR_cosine,knn_euclidean_AND_cosine_latched
5e98c7fb78ae0c93a5adc813,plus,Camera Viewpoints,put_the_wine_bottle_on_the_rack_view_345_0_100_0_0_initstate_0,perturbation,14,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
e50694a6cd5a0d65e790e392,plus,Objects Layout,put_the_cream_cheese_in_the_bowl_moved_level2_sample3,perturbation,30,True,-1,-1,14,14,12,10,16,16,13,-1,12,-1
6eb322b88113ac8652765879,plus,Objects Layout,turn_on_the_stove_moved_level3_sample1,perturbation,8,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
92006788b029ebdd7a1d7b2a,plus,Objects Layout,put_the_bowl_on_the_stove_moved_level3_sample1,perturbation,30,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
af6aa956e6ad55f7b5c1d034,plus,Light Conditions,open_the_top_drawer_and_put_the_bowl_inside_light_40,perturbation,30,False,-1,-1,20,17,-1,-1,-1,-1,-1,-1,-1,-1
5f4dc330b2a877c2edab4b85,plus,Background Textures,put_the_wine_bottle_on_top_of_the_cabinet_table_15,perturbation,9,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3ebfdb6cc640ad82c01db7d7,plus,Robot Initial States,put_the_bowl_on_top_of_the_cabinet_view_0_0_100_0_0_initstate_55,perturbation,30,True,14,14,14,14,14,14,15,14,14,-1,14,-1
c68ab9455750204b3f34153c,plus,Camera Viewpoints,push_the_plate_to_the_front_of_the_stove_view_298_15_100_0_0_initstate_0,perturbation,13,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1eb7fe689abebea5548f2089,plus,Background Textures,put_the_bowl_on_top_of_the_cabinet_tb_2,perturbation,9,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4caf752e46fbfb4522479e96,plus,Language Instructions,put_the_bowl_on_top_of_the_cabinet_language_18_view_0_0_100_0_0_initstate_0,perturbation,17,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7e936f496a90279e289f9286,plus,Light Conditions,put_the_wine_bottle_on_the_rack_light_26,perturbation,14,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
b68b8aec71d52b7c3783715c,plus,Camera Viewpoints,put_the_bowl_on_the_stove_view_21_15_100_0_0_initstate_0,perturbation,9,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
79ecff2fdc97871f840589f8,plus,Objects Layout,put_the_bowl_on_top_of_the_cabinet_moved_level5_sample3,perturbation,30,True,15,15,15,15,15,15,16,16,15,-1,15,-1
9a2a8d143d4e44674a02161d,plus,Light Conditions,put_the_bowl_on_the_plate_light_1,perturbation,8,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
f7ef185dbb019fefbcd8510e,plus,Camera Viewpoints,put_the_bowl_on_top_of_the_cabinet_view_61_15_100_0_0_initstate_0,perturbation,9,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
58b7037630815e317cbeb256,plus,Language Instructions,put_the_bowl_on_top_of_the_cabinet_language_22_view_0_0_100_0_0_initstate_0,perturbation,9,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80711b07ebd9af9e647e5229,plus,Language Instructions,turn_on_the_stove_language_23_view_0_0_100_0_0_initstate_0,perturbation,10,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
61c4573cd92949d6c923f59b,plus,Robot Initial States,put_the_bowl_on_the_stove_view_0_0_100_0_0_initstate_372,perturbation,30,True,21,21,14,13,12,12,13,13,21,-1,12,-1
ac0cf2ca688094319170efe1,plus,Robot Initial States,open_the_top_drawer_and_put_the_bowl_inside_view_0_0_100_0_0_initstate_4,perturbation,30,True,7,7,7,7,7,8,7,7,7,-1,7,-1
4ec4dda7fac38114f4438e25,plus,Camera Viewpoints,turn_on_the_stove_view_326_0_100_0_0_initstate_0,perturbation,7,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1ccff3c3d5ba9e13e234bacf,plus,Background Textures,push_the_plate_to_the_front_of_the_stove_table_3,perturbation,16,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
