calibration,method,window,scope,metric,estimate,lo,hi,tasks
episode,ac,q8_13,all,auc,0.7247527672074818,0.6699427968056315,0.7747215621779153,36
episode,ac,q8_13,all,ac_auc,0.7247527672074818,0.6699427968056315,0.7747215621779153,36
episode,ac,q8_13,all,v82_auc,0.6005870163937236,0.5366894424771794,0.6630902974216561,36
episode,ac,q8_13,all,delta_ac,0.0,0.0,0.0,36
episode,ac,q8_13,all,delta_v82,0.12416575081375823,0.07545776060337575,0.1732197084975656,36
episode,ac,q8_13,excluding_S05,auc,0.7260278389777505,0.6701518260740877,0.7762584806259423,35
episode,ac,q8_13,excluding_S05,ac_auc,0.7260278389777505,0.6701518260740877,0.7762584806259423,35
episode,ac,q8_13,excluding_S05,v82_auc,0.6030523957883063,0.5372126627324312,0.6691160178640925,35
episode,ac,q8_13,excluding_S05,delta_ac,0.0,0.0,0.0,35
episode,ac,q8_13,excluding_S05,delta_v82,0.12297544318944426,0.07518757521922055,0.1724552520548622,35
episode,ac_st_margin,q8_13,all,auc,0.7246838889507957,0.6699135206089795,0.7745356456063826,36
episode,ac_st_margin,q8_13,all,ac_auc,0.7247527672074818,0.6699427968056315,0.7747215621779153,36
episode,ac_st_margin,q8_13,all,v82_auc,0.6005870163937236,0.5366894424771794,0.6630902974216561,36
episode,ac_st_margin,q8_13,all,delta_ac,-6.88782566862269e-05,-0.0002349196117682159,3.904622945711976e-05,36
episode,ac_st_margin,q8_13,all,delta_v82,0.12409687255707201,0.07541486574207275,0.1731170277860443,36
episode,ac_st_margin,q8_13,excluding_S05,auc,0.7259569927708731,0.6700910710065761,0.7762750747049558,35
episode,ac_st_margin,q8_13,excluding_S05,ac_auc,0.7260278389777505,0.6701518260740877,0.7762584806259423,35
episode,ac_st_margin,q8_13,excluding_S05,v82_auc,0.6030523957883063,0.5372126627324312,0.6691160178640925,35
episode,ac_st_margin,q8_13,excluding_S05,delta_ac,-7.084620687726195e-05,-0.00024163160067587923,4.016183601303747e-05,35
episode,ac_st_margin,q8_13,excluding_S05,delta_v82,0.12290459698256699,0.07507724374089507,0.17244510559272785,35
episode,gap,q8_13,all,auc,0.588246846923809,0.5541318108523755,0.62451925243025,36
episode,gap,q8_13,all,ac_auc,0.7247527672074818,0.6699427968056315,0.7747215621779153,36
