calibration,method,suite,task,query,auc,ac_auc,v82_auc,delta_ac,delta_v82,failures,successes
episode,ac,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,8,0.5444687903814821,0.5444687903814821,0.43867633013090623,0.0,0.10579246025057587,51,349
episode,ac_st_margin,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,8,0.5444687903814821,0.5444687903814821,0.43867633013090623,0.0,0.10579246025057587,51,349
episode,gap,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,8,0.5291308500477555,0.5444687903814821,0.43867633013090623,-0.015337940333726596,0.09045451991684927,51,349
episode,state_relative_low,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,8,0.5907073431091634,0.5444687903814821,0.43867633013090623,0.04623855272768129,0.15203101297825716,51,349
episode,state_absolute_low,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,8,0.493735603123771,0.5444687903814821,0.43867633013090623,-0.05073318725771109,0.05505927299286478,51,349
episode,raw_gap_low,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,8,0.47238608910612956,0.5444687903814821,0.43867633013090623,-0.07208270127535255,0.033709758975223325,51,349
episode,ac,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,9,0.5915781785493567,0.5915781785493567,0.6188549918534749,0.0,-0.02727681330411824,51,349
episode,ac_st_margin,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,9,0.5915781785493567,0.5915781785493567,0.6188549918534749,0.0,-0.02727681330411824,51,349
episode,gap,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,9,0.47485813809764593,0.5915781785493567,0.6188549918534749,-0.11672004045171075,-0.143996853755829,51,349
episode,state_relative_low,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,9,0.607393673801899,0.5915781785493567,0.6188549918534749,0.015815495252542333,-0.011461318051575908,51,349
episode,state_absolute_low,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,9,0.43755267149839877,0.5915781785493567,0.6188549918534749,-0.1540255070509579,-0.18130232035507615,51,349
episode,raw_gap_low,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,9,0.30479240406764424,0.5915781785493567,0.6188549918534749,-0.28678577448171244,-0.3140625877858307,51,349
episode,ac,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,10,0.6011854598572953,0.6011854598572953,0.5966627338614529,0.0,0.004522725995842469,51,349
episode,ac_st_margin,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,10,0.6011854598572953,0.6011854598572953,0.5966627338614529,0.0,0.004522725995842469,51,349
episode,gap,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,10,0.47744255295241306,0.6011854598572953,0.5966627338614529,-0.12374290690488227,-0.1192201809090398,51,349
episode,state_relative_low,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,10,0.5250856789707287,0.6011854598572953,0.5966627338614529,-0.07609978088656666,-0.07157705489072419,51,349
episode,state_absolute_low,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,10,0.36159334794089554,0.6011854598572953,0.5966627338614529,-0.23959211191639979,-0.23506938592055732,51,349
episode,raw_gap_low,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,10,0.2848474633406371,0.6011854598572953,0.5966627338614529,-0.3163379965166582,-0.31181527052081576,51,349
episode,ac,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,11,0.5687679083094556,0.5687679083094556,0.5013202988931963,0.0,0.06744760941625927,51,349
episode,ac_st_margin,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,11,0.5687679083094556,0.5687679083094556,0.5013202988931963,0.0,0.06744760941625927,51,349
episode,gap,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,11,0.47586943086690264,0.5687679083094556,0.5013202988931963,-0.09289847744255292,-0.02545086802629365,51,349
