fold,calibration,feature,alpha,threshold,rank,units,no_exposure_units,attainable
0,episode,gap,0.005,0.6943061947822571,3083,3097,236,True
0,episode,gap,0.01,0.5530880093574524,3068,3097,236,True
0,episode,gap,0.02,0.5008158087730408,3037,3097,236,True
0,episode,gap,0.05,0.4303707182407379,2944,3097,236,True
0,episode,gap,0.1,0.3733612298965454,2789,3097,236,True
0,task_init,gap,0.005,2.0450592041015625,398,398,23,True
0,task_init,gap,0.01,0.9830148220062256,396,398,23,True
0,task_init,gap,0.02,0.7981672286987305,392,398,23,True
0,task_init,gap,0.05,0.5530880093574524,380,398,23,True
0,task_init,gap,0.1,0.4953553378582001,360,398,23,True
0,episode,state_relative_low,0.005,1.1547945737838745,3083,3097,236,True
0,episode,state_relative_low,0.01,0.8090782761573792,3068,3097,236,True
0,episode,state_relative_low,0.02,0.6945866942405701,3037,3097,236,True
0,episode,state_relative_low,0.05,0.5947630405426025,2944,3097,236,True
0,episode,state_relative_low,0.1,0.5176436901092529,2789,3097,236,True
0,task_init,state_relative_low,0.005,2.7449142932891846,398,398,23,True
0,task_init,state_relative_low,0.01,2.0060737133026123,396,398,23,True
0,task_init,state_relative_low,0.02,1.3104714155197144,392,398,23,True
0,task_init,state_relative_low,0.05,0.7611546516418457,380,398,23,True
0,task_init,state_relative_low,0.1,0.644840657711029,360,398,23,True
0,episode,state_absolute_low,0.005,-0.027043132111430168,3083,3097,236,True
0,episode,state_absolute_low,0.01,-0.039944689720869064,3068,3097,236,True
0,episode,state_absolute_low,0.02,-0.04579004645347595,3037,3097,236,True
0,episode,state_absolute_low,0.05,-0.05377749353647232,2944,3097,236,True
0,episode,state_absolute_low,0.1,-0.06688358634710312,2789,3097,236,True
0,task_init,state_absolute_low,0.005,-0.006691248621791601,398,398,23,True
0,task_init,state_absolute_low,0.01,-0.00876398105174303,396,398,23,True
0,task_init,state_absolute_low,0.02,-0.026464160531759262,392,398,23,True
0,task_init,state_absolute_low,0.05,-0.041625358164310455,380,398,23,True
0,task_init,state_absolute_low,0.1,-0.05404618754982948,360,398,23,True
0,episode,raw_gap_low,0.005,-0.0006173867732286453,3083,3097,236,True
0,episode,raw_gap_low,0.01,-0.0073240059427917,3068,3097,236,True
0,episode,raw_gap_low,0.02,-0.011579346843063831,3037,3097,236,True
0,episode,raw_gap_low,0.05,-0.01660066284239292,2944,3097,236,True
0,episode,raw_gap_low,0.1,-0.0213641244918108,2789,3097,236,True
0,task_init,raw_gap_low,0.005,0.018191583454608917,398,398,23,True
0,task_init,raw_gap_low,0.01,0.007921118289232254,396,398,23,True
0,task_init,raw_gap_low,0.02,0.00023616447288077325,392,398,23,True
0,task_init,raw_gap_low,0.05,-0.008505766279995441,380,398,23,True
0,task_init,raw_gap_low,0.1,-0.015022912994027138,360,398,23,True
1,episode,gap,0.005,0.6215507388114929,3102,3116,196,True
1,episode,gap,0.01,0.546542763710022,3086,3116,196,True
1,episode,gap,0.02,0.4961347281932831,3055,3116,196,True
1,episode,gap,0.05,0.41859203577041626,2962,3116,196,True
1,episode,gap,0.1,0.36151400208473206,2806,3116,196,True
1,task_init,gap,0.005,1.3542053699493408,398,398,21,True
1,task_init,gap,0.01,0.9150110483169556,396,398,21,True
1,task_init,gap,0.02,0.6225951910018921,392,398,21,True
1,task_init,gap,0.05,0.5384702682495117,380,398,21,True
1,task_init,gap,0.1,0.4570322036743164,360,398,21,True
1,episode,state_relative_low,0.005,1.0093352794647217,3102,3116,196,True
1,episode,state_relative_low,0.01,0.8022667765617371,3086,3116,196,True
1,episode,state_relative_low,0.02,0.7016071081161499,3055,3116,196,True
1,episode,state_relative_low,0.05,0.598870575428009,2962,3116,196,True
1,episode,state_relative_low,0.1,0.5052314400672913,2806,3116,196,True
1,task_init,state_relative_low,0.005,1.885830044746399,398,398,21,True
1,task_init,state_relative_low,0.01,1.4488552808761597,396,398,21,True
1,task_init,state_relative_low,0.02,1.0093352794647217,392,398,21,True
1,task_init,state_relative_low,0.05,0.7418926358222961,380,398,21,True
1,task_init,state_relative_low,0.1,0.6274743676185608,360,398,21,True
1,episode,state_absolute_low,0.005,-0.032114144414663315,3102,3116,196,True
1,episode,state_absolute_low,0.01,-0.0410776287317276,3086,3116,196,True
1,episode,state_absolute_low,0.02,-0.04604698345065117,3055,3116,196,True
1,episode,state_absolute_low,0.05,-0.05292597413063049,2962,3116,196,True
1,episode,state_absolute_low,0.1,-0.06705198436975479,2806,3116,196,True
1,task_init,state_absolute_low,0.005,-0.009946778416633606,398,398,21,True
1,task_init,state_absolute_low,0.01,-0.01878458447754383,396,398,21,True
1,task_init,state_absolute_low,0.02,-0.03423888608813286,392,398,21,True
1,task_init,state_absolute_low,0.05,-0.04534456878900528,380,398,21,True
1,task_init,state_absolute_low,0.1,-0.057159971445798874,360,398,21,True
1,episode,raw_gap_low,0.005,-0.0005334895104169846,3102,3116,196,True
1,episode,raw_gap_low,0.01,-0.00596346752718091,3086,3116,196,True
1,episode,raw_gap_low,0.02,-0.011326825246214867,3055,3116,196,True
1,episode,raw_gap_low,0.05,-0.01716107316315174,2962,3116,196,True
1,episode,raw_gap_low,0.1,-0.021540243178606033,2806,3116,196,True
1,task_init,raw_gap_low,0.005,0.024240851402282715,398,398,21,True
1,task_init,raw_gap_low,0.01,0.006588632706552744,396,398,21,True
1,task_init,raw_gap_low,0.02,-0.0032985711004585028,392,398,21,True
