scope,population,neighbors,radial_fraction_bin,count,points,fraction
seen,failure_lost,euclidean,"[0,25%)",60,191,0.31413612565445026
seen,failure_lost,euclidean,"[25,50%)",93,191,0.4869109947643979
seen,failure_lost,euclidean,"[50,75%)",36,191,0.18848167539267016
seen,failure_lost,euclidean,"[75,100%]",2,191,0.010471204188481676
seen,failure_lost,cosine,"[0,25%)",10,191,0.05235602094240838
seen,failure_lost,cosine,"[25,50%)",29,191,0.1518324607329843
seen,failure_lost,cosine,"[50,75%)",49,191,0.25654450261780104
seen,failure_lost,cosine,"[75,100%]",103,191,0.5392670157068062
seen,failure_kept,euclidean,"[0,25%)",1,3,0.3333333333333333
seen,failure_kept,euclidean,"[25,50%)",2,3,0.6666666666666666
seen,failure_kept,euclidean,"[50,75%)",0,3,0.0
seen,failure_kept,euclidean,"[75,100%]",0,3,0.0
seen,failure_kept,cosine,"[0,25%)",1,3,0.3333333333333333
seen,failure_kept,cosine,"[25,50%)",0,3,0.0
seen,failure_kept,cosine,"[50,75%)",2,3,0.6666666666666666
seen,failure_kept,cosine,"[75,100%]",0,3,0.0
seen,success_lost,euclidean,"[0,25%)",15,67,0.22388059701492538
seen,success_lost,euclidean,"[25,50%)",33,67,0.4925373134328358
seen,success_lost,euclidean,"[50,75%)",19,67,0.2835820895522388
seen,success_lost,euclidean,"[75,100%]",0,67,0.0
seen,success_lost,cosine,"[0,25%)",2,67,0.029850746268656716
seen,success_lost,cosine,"[25,50%)",8,67,0.11940298507462686
seen,success_lost,cosine,"[50,75%)",18,67,0.26865671641791045
seen,success_lost,cosine,"[75,100%]",39,67,0.582089552238806
seen,success_kept,euclidean,"[0,25%)",0,2,0.0
seen,success_kept,euclidean,"[25,50%)",2,2,1.0
seen,success_kept,euclidean,"[50,75%)",0,2,0.0
seen,success_kept,euclidean,"[75,100%]",0,2,0.0
seen,success_kept,cosine,"[0,25%)",0,2,0.0
seen,success_kept,cosine,"[25,50%)",1,2,0.5
seen,success_kept,cosine,"[50,75%)",1,2,0.5
seen,success_kept,cosine,"[75,100%]",0,2,0.0
unseen,failure_lost,euclidean,"[0,25%)",218,427,0.5105386416861827
unseen,failure_lost,euclidean,"[25,50%)",179,427,0.41920374707259955
unseen,failure_lost,euclidean,"[50,75%)",30,427,0.0702576112412178
unseen,failure_lost,euclidean,"[75,100%]",0,427,0.0
unseen,failure_lost,cosine,"[0,25%)",16,427,0.03747072599531616
unseen,failure_lost,cosine,"[25,50%)",83,427,0.19437939110070257
unseen,failure_lost,cosine,"[50,75%)",215,427,0.5035128805620609
unseen,failure_lost,cosine,"[75,100%]",113,427,0.2646370023419204
unseen,failure_kept,euclidean,"[0,25%)",4,14,0.2857142857142857
unseen,failure_kept,euclidean,"[25,50%)",9,14,0.6428571428571429
unseen,failure_kept,euclidean,"[50,75%)",1,14,0.07142857142857142
unseen,failure_kept,euclidean,"[75,100%]",0,14,0.0
unseen,failure_kept,cosine,"[0,25%)",0,14,0.0
unseen,failure_kept,cosine,"[25,50%)",3,14,0.21428571428571427
unseen,failure_kept,cosine,"[50,75%)",8,14,0.5714285714285714
unseen,failure_kept,cosine,"[75,100%]",3,14,0.21428571428571427
unseen,success_lost,euclidean,"[0,25%)",140,836,0.1674641148325359
unseen,success_lost,euclidean,"[25,50%)",577,836,0.6901913875598086
unseen,success_lost,euclidean,"[50,75%)",119,836,0.1423444976076555
unseen,success_lost,euclidean,"[75,100%]",0,836,0.0
unseen,success_lost,cosine,"[0,25%)",5,836,0.005980861244019139
unseen,success_lost,cosine,"[25,50%)",58,836,0.06937799043062201
unseen,success_lost,cosine,"[50,75%)",405,836,0.48444976076555024
unseen,success_lost,cosine,"[75,100%]",368,836,0.44019138755980863
unseen,success_kept,euclidean,"[0,25%)",0,11,0.0
unseen,success_kept,euclidean,"[25,50%)",11,11,1.0
unseen,success_kept,euclidean,"[50,75%)",0,11,0.0
unseen,success_kept,euclidean,"[75,100%]",0,11,0.0
unseen,success_kept,cosine,"[0,25%)",0,11,0.0
unseen,success_kept,cosine,"[25,50%)",4,11,0.36363636363636365
unseen,success_kept,cosine,"[50,75%)",7,11,0.6363636363636364
unseen,success_kept,cosine,"[75,100%]",0,11,0.0
