fold,suite,seed,method,calibration,scope,episodes,failures,successes,tp,fp,recall,fpr,precision,balanced_accuracy
libero_goal_20260907,libero_goal,20260907,euclidean,episode,seen,560,12,548,12,25,1.0,0.04562043795620438,0.32432432432432434,0.9771897810218978
libero_goal_20260907,libero_goal,20260907,euclidean,episode,unseen,1200,78,1122,78,147,1.0,0.13101604278074866,0.3466666666666667,0.9344919786096256
libero_goal_20260907,libero_goal,20260907,euclidean,task_init,seen,560,12,548,12,3,1.0,0.005474452554744526,0.8,0.9972627737226277
libero_goal_20260907,libero_goal,20260907,euclidean,task_init,unseen,1200,78,1122,77,21,0.9871794871794872,0.01871657754010695,0.7857142857142857,0.9842314548196901
libero_goal_20260907,libero_goal,20260907,cosine,episode,seen,560,12,548,1,36,0.08333333333333333,0.06569343065693431,0.02702702702702703,0.5088199513381995
libero_goal_20260907,libero_goal,20260907,cosine,episode,unseen,1200,78,1122,46,305,0.5897435897435898,0.2718360071301248,0.13105413105413105,0.6589537913067325
libero_goal_20260907,libero_goal,20260907,cosine,task_init,seen,560,12,548,0,12,0.0,0.021897810218978103,0.0,0.48905109489051096
libero_goal_20260907,libero_goal,20260907,cosine,task_init,unseen,1200,78,1122,12,98,0.15384615384615385,0.0873440285204991,0.10909090909090909,0.5332510626628273
libero_goal_20260907,libero_goal,20260907,cosine_neighbors_euclidean_score,episode,seen,560,12,548,12,34,1.0,0.06204379562043796,0.2608695652173913,0.968978102189781
libero_goal_20260907,libero_goal,20260907,cosine_neighbors_euclidean_score,episode,unseen,1200,78,1122,77,160,0.9871794871794872,0.14260249554367202,0.32489451476793246,0.9222884958179076
libero_goal_20260907,libero_goal,20260907,cosine_neighbors_euclidean_score,task_init,seen,560,12,548,12,8,1.0,0.014598540145985401,0.6,0.9927007299270073
libero_goal_20260907,libero_goal,20260907,cosine_neighbors_euclidean_score,task_init,unseen,1200,78,1122,63,29,0.8076923076923077,0.025846702317290554,0.6847826086956522,0.8909228026875086
libero_goal_20260907,libero_goal,20260907,euclidean_neighbors_cosine_score,episode,seen,560,12,548,0,49,0.0,0.08941605839416059,0.0,0.4552919708029197
libero_goal_20260907,libero_goal,20260907,euclidean_neighbors_cosine_score,episode,unseen,1200,78,1122,40,268,0.5128205128205128,0.23885918003565063,0.12987012987012986,0.6369806663924311
libero_goal_20260907,libero_goal,20260907,euclidean_neighbors_cosine_score,task_init,seen,560,12,548,0,8,0.0,0.014598540145985401,0.0,0.4927007299270073
