level,method,kind,bin,count,units,fraction
episode,cosine,query,q7-10,4597,6476,0.7098517603458925
episode,cosine,query,q11-14,1123,6476,0.1734095120444719
episode,cosine,query,q15-19,420,6476,0.06485484867201977
episode,cosine,query,q20-29,290,6476,0.044780728844966027
episode,cosine,query,q30-39,43,6476,0.006639901173563928
episode,cosine,query,q40-51,3,6476,0.00046324891908585547
episode,cosine,control_progress,"[0,25%)",4,6476,0.0006176652254478073
episode,cosine,control_progress,"[25,50%)",645,6476,0.09959851760345892
episode,cosine,control_progress,"[50,75%)",2614,6476,0.40364422483014206
episode,cosine,control_progress,"[75,100%)",3213,6476,0.49613959234095123
episode,euclidean,query,q7-10,2714,6476,0.41908585546633725
episode,euclidean,query,q11-14,2745,6476,0.42387276096355775
episode,euclidean,query,q15-19,612,6476,0.09450277949351452
episode,euclidean,query,q20-29,373,6476,0.05759728227300803
episode,euclidean,query,q30-39,31,6476,0.004786905497220506
episode,euclidean,query,q40-51,1,6476,0.00015441630636195183
episode,euclidean,control_progress,"[0,25%)",1,6476,0.00015441630636195183
episode,euclidean,control_progress,"[25,50%)",361,6476,0.05574428659666461
episode,euclidean,control_progress,"[50,75%)",865,6476,0.13357010500308833
episode,euclidean,control_progress,"[75,100%)",5249,6476,0.8105311920938851
task_init,cosine,query,q7-10,559,838,0.6670644391408115
task_init,cosine,query,q11-14,155,838,0.18496420047732698
task_init,cosine,query,q15-19,63,838,0.07517899761336516
task_init,cosine,query,q20-29,49,838,0.05847255369928401
task_init,cosine,query,q30-39,12,838,0.014319809069212411
task_init,cosine,query,q40-51,0,838,0.0
task_init,cosine,control_progress,"[0,25%)",1,838,0.0011933174224343676
task_init,cosine,control_progress,"[25,50%)",69,838,0.08233890214797136
task_init,cosine,control_progress,"[50,75%)",325,838,0.38782816229116945
task_init,cosine,control_progress,"[75,100%)",443,838,0.5286396181384249
task_init,euclidean,query,q7-10,317,838,0.37828162291169454
task_init,euclidean,query,q11-14,362,838,0.431980906921241
task_init,euclidean,query,q15-19,84,838,0.10023866348448687
task_init,euclidean,query,q20-29,62,838,0.07398568019093078
task_init,euclidean,query,q30-39,12,838,0.014319809069212411
task_init,euclidean,query,q40-51,1,838,0.0011933174224343676
task_init,euclidean,control_progress,"[0,25%)",0,838,0.0
task_init,euclidean,control_progress,"[25,50%)",34,838,0.0405727923627685
task_init,euclidean,control_progress,"[50,75%)",117,838,0.13961813842482101
task_init,euclidean,control_progress,"[75,100%)",687,838,0.8198090692124105
