fold,suite,seed,method,global_row,task,init_state_id,noise_seed,episode,length,query,score,norm,control_progress,threshold_group,threshold_episode,dominant_dimension,mobility_norm_fraction,successful_repeats,rank,sets_group_threshold
libero_goal_20260907,libero_goal,20260907,euclidean,1661,libero_goal/push_the_plate_to_the_front_of_the_stove,7,1005,61,14,11,1.8795933723449707,7.406877849232569,0.7857142857142857,1.8795933723449707,1.4257900714874268,6,0.9941228519328145,8,67,True
libero_goal_20260907,libero_goal,20260907,cosine,193,libero_goal/open_the_middle_drawer_of_the_cabinet,24,1001,193,13,8,0.35517197847366333,0.4682924177100916,0.6349206349206349,0.35517197847366333,0.2472061663866043,6,0.8216804335797329,8,67,True
libero_goal_20260908,libero_goal,20260908,euclidean,1631,libero_goal/push_the_plate_to_the_front_of_the_stove,3,1007,31,19,14,2.2302961349487305,4.076115130590831,0.7407407407407407,2.2302961349487305,1.5115138292312622,8,0.012887603924298144,8,68,True
libero_goal_20260908,libero_goal,20260908,cosine,946,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,18,1002,146,26,12,0.34773120284080505,0.9841791010730219,0.46511627906976744,0.34773120284080505,0.23809248208999634,4,0.9150358764471124,7,68,True
libero_goal_20260909,libero_goal,20260909,euclidean,1197,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,49,1005,397,20,14,2.4570610523223877,4.7095917044904105,0.7216494845360825,2.4570610523223877,1.9600365161895752,6,0.8082807426262112,8,68,True
libero_goal_20260909,libero_goal,20260909,cosine,254,libero_goal/open_the_middle_drawer_of_the_cabinet,31,1006,254,12,8,0.35810554027557373,1.22713082117939,0.7079646017699115,0.35810554027557373,0.3053267300128937,9,0.6471618697278276,8,68,True
libero_long_20260907,libero_long,20260907,euclidean,12312,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,39,1000,312,27,26,4.067817211151123,9.917340779114596,0.9629629629629629,4.067817211151123,2.2644810676574707,1,0.8626095010067746,8,68,True
libero_long_20260907,libero_long,20260907,cosine,12951,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,18,1007,151,25,7,0.4215928316116333,0.6452970404361531,0.28688524590163933,0.4215928316116333,0.35114845633506775,4,0.9959653369143656,8,68,True
libero_long_20260908,libero_long,20260908,euclidean,9626,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,3,1002,26,28,19,3.5915188789367676,7.168965701574384,0.6785714285714286,3.5915188789367676,2.3764140605926514,8,0.6012814994150216,8,68,True
libero_long_20260908,libero_long,20260908,cosine,13833,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,29,1001,233,22,20,0.4027995467185974,0.8639611538383696,0.9174311926605505,0.4027995467185974,0.3285919725894928,3,0.9700060243905051,8,68,True
