fold,suite,seed,method,calibration,threshold,units,rank
libero_goal_20260907,libero_goal,20260907,euclidean,episode,1.4257900714874268,558,532
libero_goal_20260907,libero_goal,20260907,euclidean,task_init,1.8795933723449707,70,68
libero_goal_20260907,libero_goal,20260907,cosine,episode,0.2472061663866043,558,532
libero_goal_20260907,libero_goal,20260907,cosine,task_init,0.35517197847366333,70,68
libero_goal_20260907,libero_goal,20260907,cosine_neighbors_euclidean_score,episode,2.1439175605773926,558,532
libero_goal_20260907,libero_goal,20260907,cosine_neighbors_euclidean_score,task_init,3.2541940212249756,70,68
libero_goal_20260907,libero_goal,20260907,euclidean_neighbors_cosine_score,episode,0.3411533832550049,558,532
libero_goal_20260907,libero_goal,20260907,euclidean_neighbors_cosine_score,task_init,0.4953449070453644,70,68
libero_goal_20260907,libero_goal,20260907,cosine_without_center,episode,0.2557586133480072,558,532
libero_goal_20260907,libero_goal,20260907,cosine_without_center,task_init,0.3883940577507019,70,68
libero_goal_20260907,libero_goal,20260907,norm_only,episode,5.713652610778809,558,532
libero_goal_20260907,libero_goal,20260907,norm_only,task_init,6.535240173339844,70,68
libero_goal_20260908,libero_goal,20260908,euclidean,episode,1.5115138292312622,550,524
libero_goal_20260908,libero_goal,20260908,euclidean,task_init,2.2302961349487305,70,68
libero_goal_20260908,libero_goal,20260908,cosine,episode,0.23809248208999634,550,524
libero_goal_20260908,libero_goal,20260908,cosine,task_init,0.34773120284080505,70,68
libero_goal_20260908,libero_goal,20260908,cosine_neighbors_euclidean_score,episode,2.4377129077911377,550,524
libero_goal_20260908,libero_goal,20260908,cosine_neighbors_euclidean_score,task_init,3.225027322769165,70,68
libero_goal_20260908,libero_goal,20260908,euclidean_neighbors_cosine_score,episode,0.30908045172691345,550,524
libero_goal_20260908,libero_goal,20260908,euclidean_neighbors_cosine_score,task_init,0.5461122393608093,70,68
libero_goal_20260908,libero_goal,20260908,cosine_without_center,episode,0.22185297310352325,550,524
libero_goal_20260908,libero_goal,20260908,cosine_without_center,task_init,0.29143959283828735,70,68
libero_goal_20260908,libero_goal,20260908,norm_only,episode,5.791889667510986,550,524
libero_goal_20260908,libero_goal,20260908,norm_only,task_init,6.71298360824585,70,68
libero_goal_20260909,libero_goal,20260909,euclidean,episode,1.9600365161895752,542,516
libero_goal_20260909,libero_goal,20260909,euclidean,task_init,2.4570610523223877,70,68
