fold,suite,seed,method,scope,failure,query,count,episodes
libero_goal_20260907,libero_goal,20260907,euclidean,seen,True,34,0,12
libero_goal_20260907,libero_goal,20260907,euclidean,seen,True,35,0,12
libero_goal_20260907,libero_goal,20260907,euclidean,seen,True,36,0,12
libero_goal_20260907,libero_goal,20260907,euclidean,seen,True,37,0,12
libero_goal_20260907,libero_goal,20260907,euclidean,seen,True,38,0,12
libero_goal_20260907,libero_goal,20260907,euclidean,seen,True,39,0,12
libero_goal_20260907,libero_goal,20260907,euclidean,seen,True,40,0,12
libero_goal_20260907,libero_goal,20260907,euclidean,seen,True,41,0,12
libero_goal_20260907,libero_goal,20260907,euclidean,seen,True,42,0,12
libero_goal_20260907,libero_goal,20260907,euclidean,seen,True,43,0,12
libero_goal_20260907,libero_goal,20260907,euclidean,seen,True,44,0,12
libero_goal_20260907,libero_goal,20260907,euclidean,seen,True,45,0,12
libero_goal_20260907,libero_goal,20260907,euclidean,seen,True,46,0,12
libero_goal_20260907,libero_goal,20260907,euclidean,seen,True,47,0,12
libero_goal_20260907,libero_goal,20260907,euclidean,seen,True,48,0,12
libero_goal_20260907,libero_goal,20260907,euclidean,seen,True,49,0,12
libero_goal_20260907,libero_goal,20260907,euclidean,seen,True,50,0,12
libero_goal_20260907,libero_goal,20260907,euclidean,seen,True,51,0,12
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,-1,1101,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,0,0,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,1,0,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,2,0,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,3,0,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,4,0,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,5,0,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,6,0,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,7,0,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,8,0,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,9,1,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,10,1,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,11,0,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,12,2,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,13,3,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,14,4,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,15,0,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,16,0,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,17,3,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,18,5,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,19,1,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,20,1,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,21,0,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,22,0,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,23,0,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,24,0,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,25,0,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,26,0,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,27,0,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,28,0,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,29,0,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,30,0,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,31,0,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,32,0,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,33,0,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,34,0,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,35,0,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,36,0,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,37,0,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,38,0,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,39,0,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,40,0,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,41,0,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,42,0,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,43,0,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,44,0,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,45,0,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,46,0,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,47,0,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,48,0,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,49,0,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,50,0,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,False,51,0,1122
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,-1,1,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,0,0,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,1,0,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,2,0,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,3,0,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,4,0,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,5,0,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,6,0,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,7,0,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,8,0,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,9,0,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,10,1,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,11,2,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,12,7,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,13,3,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,14,3,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,15,1,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,16,8,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,17,14,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,18,8,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,19,2,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,20,1,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,21,4,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,22,15,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,23,2,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,24,1,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,25,0,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,26,0,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,27,1,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,28,3,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,29,1,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,30,0,78
