suite,method,calibration,scope,episodes,failures,successes,tp,fp,fn,tn,recall,fpr,precision
libero_goal,cosine,episode,seen,1680,57,1623,8,97,49,1526,0.14035087719298245,0.05976586568083796,0.0761904761904762
libero_goal,cosine,episode,unseen,3600,89,3511,46,484,43,3027,0.5168539325842697,0.13785246368555967,0.08679245283018867
libero_goal,cosine,task_init,seen,1680,57,1623,1,30,56,1593,0.017543859649122806,0.018484288354898338,0.03225806451612903
libero_goal,cosine,task_init,unseen,3600,89,3511,12,127,77,3384,0.1348314606741573,0.03617203076046711,0.08633093525179857
libero_goal,cosine_neighbors_euclidean_score,episode,seen,1680,57,1623,57,88,0,1535,1.0,0.054220579174368455,0.3931034482758621
libero_goal,cosine_neighbors_euclidean_score,episode,unseen,3600,89,3511,88,807,1,2704,0.9887640449438202,0.2298490458558815,0.09832402234636871
libero_goal,cosine_neighbors_euclidean_score,task_init,seen,1680,57,1623,55,22,2,1601,0.9649122807017544,0.013555144793592114,0.7142857142857143
libero_goal,cosine_neighbors_euclidean_score,task_init,unseen,3600,89,3511,74,417,15,3094,0.8314606741573034,0.11876958131586443,0.15071283095723015
libero_goal,cosine_without_center,episode,seen,1680,57,1623,23,71,34,1552,0.40350877192982454,0.04374614910659273,0.24468085106382978
libero_goal,cosine_without_center,episode,unseen,3600,89,3511,48,483,41,3028,0.5393258426966292,0.13756764454571346,0.0903954802259887
libero_goal,cosine_without_center,task_init,seen,1680,57,1623,13,16,44,1607,0.22807017543859648,0.009858287122612447,0.4482758620689655
libero_goal,cosine_without_center,task_init,unseen,3600,89,3511,12,163,77,3348,0.1348314606741573,0.04642551979493022,0.06857142857142857
libero_goal,euclidean,episode,seen,1680,57,1623,57,78,0,1545,1.0,0.04805914972273567,0.4222222222222222
libero_goal,euclidean,episode,unseen,3600,89,3511,89,820,0,2691,1.0,0.2335516946738821,0.09790979097909791
libero_goal,euclidean,task_init,seen,1680,57,1623,56,13,1,1610,0.9824561403508771,0.008009858287122612,0.8115942028985508
libero_goal,euclidean,task_init,unseen,3600,89,3511,88,504,1,3007,0.9887640449438202,0.14354884648248362,0.14864864864864866
libero_goal,euclidean_neighbors_cosine_score,episode,seen,1680,57,1623,12,140,45,1483,0.21052631578947367,0.0862600123228589,0.07894736842105263
libero_goal,euclidean_neighbors_cosine_score,episode,unseen,3600,89,3511,40,585,49,2926,0.449438202247191,0.16661919681002563,0.064
libero_goal,euclidean_neighbors_cosine_score,task_init,seen,1680,57,1623,1,23,56,1600,0.017543859649122806,0.014171287738755391,0.041666666666666664
libero_goal,euclidean_neighbors_cosine_score,task_init,unseen,3600,89,3511,12,96,77,3415,0.1348314606741573,0.027342637425234975,0.1111111111111111
libero_goal,norm_only,episode,seen,1680,57,1623,56,99,1,1524,0.9824561403508771,0.06099815157116451,0.36129032258064514
libero_goal,norm_only,episode,unseen,3600,89,3511,74,605,15,2906,0.8314606741573034,0.1723155796069496,0.10898379970544919
libero_goal,norm_only,task_init,seen,1680,57,1623,53,37,4,1586,0.9298245614035088,0.02279728897104128,0.5888888888888889
libero_goal,norm_only,task_init,unseen,3600,89,3511,68,410,21,3101,0.7640449438202247,0.11677584733694105,0.14225941422594143
libero_long,cosine,episode,seen,1680,109,1571,2,64,107,1507,0.01834862385321101,0.04073838319541693,0.030303030303030304
libero_long,cosine,episode,unseen,3600,240,3360,10,227,230,3133,0.041666666666666664,0.0675595238095238,0.04219409282700422
libero_long,cosine,task_init,seen,1680,109,1571,0,8,109,1563,0.0,0.005092297899427116,0.0
libero_long,cosine,task_init,unseen,3600,240,3360,1,38,239,3322,0.004166666666666667,0.01130952380952381,0.02564102564102564
libero_long,cosine_neighbors_euclidean_score,episode,seen,1680,109,1571,69,74,40,1497,0.6330275229357798,0.047103755569700825,0.4825174825174825
libero_long,cosine_neighbors_euclidean_score,episode,unseen,3600,240,3360,190,586,50,2774,0.7916666666666666,0.1744047619047619,0.24484536082474226
libero_long,cosine_neighbors_euclidean_score,task_init,seen,1680,109,1571,39,13,70,1558,0.3577981651376147,0.008274984086569064,0.75
libero_long,cosine_neighbors_euclidean_score,task_init,unseen,3600,240,3360,131,107,109,3253,0.5458333333333333,0.03184523809523809,0.5504201680672269
libero_long,cosine_without_center,episode,seen,1680,109,1571,6,56,103,1515,0.05504587155963303,0.03564608529598982,0.0967741935483871
libero_long,cosine_without_center,episode,unseen,3600,240,3360,66,487,174,2873,0.275,0.1449404761904762,0.11934900542495479
libero_long,cosine_without_center,task_init,seen,1680,109,1571,3,10,106,1561,0.027522935779816515,0.006365372374283896,0.23076923076923078
libero_long,cosine_without_center,task_init,unseen,3600,240,3360,12,126,228,3234,0.05,0.0375,0.08695652173913043
libero_long,euclidean,episode,seen,1680,109,1571,102,82,7,1489,0.9357798165137615,0.052196053469127944,0.5543478260869565
libero_long,euclidean,episode,unseen,3600,240,3360,239,507,1,2853,0.9958333333333333,0.15089285714285713,0.3203753351206434
libero_long,euclidean,task_init,seen,1680,109,1571,57,25,52,1546,0.5229357798165137,0.015913430935709738,0.6951219512195121
libero_long,euclidean,task_init,unseen,3600,240,3360,193,47,47,3313,0.8041666666666667,0.013988095238095239,0.8041666666666667
libero_long,euclidean_neighbors_cosine_score,episode,seen,1680,109,1571,2,58,107,1513,0.01834862385321101,0.036919159770846595,0.03333333333333333
libero_long,euclidean_neighbors_cosine_score,episode,unseen,3600,240,3360,1,163,239,3197,0.004166666666666667,0.04851190476190476,0.006097560975609756
libero_long,euclidean_neighbors_cosine_score,task_init,seen,1680,109,1571,0,8,109,1563,0.0,0.005092297899427116,0.0
