fold,suite,method,episode,task_init,group_over_episode_threshold
libero_goal_20260907,libero_goal,cosine,0.2472061663866043,0.35517197847366333,1.4367440087162384
libero_goal_20260907,libero_goal,cosine_neighbors_euclidean_score,2.1439175605773926,3.2541940212249756,1.5178727396348985
libero_goal_20260907,libero_goal,cosine_without_center,0.2557586133480072,0.3883940577507019,1.51859619766635
libero_goal_20260907,libero_goal,euclidean,1.4257900714874268,1.8795933723449707,1.3182819897070281
libero_goal_20260907,libero_goal,euclidean_neighbors_cosine_score,0.3411533832550049,0.4953449070453644,1.451971257969629
libero_goal_20260907,libero_goal,norm_only,5.713652610778809,6.535240173339844,1.143793754806008
libero_goal_20260908,libero_goal,cosine,0.23809248208999634,0.34773120284080505,1.460487957403739
libero_goal_20260908,libero_goal,cosine_neighbors_euclidean_score,2.4377129077911377,3.225027322769165,1.3229725750155827
libero_goal_20260908,libero_goal,cosine_without_center,0.22185297310352325,0.29143959283828735,1.3136609744792236
libero_goal_20260908,libero_goal,euclidean,1.5115138292312622,2.2302961349487305,1.4755380280463808
libero_goal_20260908,libero_goal,euclidean_neighbors_cosine_score,0.30908045172691345,0.5461122393608093,1.7668934942651249
libero_goal_20260908,libero_goal,norm_only,5.791889667510986,6.71298360824585,1.1590316794019135
libero_goal_20260909,libero_goal,cosine,0.3053267300128937,0.35810554027557373,1.1728601038646411
libero_goal_20260909,libero_goal,cosine_neighbors_euclidean_score,2.785034656524658,3.596515655517578,1.2913719572903042
libero_goal_20260909,libero_goal,cosine_without_center,0.2529117465019226,0.324882835149765,1.2845699721080186
libero_goal_20260909,libero_goal,euclidean,1.9600365161895752,2.4570610523223877,1.2535792226458398
libero_goal_20260909,libero_goal,euclidean_neighbors_cosine_score,0.38825029134750366,0.49244794249534607,1.2683775221035964
libero_goal_20260909,libero_goal,norm_only,6.193930149078369,7.400092601776123,1.1947329762634191
libero_long_20260907,libero_long,cosine,0.35114845633506775,0.4215928316116333,1.2006113767715019
libero_long_20260907,libero_long,cosine_neighbors_euclidean_score,5.035849571228027,6.448563575744629,1.2805314147166038
libero_long_20260907,libero_long,cosine_without_center,0.3230465054512024,0.3876101076602936,1.1998585377635165
libero_long_20260907,libero_long,euclidean,2.2644810676574707,4.067817211151123,1.7963573505867916
libero_long_20260907,libero_long,euclidean_neighbors_cosine_score,0.521062433719635,0.680842399597168,1.3066426507413598
libero_long_20260907,libero_long,norm_only,9.174015998840332,13.638026237487793,1.4865928116118117
libero_long_20260908,libero_long,cosine,0.3285919725894928,0.4027995467185974,1.2258350182577695
libero_long_20260908,libero_long,cosine_neighbors_euclidean_score,6.39286994934082,7.750347137451172,1.2123423750001865
libero_long_20260908,libero_long,cosine_without_center,0.3206646144390106,0.3889925479888916,1.2130822375565755
libero_long_20260908,libero_long,euclidean,2.3764140605926514,3.5915188789367676,1.5113186453883725
libero_long_20260908,libero_long,euclidean_neighbors_cosine_score,0.46506184339523315,0.5985310077667236,1.2869922920295604
libero_long_20260908,libero_long,norm_only,9.540121078491211,13.035369873046875,1.366373630460091
libero_long_20260909,libero_long,cosine,0.358991801738739,0.429747998714447,1.197096971666227
libero_long_20260909,libero_long,cosine_neighbors_euclidean_score,4.323843955993652,6.223568439483643,1.4393600932005464
libero_long_20260909,libero_long,cosine_without_center,0.36979228258132935,0.41909292340278625,1.1333198207310184
libero_long_20260909,libero_long,euclidean,2.4896090030670166,4.622232437133789,1.8566097854882175
libero_long_20260909,libero_long,euclidean_neighbors_cosine_score,0.4846693277359009,0.5775328278541565,1.191601768059186
libero_long_20260909,libero_long,norm_only,9.124192237854004,12.386573791503906,1.3575529174095098
libero_object_20260907,libero_object,cosine,0.3086901903152466,0.41546857357025146,1.3459079251788293
libero_object_20260907,libero_object,cosine_neighbors_euclidean_score,3.2876105308532715,4.077333450317383,1.2402118231623822
libero_object_20260907,libero_object,cosine_without_center,0.2618770897388458,0.4006713032722473,1.529997540723446
libero_object_20260907,libero_object,euclidean,1.6222567558288574,2.3483307361602783,1.4475703230839367
libero_object_20260907,libero_object,euclidean_neighbors_cosine_score,0.45097801089286804,0.5597735643386841,1.2412435879754256
libero_object_20260907,libero_object,norm_only,7.227652072906494,8.01672077178955,1.109173586515177
libero_object_20260908,libero_object,cosine,0.3255545198917389,0.40654775500297546,1.2487854726703544
libero_object_20260908,libero_object,cosine_neighbors_euclidean_score,2.4706408977508545,3.2662062644958496,1.3220076893688748
libero_object_20260908,libero_object,cosine_without_center,0.20266041159629822,0.3302958607673645,1.62979961486172
libero_object_20260908,libero_object,euclidean,1.5130363702774048,1.8084982633590698,1.195277455906426
libero_object_20260908,libero_object,euclidean_neighbors_cosine_score,0.41228747367858887,0.5976927876472473,1.4496991196807418
libero_object_20260908,libero_object,norm_only,6.018590927124023,6.813446521759033,1.132066725294924
libero_object_20260909,libero_object,cosine,0.2925528883934021,0.45691999793052673,1.5618372474111302
libero_object_20260909,libero_object,cosine_neighbors_euclidean_score,2.6086056232452393,3.1500613689422607,1.2075651991516536
libero_object_20260909,libero_object,cosine_without_center,0.20445045828819275,0.28723201155662537,1.4048978611324217
libero_object_20260909,libero_object,euclidean,1.4448766708374023,2.27472186088562,1.5743363477294343
libero_object_20260909,libero_object,euclidean_neighbors_cosine_score,0.4175122380256653,0.6725276112556458,1.6107973611405952
libero_object_20260909,libero_object,norm_only,5.419795036315918,6.486364841461182,1.1967915387941053
libero_spatial_20260907,libero_spatial,cosine,0.2866169512271881,0.37882402539253235,1.3217083768791327
libero_spatial_20260907,libero_spatial,cosine_neighbors_euclidean_score,2.4496548175811768,3.3832507133483887,1.3811132446362617
libero_spatial_20260907,libero_spatial,cosine_without_center,0.17547430098056793,0.24326469004154205,1.3863265941631033
libero_spatial_20260907,libero_spatial,euclidean,1.6978949308395386,2.0431175231933594,1.203323884230647
libero_spatial_20260907,libero_spatial,euclidean_neighbors_cosine_score,0.39556393027305603,0.5840029716491699,1.476380748987996
libero_spatial_20260907,libero_spatial,norm_only,5.771791934967041,6.989538669586182,1.2109824380954741
libero_spatial_20260908,libero_spatial,cosine,0.23054994642734528,0.33105504512786865,1.435936335089092
libero_spatial_20260908,libero_spatial,cosine_neighbors_euclidean_score,2.8237407207489014,3.8259568214416504,1.3549249735743958
libero_spatial_20260908,libero_spatial,cosine_without_center,0.2138056457042694,0.32842281460762024,1.5360811148171756
libero_spatial_20260908,libero_spatial,euclidean,1.6633491516113281,2.1334073543548584,1.2825974343920354
libero_spatial_20260908,libero_spatial,euclidean_neighbors_cosine_score,0.3293348550796509,0.4898412823677063,1.4873654422312401
libero_spatial_20260908,libero_spatial,norm_only,6.84358024597168,7.774963855743408,1.1360959580067709
libero_spatial_20260909,libero_spatial,cosine,0.257755309343338,0.38089168071746826,1.4777258388501662
libero_spatial_20260909,libero_spatial,cosine_neighbors_euclidean_score,2.3420374393463135,3.586400032043457,1.5313162683874335
libero_spatial_20260909,libero_spatial,cosine_without_center,0.22505512833595276,0.31518059968948364,1.4004595319374167
libero_spatial_20260909,libero_spatial,euclidean,1.461551547050476,1.9179973602294922,1.312302233951419
libero_spatial_20260909,libero_spatial,euclidean_neighbors_cosine_score,0.36948704719543457,0.5081954002380371,1.3754078907378717
libero_spatial_20260909,libero_spatial,norm_only,5.146799087524414,6.282527446746826,1.220666931020362
