fold,suite,seed,queries,euclidean,cosine,uncentered_query_norm_min,seconds
libero_goal_20260907,libero_goal,20260907,11742,0.0,0.0,0.19815193377876614,50.52776981703937
libero_goal_20260908,libero_goal,20260908,9391,0.0,0.0,0.22870191034184917,23.310778219252825
libero_goal_20260909,libero_goal,20260909,10794,0.0,0.0,0.5466565642636687,36.826887372881174
libero_long_20260907,libero_long,20260907,44398,0.0,0.0,0.4331846267205198,155.21378289163113
libero_long_20260908,libero_long,20260908,49100,0.0,0.0,0.4596384976975374,5.138923084363341
libero_long_20260909,libero_long,20260909,44241,0.0,0.0,0.4461760215884429,4.570344736799598
libero_object_20260907,libero_object,20260907,16830,0.0,0.0,0.5607706257512793,1.9422095138579607
libero_object_20260908,libero_object,20260908,16853,0.0,0.0,0.38518848789193993,2.0052941367030144
libero_object_20260909,libero_object,20260909,16828,0.0,0.0,0.4069366670314251,1.9774654302746058
libero_spatial_20260907,libero_spatial,20260907,8572,0.0,0.0,0.6159455648650094,1.191745052114129
libero_spatial_20260908,libero_spatial,20260908,9785,0.0,0.0,0.6582387840991901,1.3084680456668139
libero_spatial_20260909,libero_spatial,20260909,9872,0.0,0.0,0.559841188887635,1.343404646962881
