query,executed_actions_before_query,norm,euclidean_score,euclidean_threshold,euclidean_first_alarm,cosine_score,cosine_threshold,cosine_first_alarm,cosine_neighbors_euclidean_score_score,cosine_neighbors_euclidean_score_threshold,cosine_neighbors_euclidean_score_first_alarm,euclidean_neighbors_cosine_score_score,euclidean_neighbors_cosine_score_threshold,euclidean_neighbors_cosine_score_first_alarm,cosine_without_center_score,cosine_without_center_threshold,cosine_without_center_first_alarm,norm_only_score,norm_only_threshold,norm_only_first_alarm,euclidean_neighbors_norm,euclidean_neighbors_neighbor_norm_mean,euclidean_neighbors_neighbor_norm_min,euclidean_neighbors_neighbor_norm_max,euclidean_neighbors_norm_ratio,euclidean_neighbors_euclidean,euclidean_neighbors_cosine,euclidean_neighbors_radial_contribution,euclidean_neighbors_angular_contribution,euclidean_neighbors_radial_fraction,cosine_neighbors_norm,cosine_neighbors_neighbor_norm_mean,cosine_neighbors_neighbor_norm_min,cosine_neighbors_neighbor_norm_max,cosine_neighbors_norm_ratio,cosine_neighbors_euclidean,cosine_neighbors_cosine,cosine_neighbors_radial_contribution,cosine_neighbors_angular_contribution,cosine_neighbors_radial_fraction
0,0,,,4.067817211151123,33,,0.4215928316116333,-1,,6.448563575744629,33,,0.680842399597168,-1,,0.3876101076602936,-1,,13.638026237487793,33,,,,,,,,,,,,,,,,,,,,
1,10,,,4.067817211151123,33,,0.4215928316116333,-1,,6.448563575744629,33,,0.680842399597168,-1,,0.3876101076602936,-1,,13.638026237487793,33,,,,,,,,,,,,,,,,,,,,
2,20,,,4.067817211151123,33,,0.4215928316116333,-1,,6.448563575744629,33,,0.680842399597168,-1,,0.3876101076602936,-1,,13.638026237487793,33,,,,,,,,,,,,,,,,,,,,
3,30,,,4.067817211151123,33,,0.4215928316116333,-1,,6.448563575744629,33,,0.680842399597168,-1,,0.3876101076602936,-1,,13.638026237487793,33,,,,,,,,,,,,,,,,,,,,
4,40,,,4.067817211151123,33,,0.4215928316116333,-1,,6.448563575744629,33,,0.680842399597168,-1,,0.3876101076602936,-1,,13.638026237487793,33,,,,,,,,,,,,,,,,,,,,
5,50,,,4.067817211151123,33,,0.4215928316116333,-1,,6.448563575744629,33,,0.680842399597168,-1,,0.3876101076602936,-1,,13.638026237487793,33,,,,,,,,,,,,,,,,,,,,
6,60,,,4.067817211151123,33,,0.4215928316116333,-1,,6.448563575744629,33,,0.680842399597168,-1,,0.3876101076602936,-1,,13.638026237487793,33,,,,,,,,,,,,,,,,,,,,
7,70,2.354458961325429,0.8208330869674683,4.067817211151123,33,0.02760348841547966,0.4215928316116333,-1,1.816500186920166,6.448563575744629,33,0.04858729615807533,0.680842399597168,-1,0.13851502537727356,0.3876101076602936,-1,2.354459047317505,13.638026237487793,33,2.354458961325429,2.508003986125755,1.969968939304247,3.012983267345215,0.9387779981013847,0.8208330862578856,0.04858729605233409,0.14622534366052148,0.6746077425973624,0.17814260427433729,2.354458961325429,3.97006592913162,2.285074884568329,6.427854706331787,0.5930528619307902,1.8165001389890942,0.02760348857879527,1.4914383452417248,0.32506179374736865,0.8210504988299805
8,80,3.1497625155362003,0.9749715924263,4.067817211151123,33,0.03446181118488312,0.4215928316116333,-1,1.24769926071167,6.448563575744629,33,0.04274817928671837,0.680842399597168,-1,0.1163741797208786,0.3876101076602936,-1,3.1497626304626465,13.638026237487793,33,3.1497625155362003,3.0213596087921775,2.285074884568329,3.7504263784062455,1.0424983859486205,0.9749716150715511,0.04274818036295029,0.15078421125678598,0.8241874038147653,0.15465497551507718,3.1497625155362003,3.415541707354931,1.969968939304247,5.365769491115463,0.9221853472770046,1.2476993137085146,0.03446181044945892,0.6319097127578494,0.6157896009506658,0.5064599345491626
9,90,3.9286947799445984,1.3011856079101562,4.067817211151123,33,0.04065930098295212,0.4215928316116333,-1,1.465137243270874,6.448563575744629,33,0.04966898262500763,0.680842399597168,-1,0.11410856246948242,0.3876101076602936,-1,3.928694725036621,13.638026237487793,33,3.9286947799445984,3.5928489779204065,2.9030402370157713,4.351821523816284,1.0934761811832638,1.301185579560347,0.04966898438868449,0.2285576014727002,1.0726279780876438,0.1756533465041372,3.9286947799445984,3.357536717709322,1.921188313078889,5.100194677134373,1.1701122311552705,1.4651372015009483,0.040659299574017385,0.6783336702199507,0.7868035312809949,0.4629830363497952
