fold,suite,seed,method,global_row,task,init_state_id,noise_seed,episode,length,query,score,norm,control_progress,threshold_group,threshold_episode,dominant_dimension,mobility_norm_fraction
libero_goal_20260907,libero_goal,20260907,euclidean,48,libero_goal/open_the_middle_drawer_of_the_cabinet,6,1000,48,13,12,0.9991455078125,1.8321403020878182,0.9375,1.8795933723449707,1.4257900714874268,2,0.7472997390807362
libero_goal_20260907,libero_goal,20260907,euclidean,49,libero_goal/open_the_middle_drawer_of_the_cabinet,6,1001,49,13,12,1.1607011556625366,1.8758479452837846,0.9523809523809523,1.8795933723449707,1.4257900714874268,5,0.8303088900370129
libero_goal_20260907,libero_goal,20260907,euclidean,50,libero_goal/open_the_middle_drawer_of_the_cabinet,6,1002,50,13,9,1.0444234609603882,1.72301041458616,0.6976744186046512,1.8795933723449707,1.4257900714874268,8,0.29130221306092186
libero_goal_20260907,libero_goal,20260907,euclidean,51,libero_goal/open_the_middle_drawer_of_the_cabinet,6,1003,51,13,9,1.0415881872177124,1.7652102205921703,0.7086614173228346,1.8795933723449707,1.4257900714874268,8,0.26168016874338673
libero_goal_20260907,libero_goal,20260907,euclidean,52,libero_goal/open_the_middle_drawer_of_the_cabinet,6,1004,52,13,12,1.0215182304382324,2.019620571164865,0.9302325581395349,1.8795933723449707,1.4257900714874268,8,0.6998429598264571
libero_goal_20260907,libero_goal,20260907,euclidean,53,libero_goal/open_the_middle_drawer_of_the_cabinet,6,1005,53,13,12,0.9919211864471436,1.880380181927385,0.9448818897637795,1.8795933723449707,1.4257900714874268,8,0.6121737844241241
libero_goal_20260907,libero_goal,20260907,euclidean,54,libero_goal/open_the_middle_drawer_of_the_cabinet,6,1006,54,13,12,0.9939002990722656,1.716480970711194,0.9302325581395349,1.8795933723449707,1.4257900714874268,3,0.785917217562909
libero_goal_20260907,libero_goal,20260907,euclidean,55,libero_goal/open_the_middle_drawer_of_the_cabinet,6,1007,55,13,12,0.8725647926330566,1.9076296809356954,0.9302325581395349,1.8795933723449707,1.4257900714874268,2,0.7955221300219887
libero_goal_20260907,libero_goal,20260907,euclidean,56,libero_goal/open_the_middle_drawer_of_the_cabinet,7,1000,56,12,9,0.8469529151916504,1.4192344489781423,0.7894736842105263,1.8795933723449707,1.4257900714874268,8,0.3359246798703466
libero_goal_20260907,libero_goal,20260907,euclidean,57,libero_goal/open_the_middle_drawer_of_the_cabinet,7,1001,57,12,11,0.9144356846809387,1.7922869126636172,0.9734513274336283,1.8795933723449707,1.4257900714874268,8,0.4669871823709013
libero_goal_20260907,libero_goal,20260907,euclidean,58,libero_goal/open_the_middle_drawer_of_the_cabinet,7,1002,58,13,10,0.9713882803916931,4.09658644079835,0.7936507936507936,1.8795933723449707,1.4257900714874268,8,0.42655462219476853
libero_goal_20260907,libero_goal,20260907,euclidean,59,libero_goal/open_the_middle_drawer_of_the_cabinet,7,1003,59,12,11,1.0800719261169434,1.89056841735119,0.9734513274336283,1.8795933723449707,1.4257900714874268,8,0.43014752415227264
libero_goal_20260907,libero_goal,20260907,euclidean,60,libero_goal/open_the_middle_drawer_of_the_cabinet,7,1004,60,12,11,1.0389058589935303,1.8395108479099764,0.9734513274336283,1.8795933723449707,1.4257900714874268,8,0.4565712930161001
libero_goal_20260907,libero_goal,20260907,euclidean,61,libero_goal/open_the_middle_drawer_of_the_cabinet,7,1005,61,12,11,0.9381474852561951,1.6557483398898938,0.9821428571428571,1.8795933723449707,1.4257900714874268,2,0.5963100420745193
libero_goal_20260907,libero_goal,20260907,euclidean,62,libero_goal/open_the_middle_drawer_of_the_cabinet,7,1006,62,12,11,0.9512940645217896,1.8446885332566252,0.9649122807017544,1.8795933723449707,1.4257900714874268,8,0.45932807254343977
libero_goal_20260907,libero_goal,20260907,euclidean,63,libero_goal/open_the_middle_drawer_of_the_cabinet,7,1007,63,12,9,0.8879477977752686,1.5758084419723688,0.782608695652174,1.8795933723449707,1.4257900714874268,8,0.1616762207844002
libero_goal_20260907,libero_goal,20260907,euclidean,184,libero_goal/open_the_middle_drawer_of_the_cabinet,23,1000,184,12,11,0.9034333825111389,2.2514006613128035,0.9243697478991597,1.8795933723449707,1.4257900714874268,7,0.9691213797298827
