relation,role,category,target,preds,cohort,tau_q,tau,mode,persist,rel_resid_dev_main,alarms,tp,fp,recall,precision,median_lead,tp_lead0,fp_lead0,recall_lead0,tp_lead2,fp_lead2,recall_lead2,tp_lead4,fp_lead4,recall_lead4,tp_lead8,fp_lead8,recall_lead8,tp_lead12,fp_lead12,recall_lead12,baseline_tp_at_same_fp,excess_tp
C229,empirical_invariant,empirical:same_metric,lg.state_action_alignment@L5[agg],sp.state_action_alignment@L5[s0],development_main,0.9,1.6512717648769843,abs,1,0.03920341477144398,8029,385,7644,0.7905544147843943,0.04795117698343505,37.0,385,7644,0.7905544147843943,383,7217,0.7864476386036962,379,6691,0.7782340862422998,375,4911,0.7700205338809035,359,2429,0.7371663244353183,487,-108
C229,empirical_invariant,empirical:same_metric,lg.state_action_alignment@L5[agg],sp.state_action_alignment@L5[s0],external_8b,0.9,1.6512717648769843,abs,1,0.03920341477144398,8914,468,8446,0.8297872340425532,0.05250168274624187,37.0,468,8446,0.8297872340425532,468,8005,0.8297872340425532,466,7503,0.8262411347517731,463,5721,0.8209219858156028,437,3216,0.774822695035461,564,-98
C229,empirical_invariant,empirical:same_metric,lg.state_action_alignment@L5[agg],sp.state_action_alignment@L5[s0],development_main,0.9,1.6512717648769843,abs,2,0.03920341477144398,3228,259,2969,0.5318275154004107,0.08023543990086741,37.0,259,2969,0.5318275154004107,256,2885,0.5256673511293635,247,2660,0.5071868583162218,241,2023,0.4948665297741273,220,1100,0.4517453798767967,487,-240
C229,empirical_invariant,empirical:same_metric,lg.state_action_alignment@L5[agg],sp.state_action_alignment@L5[s0],external_8b,0.9,1.6512717648769843,abs,2,0.03920341477144398,3886,316,3570,0.5602836879432624,0.08131755018013381,37.0,316,3570,0.5602836879432624,313,3454,0.5549645390070922,299,3194,0.5301418439716312,292,2497,0.5177304964539007,269,1587,0.4769503546099291,424,-125
C229,empirical_invariant,empirical:same_metric,lg.state_action_alignment@L5[agg],sp.state_action_alignment@L5[s0],development_main,0.9,1.6512717648769843,pos,1,0.03920341477144398,5047,158,4889,0.324435318275154,0.03130572617396473,21.0,158,4889,0.324435318275154,155,4787,0.3182751540041068,147,4462,0.30184804928131415,133,3055,0.2731006160164271,129,1135,0.2648870636550308,487,-340
C229,empirical_invariant,empirical:same_metric,lg.state_action_alignment@L5[agg],sp.state_action_alignment@L5[s0],external_8b,0.9,1.6512717648769843,pos,1,0.03920341477144398,5486,189,5297,0.3351063829787234,0.034451330659861466,21.0,189,5297,0.3351063829787234,185,5200,0.3280141843971631,175,4894,0.3102836879432624,162,3464,0.2872340425531915,158,1485,0.2801418439716312,564,-389
C229,empirical_invariant,empirical:same_metric,lg.state_action_alignment@L5[agg],sp.state_action_alignment@L5[s0],development_main,0.9,1.6512717648769843,pos,2,0.03920341477144398,1692,52,1640,0.10677618069815195,0.030732860520094562,17.0,52,1640,0.10677618069815195,51,1588,0.10472279260780287,39,1478,0.08008213552361396,34,978,0.06981519507186858,28,394,0.057494866529774126,361,-322
C229,empirical_invariant,empirical:same_metric,lg.state_action_alignment@L5[agg],sp.state_action_alignment@L5[s0],external_8b,0.9,1.6512717648769843,pos,2,0.03920341477144398,1944,73,1871,0.12943262411347517,0.03755144032921811,24.0,73,1871,0.12943262411347517,70,1815,0.12411347517730496,53,1707,0.09397163120567376,48,1183,0.0851063829787234,44,587,0.07801418439716312,424,-371
C229,empirical_invariant,empirical:same_metric,lg.state_action_alignment@L5[agg],sp.state_action_alignment@L5[s0],development_main,0.9,1.6512717648769843,neg,1,0.03920341477144398,4486,311,4175,0.6386036960985626,0.0693267944716897,38.0,311,4175,0.6386036960985626,311,3703,0.6386036960985626,309,3189,0.6344969199178645,309,2518,0.6344969199178645,288,1659,0.5913757700205339,487,-178
C229,empirical_invariant,empirical:same_metric,lg.state_action_alignment@L5[agg],sp.state_action_alignment@L5[s0],external_8b,0.9,1.6512717648769843,neg,1,0.03920341477144398,5227,402,4825,0.7127659574468085,0.07690836043619667,38.0,402,4825,0.7127659574468085,400,4305,0.7092198581560284,400,3793,0.7092198581560284,395,3117,0.700354609929078,362,2262,0.6418439716312057,564,-164
C229,empirical_invariant,empirical:same_metric,lg.state_action_alignment@L5[agg],sp.state_action_alignment@L5[s0],development_main,0.9,1.6512717648769843,neg,2,0.03920341477144398,1708,220,1488,0.4517453798767967,0.1288056206088993,37.0,220,1488,0.4517453798767967,218,1442,0.44763860369609854,218,1306,0.44763860369609854,216,1132,0.44353182751540043,203,751,0.41683778234086244,361,-143
C229,empirical_invariant,empirical:same_metric,lg.state_action_alignment@L5[agg],sp.state_action_alignment@L5[s0],external_8b,0.9,1.6512717648769843,neg,2,0.03920341477144398,2105,264,1841,0.46808510638297873,0.12541567695961994,37.0,264,1841,0.46808510638297873,263,1775,0.46631205673758863,262,1599,0.4645390070921986,258,1408,0.4574468085106383,238,1043,0.4219858156028369,424,-162
C229,empirical_invariant,empirical:same_metric,lg.state_action_alignment@L5[agg],sp.state_action_alignment@L5[s0],development_main,0.95,2.1349881349930926,abs,1,0.03920341477144398,5088,300,4788,0.6160164271047228,0.0589622641509434,37.0,300,4788,0.6160164271047228,300,4473,0.6160164271047228,291,4186,0.5975359342915811,289,3192,0.5934291581108829,273,1594,0.5605749486652978,487,-196
C229,empirical_invariant,empirical:same_metric,lg.state_action_alignment@L5[agg],sp.state_action_alignment@L5[s0],external_8b,0.95,2.1349881349930926,abs,1,0.03920341477144398,5828,365,5463,0.6471631205673759,0.06262868908716542,37.0,365,5463,0.6471631205673759,364,5139,0.6453900709219859,359,4801,0.6365248226950354,352,3687,0.624113475177305,334,2138,0.5921985815602837,564,-205
