failure_group,transition_phase,layer_group,token,metric,failures,matched_percentile_mean,failure_raw_mean,same_run_init_success_mean
all_failures,0.1,back_L12_15,state,lag1_soft_change,1267,0.572213888168335,0.1017787978053093,0.10084797441959381
all_failures,0.1,back_L12_15,state,lag1_hard_churn,1267,0.5218976736068726,0.667794942855835,0.6735042333602905
all_failures,0.1,back_L12_15,state,lag2_soft_change,1267,0.5545439720153809,0.13010364770889282,0.12936128675937653
all_failures,0.1,back_L12_15,T1,lag1_soft_change,1267,0.4230388104915619,0.04077194258570671,0.0417332649230957
all_failures,0.1,back_L12_15,T1,lag1_hard_churn,1267,0.4322842061519623,0.8249862194061279,0.8350085616111755
all_failures,0.1,back_L12_15,T1,lag2_soft_change,1267,0.3616173565387726,0.0469200536608696,0.04815556854009628
all_failures,0.1,back_L12_15,T2,lag1_soft_change,1267,0.42735370993614197,0.038700081408023834,0.03955671191215515
all_failures,0.1,back_L12_15,T2,lag1_hard_churn,1267,0.4490865170955658,0.8553550839424133,0.8613803386688232
all_failures,0.1,back_L12_15,T2,lag2_soft_change,1267,0.3579558730125427,0.04373288154602051,0.04514794424176216
all_failures,0.1,back_L12_15,T3,lag1_soft_change,1267,0.4646497964859009,0.03780761733651161,0.03821295127272606
all_failures,0.1,back_L12_15,T3,lag1_hard_churn,1267,0.4616506099700928,0.873863697052002,0.8790060877799988
all_failures,0.1,back_L12_15,T3,lag2_soft_change,1267,0.4005693793296814,0.041841328144073486,0.04263392463326454
all_failures,0.1,back_L12_15,T4,lag1_soft_change,1267,0.4895497262477875,0.03703329712152481,0.03695930540561676
all_failures,0.1,back_L12_15,T4,lag1_hard_churn,1267,0.47397473454475403,0.8748244643211365,0.8791605830192566
all_failures,0.1,back_L12_15,T4,lag2_soft_change,1267,0.3873254060745239,0.040587522089481354,0.041399743407964706
all_failures,0.1,back_L12_15,T5,lag1_soft_change,1267,0.5453717112541199,0.037102553993463516,0.03623724728822708
all_failures,0.1,back_L12_15,T5,lag1_hard_churn,1267,0.4914640486240387,0.8743553757667542,0.8785254955291748
all_failures,0.1,back_L12_15,T5,lag2_soft_change,1267,0.42311203479766846,0.039517953991889954,0.039817292243242264
all_failures,0.1,back_L12_15,T6,lag1_soft_change,1267,0.5224376916885376,0.03674059361219406,0.036194607615470886
all_failures,0.1,back_L12_15,T6,lag1_hard_churn,1267,0.40956202149391174,0.8641467094421387,0.8801681995391846
