failure_group,suite,checkpoint_sha256,phase_band,layer_group,token,expert,failures,failure_selection_load,same_run_init_success_load,load_delta,absolute_delta_rank
object_released_or_dropped_before_goal,spatial,1029d0827030a7521361d1904eeb3e7e7f2792be5c99abdb5701abb7ee87c137,early_0_33,front_L2_5,state,0,195,0.08541666716337204,0.1043514609336853,-0.018934793770313263,4
object_released_or_dropped_before_goal,spatial,1029d0827030a7521361d1904eeb3e7e7f2792be5c99abdb5701abb7ee87c137,early_0_33,front_L2_5,state,1,195,0.028004808351397514,0.037077490240335464,-0.00907268188893795,11
object_released_or_dropped_before_goal,spatial,1029d0827030a7521361d1904eeb3e7e7f2792be5c99abdb5701abb7ee87c137,early_0_33,front_L2_5,state,2,195,0.01354166679084301,0.008135456591844559,0.005406210198998451,21
object_released_or_dropped_before_goal,spatial,1029d0827030a7521361d1904eeb3e7e7f2792be5c99abdb5701abb7ee87c137,early_0_33,front_L2_5,state,3,195,0.044431090354919434,0.055709466338157654,-0.01127837598323822,9
object_released_or_dropped_before_goal,spatial,1029d0827030a7521361d1904eeb3e7e7f2792be5c99abdb5701abb7ee87c137,early_0_33,front_L2_5,state,4,195,0.03625801205635071,0.02438470907509327,0.011873302981257439,7
object_released_or_dropped_before_goal,spatial,1029d0827030a7521361d1904eeb3e7e7f2792be5c99abdb5701abb7ee87c137,early_0_33,front_L2_5,state,5,195,0.0017227564239874482,0.0013164289994165301,0.0004063274245709181,31
object_released_or_dropped_before_goal,spatial,1029d0827030a7521361d1904eeb3e7e7f2792be5c99abdb5701abb7ee87c137,early_0_33,front_L2_5,state,6,195,0.03758012875914574,0.05928802117705345,-0.021707892417907715,2
object_released_or_dropped_before_goal,spatial,1029d0827030a7521361d1904eeb3e7e7f2792be5c99abdb5701abb7ee87c137,early_0_33,front_L2_5,state,7,195,0.00821314100176096,0.00475597707554698,0.0034571639262139797,25
object_released_or_dropped_before_goal,spatial,1029d0827030a7521361d1904eeb3e7e7f2792be5c99abdb5701abb7ee87c137,early_0_33,front_L2_5,state,8,195,0.04719551280140877,0.03591623902320862,0.01127927377820015,8
object_released_or_dropped_before_goal,spatial,1029d0827030a7521361d1904eeb3e7e7f2792be5c99abdb5701abb7ee87c137,early_0_33,front_L2_5,state,9,195,0.02940705046057701,0.029347507283091545,5.9543177485466003e-05,32
object_released_or_dropped_before_goal,spatial,1029d0827030a7521361d1904eeb3e7e7f2792be5c99abdb5701abb7ee87c137,early_0_33,front_L2_5,state,10,195,0.01927083358168602,0.008426262065768242,0.010844571515917778,10
object_released_or_dropped_before_goal,spatial,1029d0827030a7521361d1904eeb3e7e7f2792be5c99abdb5701abb7ee87c137,early_0_33,front_L2_5,state,11,195,0.040705129504203796,0.046770136803388596,-0.006065007299184799,17
object_released_or_dropped_before_goal,spatial,1029d0827030a7521361d1904eeb3e7e7f2792be5c99abdb5701abb7ee87c137,early_0_33,front_L2_5,state,12,195,0.03113381378352642,0.022702837362885475,0.008430976420640945,13
object_released_or_dropped_before_goal,spatial,1029d0827030a7521361d1904eeb3e7e7f2792be5c99abdb5701abb7ee87c137,early_0_33,front_L2_5,state,13,195,0.02524038404226303,0.02721172571182251,-0.0019713416695594788,28
object_released_or_dropped_before_goal,spatial,1029d0827030a7521361d1904eeb3e7e7f2792be5c99abdb5701abb7ee87c137,early_0_33,front_L2_5,state,14,195,0.017588140442967415,0.020244279876351357,-0.0026561394333839417,27
object_released_or_dropped_before_goal,spatial,1029d0827030a7521361d1904eeb3e7e7f2792be5c99abdb5701abb7ee87c137,early_0_33,front_L2_5,state,15,195,0.009254807606339455,0.005050073377788067,0.004204734228551388,23
object_released_or_dropped_before_goal,spatial,1029d0827030a7521361d1904eeb3e7e7f2792be5c99abdb5701abb7ee87c137,early_0_33,front_L2_5,state,16,195,0.021193910390138626,0.013668160885572433,0.007525749504566193,14
object_released_or_dropped_before_goal,spatial,1029d0827030a7521361d1904eeb3e7e7f2792be5c99abdb5701abb7ee87c137,early_0_33,front_L2_5,state,17,195,0.04679487273097038,0.03410762920975685,0.012687243521213531,5
object_released_or_dropped_before_goal,spatial,1029d0827030a7521361d1904eeb3e7e7f2792be5c99abdb5701abb7ee87c137,early_0_33,front_L2_5,state,18,195,0.08137018978595734,0.07863156497478485,0.0027386248111724854,26
object_released_or_dropped_before_goal,spatial,1029d0827030a7521361d1904eeb3e7e7f2792be5c99abdb5701abb7ee87c137,early_0_33,front_L2_5,state,19,195,0.029887819662690163,0.02439936064183712,0.005488459020853043,20
object_released_or_dropped_before_goal,spatial,1029d0827030a7521361d1904eeb3e7e7f2792be5c99abdb5701abb7ee87c137,early_0_33,front_L2_5,state,20,195,0.029286859557032585,0.02378050424158573,0.005506355315446854,19
object_released_or_dropped_before_goal,spatial,1029d0827030a7521361d1904eeb3e7e7f2792be5c99abdb5701abb7ee87c137,early_0_33,front_L2_5,state,21,195,0.023153046146035194,0.03180156275629997,-0.008648516610264778,12
object_released_or_dropped_before_goal,spatial,1029d0827030a7521361d1904eeb3e7e7f2792be5c99abdb5701abb7ee87c137,early_0_33,front_L2_5,state,22,195,0.056630607694387436,0.0510769821703434,0.005553625524044037,18
object_released_or_dropped_before_goal,spatial,1029d0827030a7521361d1904eeb3e7e7f2792be5c99abdb5701abb7ee87c137,early_0_33,front_L2_5,state,23,195,0.002804487245157361,0.0016437303274869919,0.0011607569176703691,29
