failure_group,phase_band,layer_group,denoise_step,token,metric,failures,matched_percentile_mean,failure_raw_mean,same_run_init_success_mean
all_failures,early_0_33,front_L2_5,0,state,entropy,1267,0.37016475200653076,0.8650920987129211,0.870406985282898
all_failures,early_0_33,front_L2_5,0,state,top1_mass,1267,0.6313073635101318,0.22610731422901154,0.21832458674907684
all_failures,early_0_33,front_L2_5,0,state,top4_mass,1267,0.6049736738204956,0.4020138084888458,0.39746344089508057
all_failures,early_0_33,front_L2_5,0,T1,entropy,1267,0.4198369085788727,0.9980196356773376,0.9980726838111877
all_failures,early_0_33,front_L2_5,0,T1,top1_mass,1267,0.5594822764396667,0.03824275732040405,0.03813881799578667
all_failures,early_0_33,front_L2_5,0,T1,top4_mass,1267,0.5552104711532593,0.14611519873142242,0.14590802788734436
all_failures,early_0_33,front_L2_5,0,T2,entropy,1267,0.5142741203308105,0.9983949661254883,0.9984034299850464
all_failures,early_0_33,front_L2_5,0,T2,top1_mass,1267,0.4854326844215393,0.03737536072731018,0.037361446768045425
all_failures,early_0_33,front_L2_5,0,T2,top4_mass,1267,0.4859654903411865,0.1436266154050827,0.14361286163330078
all_failures,early_0_33,front_L2_5,0,T3,entropy,1267,0.43906378746032715,0.998566746711731,0.9986037611961365
all_failures,early_0_33,front_L2_5,0,T3,top1_mass,1267,0.5288681387901306,0.036999430507421494,0.03692774102091789
all_failures,early_0_33,front_L2_5,0,T3,top4_mass,1267,0.5220823884010315,0.14239834249019623,0.14226502180099487
all_failures,early_0_33,front_L2_5,0,T4,entropy,1267,0.4563944935798645,0.9986775517463684,0.9987025260925293
all_failures,early_0_33,front_L2_5,0,T4,top1_mass,1267,0.5333048701286316,0.03683382645249367,0.03677956014871597
all_failures,early_0_33,front_L2_5,0,T4,top4_mass,1267,0.5464420318603516,0.14191189408302307,0.1417132318019867
all_failures,early_0_33,front_L2_5,0,T5,entropy,1267,0.4675213098526001,0.9986931681632996,0.9987211227416992
all_failures,early_0_33,front_L2_5,0,T5,top1_mass,1267,0.4802596867084503,0.03670631721615791,0.03669187054038048
all_failures,early_0_33,front_L2_5,0,T5,top4_mass,1267,0.4930734634399414,0.14150846004486084,0.14145834743976593
all_failures,early_0_33,front_L2_5,0,T6,entropy,1267,0.4807130694389343,0.9987083673477173,0.9987008571624756
all_failures,early_0_33,front_L2_5,0,T6,top1_mass,1267,0.5011388659477234,0.036698415875434875,0.03671243414282799
all_failures,early_0_33,front_L2_5,0,T6,top4_mass,1267,0.53000807762146,0.14161734282970428,0.14159531891345978
all_failures,early_0_33,front_L2_5,0,T7,entropy,1267,0.517096996307373,0.9986834526062012,0.9986767768859863
all_failures,early_0_33,front_L2_5,0,T7,top1_mass,1267,0.48215028643608093,0.03685205802321434,0.03688206896185875
all_failures,early_0_33,front_L2_5,0,T7,top4_mass,1267,0.4844193160533905,0.14196746051311493,0.14201955497264862
all_failures,early_0_33,front_L2_5,0,T8,entropy,1267,0.44719645380973816,0.9986700415611267,0.9986911416053772
all_failures,early_0_33,front_L2_5,0,T8,top1_mass,1267,0.5281874537467957,0.03697584569454193,0.03693696856498718
all_failures,early_0_33,front_L2_5,0,T8,top4_mass,1267,0.5281125903129578,0.14211498200893402,0.1420288383960724
all_failures,early_0_33,front_L2_5,0,T9,entropy,1267,0.47471001744270325,0.998613178730011,0.9986262917518616
all_failures,early_0_33,front_L2_5,0,T9,top1_mass,1267,0.47703778743743896,0.03712790831923485,0.037133123725652695
all_failures,early_0_33,front_L2_5,0,T9,top4_mass,1267,0.5178912281990051,0.14259760081768036,0.14248336851596832
all_failures,early_0_33,front_L2_5,0,T10,entropy,1267,0.49411532282829285,0.9984551668167114,0.9984561800956726
all_failures,early_0_33,front_L2_5,0,T10,top1_mass,1267,0.5237953066825867,0.037671223282814026,0.03763370215892792
all_failures,early_0_33,front_L2_5,0,T10,top4_mass,1267,0.5050432085990906,0.14412756264209747,0.1441185474395752
all_failures,early_0_33,front_L2_5,1,state,entropy,1267,0.37016475200653076,0.8650912046432495,0.8704071044921875
all_failures,early_0_33,front_L2_5,1,state,top1_mass,1267,0.6313073635101318,0.22610856592655182,0.2183244824409485
all_failures,early_0_33,front_L2_5,1,state,top4_mass,1267,0.6049736738204956,0.40201470255851746,0.3974634110927582
all_failures,early_0_33,front_L2_5,1,T1,entropy,1267,0.39764273166656494,0.9979073405265808,0.9979804158210754
all_failures,early_0_33,front_L2_5,1,T1,top1_mass,1267,0.5737479329109192,0.038425225764513016,0.038300808519124985
all_failures,early_0_33,front_L2_5,1,T1,top4_mass,1267,0.5896859169006348,0.14671210944652557,0.14639875292778015
all_failures,early_0_33,front_L2_5,1,T2,entropy,1267,0.4953792095184326,0.9983510375022888,0.9983692765235901
all_failures,early_0_33,front_L2_5,1,T2,top1_mass,1267,0.504274308681488,0.03738858550786972,0.03736851364374161
all_failures,early_0_33,front_L2_5,1,T2,top4_mass,1267,0.4926561713218689,0.1437615156173706,0.1437302529811859
all_failures,early_0_33,front_L2_5,1,T3,entropy,1267,0.43260908126831055,0.9985536336898804,0.9985923767089844
all_failures,early_0_33,front_L2_5,1,T3,top1_mass,1267,0.5246049165725708,0.03693665564060211,0.03687569871544838
all_failures,early_0_33,front_L2_5,1,T3,top4_mass,1267,0.5214533805847168,0.14232082664966583,0.14220882952213287
all_failures,early_0_33,front_L2_5,1,T4,entropy,1267,0.44302958250045776,0.9986841082572937,0.9987147450447083
all_failures,early_0_33,front_L2_5,1,T4,top1_mass,1267,0.5359981060028076,0.036749932914972305,0.03668592870235443
all_failures,early_0_33,front_L2_5,1,T4,top4_mass,1267,0.5588249564170837,0.1416827291250229,0.14146360754966736
all_failures,early_0_33,front_L2_5,1,T5,entropy,1267,0.46779993176460266,0.9987143874168396,0.9987407326698303
all_failures,early_0_33,front_L2_5,1,T5,top1_mass,1267,0.47939392924308777,0.03657981753349304,0.03654855862259865
all_failures,early_0_33,front_L2_5,1,T5,top4_mass,1267,0.5125721096992493,0.14124220609664917,0.14115889370441437
all_failures,early_0_33,front_L2_5,1,T6,entropy,1267,0.4664258360862732,0.9987295866012573,0.9987284541130066
all_failures,early_0_33,front_L2_5,1,T6,top1_mass,1267,0.531990110874176,0.036602623760700226,0.03658091649413109
all_failures,early_0_33,front_L2_5,1,T6,top4_mass,1267,0.5427693128585815,0.14134694635868073,0.14127367734909058
all_failures,early_0_33,front_L2_5,1,T7,entropy,1267,0.5023379325866699,0.9987083077430725,0.9987108707427979
all_failures,early_0_33,front_L2_5,1,T7,top1_mass,1267,0.4916968047618866,0.03672604635357857,0.036736153066158295
all_failures,early_0_33,front_L2_5,1,T7,top4_mass,1267,0.502432107925415,0.14164969325065613,0.14163197576999664
all_failures,early_0_33,front_L2_5,1,T8,entropy,1267,0.4530995786190033,0.9986920952796936,0.9987112879753113
all_failures,early_0_33,front_L2_5,1,T8,top1_mass,1267,0.520601749420166,0.036828167736530304,0.0368066169321537
all_failures,early_0_33,front_L2_5,1,T8,top4_mass,1267,0.5395194888114929,0.14186398684978485,0.1417616903781891
all_failures,early_0_33,front_L2_5,1,T9,entropy,1267,0.46994563937187195,0.998630702495575,0.9986409544944763
all_failures,early_0_33,front_L2_5,1,T9,top1_mass,1267,0.48765525221824646,0.037029463797807693,0.037042099982500076
all_failures,early_0_33,front_L2_5,1,T9,top4_mass,1267,0.5173296332359314,0.14239411056041718,0.14231455326080322
all_failures,early_0_33,front_L2_5,1,T10,entropy,1267,0.48579055070877075,0.9984237551689148,0.9984315037727356
all_failures,early_0_33,front_L2_5,1,T10,top1_mass,1267,0.5396766662597656,0.03775018826127052,0.03767938166856766
all_failures,early_0_33,front_L2_5,1,T10,top4_mass,1267,0.5080909132957458,0.14433053135871887,0.14427924156188965
all_failures,early_0_33,front_L2_5,2,state,entropy,1267,0.3703620731830597,0.8650910258293152,0.8704063892364502
all_failures,early_0_33,front_L2_5,2,state,top1_mass,1267,0.6313073635101318,0.22610880434513092,0.2183251678943634
