feature_row,source_run,episode_index,offset,inference_calls,init_state_id,flow_noise_seed,suite,task_name,run_id,checkpoint_sha256,success,primary_failure_reason,completion_state,confidence,run_regime,matched_success_controls,primary_analysis
0,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,32,632,18,3,1000,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
1,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,33,650,17,3,1001,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
2,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,34,667,18,3,1002,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
3,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,35,685,17,3,1003,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
4,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,36,702,17,3,1004,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
5,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,37,719,17,3,1005,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
6,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,38,736,17,3,1006,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
7,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,39,753,18,3,1007,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
8,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,40,771,17,3,1008,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
9,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,41,788,18,3,1009,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
10,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,42,806,18,3,1010,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
11,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,43,824,18,3,1011,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
12,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,44,842,17,3,1012,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
13,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,45,859,17,3,1013,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
