suite,chunk,quantity,layer,step,lead,dev_auc,ext_auc,ext_pairs,ext_tasks,ext_neg
libero_goal,18,load_entropy,L13,0,0,0.8361425339366516,0.7186167945439045,9384,1,221
libero_goal,18,load_entropy,L13,0,3,0.8361425339366516,0.5196078431372549,204,1,18
libero_goal,18,load_entropy,L13,0,5,0.8361425339366516,0.5196078431372549,204,1,6
libero_goal,18,token_entropy,L12,3,0,0.8998868778280543,0.8239023870417732,9384,1,221
libero_goal,18,token_entropy,L12,3,3,0.8998868778280543,0.8774509803921569,204,1,18
libero_goal,18,token_entropy,L12,3,5,0.8998868778280543,0.8774509803921569,204,1,6
libero_goal,18,token_differentiation,L13,6,0,0.1329185520361991,0.18595481670929243,9384,1,221
libero_goal,18,token_differentiation,L13,6,3,0.1329185520361991,0.4019607843137255,204,1,18
libero_goal,18,token_differentiation,L13,6,5,0.1329185520361991,0.4019607843137255,204,1,6
libero_goal,18,mobility,L12,3,0,0.16493212669683258,0.22346547314578005,9384,1,221
libero_goal,18,mobility,L12,3,3,0.16493212669683258,0.6274509803921569,204,1,18
libero_goal,18,mobility,L12,3,5,0.16493212669683258,0.6274509803921569,204,1,6
libero_long,32,load_entropy,L3,9,0,0.1560248853962017,0.15389256111635716,38124,7,295
libero_long,32,load_entropy,L3,9,3,0.1560248853962017,0.15274970747792788,37604,5,278
libero_long,32,load_entropy,L3,9,5,0.1560248853962017,0.15113327559948636,33487,5,245
libero_long,32,token_entropy,L3,9,0,0.15498799388779744,0.15220071346133668,38124,7,295
libero_long,32,token_entropy,L3,9,3,0.15498799388779744,0.15039623444314434,37604,5,278
libero_long,32,token_entropy,L3,9,5,0.15498799388779744,0.15467196225400903,33487,5,245
libero_long,32,token_differentiation,L2,9,0,0.8322145819690024,0.8332808729409296,38124,7,295
libero_long,32,token_differentiation,L2,9,3,0.8322145819690024,0.8364003829379854,37604,5,278
libero_long,32,token_differentiation,L2,9,5,0.8322145819690024,0.8230955296085047,33487,5,245
libero_long,32,mobility,L14,9,0,0.23731172233136869,0.20323156017207009,38124,7,295
libero_long,32,mobility,L14,9,3,0.23731172233136869,0.2016540793532603,37604,5,278
libero_long,32,mobility,L14,9,5,0.23731172233136869,0.19317944276883567,33487,5,245
libero_object,17,load_entropy,L12,9,0,0.09064327485380116,0.12199312714776632,582,7,86
libero_object,17,load_entropy,L12,9,3,0.09064327485380116,0.05555555555555555,72,4,16
libero_object,17,load_entropy,L12,9,5,0.09064327485380116,,0,0,6
libero_object,17,token_entropy,L5,0,0,0.24853801169590642,0.3848797250859107,582,7,86
libero_object,17,token_entropy,L5,0,3,0.24853801169590642,0.2777777777777778,72,4,16
libero_object,17,token_entropy,L5,0,5,0.24853801169590642,,0,0,6
libero_object,17,token_differentiation,L5,0,0,0.6812865497076024,0.5927835051546392,582,7,86
libero_object,17,token_differentiation,L5,0,3,0.6812865497076024,0.7361111111111112,72,4,16
libero_object,17,token_differentiation,L5,0,5,0.6812865497076024,,0,0,6
libero_object,17,mobility,L12,9,0,0.2134502923976608,0.3178694158075601,582,7,86
libero_object,17,mobility,L12,9,3,0.2134502923976608,0.5694444444444444,72,4,16
libero_object,17,mobility,L12,9,5,0.2134502923976608,,0,0,6
libero_spatial,13,load_entropy,L12,3,0,0.09629147690305791,0.1876410835214447,3544,6,189
libero_spatial,13,load_entropy,L12,3,3,0.09629147690305791,,0,0,6
libero_spatial,13,load_entropy,L12,3,5,0.09629147690305791,,0,0,5
libero_spatial,13,token_entropy,L5,3,0,0.1340273259596617,0.10200338600451467,3544,6,189
libero_spatial,13,token_entropy,L5,3,3,0.1340273259596617,,0,0,6
libero_spatial,13,token_entropy,L5,3,5,0.1340273259596617,,0,0,5
libero_spatial,13,token_differentiation,L5,3,0,0.8087182823682498,0.7920428893905191,3544,6,189
libero_spatial,13,token_differentiation,L5,3,3,0.8087182823682498,,0,0,6
libero_spatial,13,token_differentiation,L5,3,5,0.8087182823682498,,0,0,5
libero_spatial,13,mobility,L12,3,0,0.824658425504229,0.7508465011286681,3544,6,189
libero_spatial,13,mobility,L12,3,3,0.824658425504229,,0,0,6
libero_spatial,13,mobility,L12,3,5,0.824658425504229,,0,0,5
