bundle,cohort,detector,alarms,tp,fp,precision,suite_prior,suite_lift,task_prior,task_lift,lp_suite_tp,lp_suite_fp,lp_suite_precision,lp_suite_lift,lp_task_tp,lp_task_fp,lp_task_precision,lp_task_lift,inflation
_control,development_main,all_running_at_chunk0,14800,487,14313,0.0329054054054054,0.0329054054054054,1.0,0.0329054054054054,1.0,487,14313,0.0329054054054054,1.0,349,14051,0.02423611111111111,1.0,1.0
_control,development_main,all_running_at_chunk12,8342,487,7855,0.058379285543035245,0.05837928554303523,1.0000000000000002,0.05837928554303524,1.0000000000000002,487,7855,0.058379285543035245,1.0000000000000002,236,7547,0.030322497751509702,1.0000000000000004,1.0000000000000002
_control,development_main,all_running_at_chunk4,14800,487,14313,0.0329054054054054,0.0329054054054054,1.0,0.0329054054054054,1.0,487,14313,0.0329054054054054,1.0,349,14051,0.02423611111111111,1.0,1.0
_control,development_main,all_running_at_chunk8,13666,487,13179,0.03563588467730133,0.03563588467730133,1.0,0.035635884677301326,1.0000000000000002,487,13179,0.03563588467730133,1.0,337,12913,0.025433962264150945,1.0,0.9999999999999998
_negative_control,development_main,length_at_cap (NOT a baseline),487,487,0,1.0,0.050336095629216766,19.86645939657597,0.1404260780287474,7.121184426978616,487,0,1.0,19.86645939657597,349,0,1.0,16.797016002887737,2.789768977378519
moe-combination-rules-0906,development_main,action_consensus|global|0.5,1822,254,1568,0.1394072447859495,0.08658670802283563,1.6100305459029975,0.13838416006688048,1.0073930767695853,178,1565,0.102122776821572,1.9007220114305323,22,1303,0.01660377358490566,0.81581258876808,1.5982148210367835
moe-combination-rules-0906,development_main,action_consensus|global|0.6,1269,233,1036,0.18360914105594955,0.11094544271663567,1.654949825428191,0.17890302130086597,1.026305423580126,147,1006,0.12749349522983522,2.223466808175165,9,774,0.011494252873563218,0.9900851575210581,1.6125315012514743
moe-combination-rules-0906,development_main,action_consensus|global|0.7,913,203,710,0.22234392113910187,0.1644538721505208,1.3520139005033318,0.20609080260069762,1.0788638713290606,83,584,0.12443778110944528,2.1937345759531506,4,488,0.008130081300813009,0.9096664693236045,1.253183034888151
moe-combination-rules-0906,development_main,action_consensus|global|0.75,774,184,590,0.23772609819121446,0.1889746884240806,1.257978516454702,0.20728056257684258,1.1468808036599436,49,465,0.09533073929961089,1.7052388994157,3,419,0.0071090047393364926,0.9210501577190856,1.0968694501121838
moe-combination-rules-0906,development_main,action_consensus|global|0.8,626,154,472,0.24600638977635783,0.20045149952592997,1.2272614091596505,0.19305634307410796,1.2742725043845056,28,377,0.0691358024691358,1.2080282949136827,2,367,0.005420054200542005,0.955912127952826,0.9631075024666234
moe-combination-rules-0906,development_main,action_consensus|global|0.85,460,117,343,0.2543478260869565,0.19048591494441816,1.3352579174222545,0.17543205236260898,1.449836689826969,20,298,0.06289308176100629,1.0274200747492834,2,298,0.006666666666666667,1.1750391966658436,0.9209712561361728
moe-combination-rules-0906,development_main,action_consensus|global|0.9,234,69,165,0.2948717948717949,0.19141434790700074,1.5404895092559063,0.19681612301470272,1.4982095488679408,17,157,0.09770114942528736,1.3827396985139775,1,157,0.006329113924050633,1.2575488454706927,1.02822032500054
moe-combination-rules-0906,development_main,action_consensus|global|0.925,109,39,70,0.3577981651376147,0.2074688066583308,1.7245877628575423,0.26207485726852464,1.3652517790785668,14,68,0.17073170731707318,2.044875311631443,0,68,0.0,0.0,1.2632012565634583
moe-combination-rules-0906,development_main,action_consensus|global|0.95,46,25,21,0.5434782608695652,0.2568489446193028,2.1159450807753934,0.4551094721708352,1.1941704009745568,14,21,0.4,3.347227862511535,0,21,0.0,0.0,1.7718954338916628
moe-combination-rules-0906,development_main,action_consensus|global|0.96,31,20,11,0.6451612903225806,0.2619543013784194,2.4628772535045345,0.5549530469147171,1.1625511273600166,13,11,0.5416666666666666,3.84792846191477,0,11,0.0,0.0,2.1185109158144018
moe-combination-rules-0906,development_main,action_consensus|global|0.975,21,15,6,0.7142857142857143,0.208327392940707,3.428669193249158,0.6726190476190477,1.0619469026548671,13,6,0.6842105263157895,4.227402580020124,0,6,0.0,0.0,3.228663490309624
moe-combination-rules-0906,development_main,action_consensus|global|0.98,17,14,3,0.8235294117647058,0.23461285189225206,3.5101632545812906,0.7711764705882354,1.0678871090770403,12,3,0.8,4.463094252654244,0,3,0.0,0.0,3.2870171619686235
moe-combination-rules-0906,development_main,action_consensus|global|0.99,11,11,0,1.0,0.2687203448437974,3.721340863049588,0.9772727272727273,1.0232558139534884,10,0,1.0,4.781218577174459,0,0,,,3.6367649343439155
