cohort,suite,chunk,window_end,layer,step,quantity,auc,pairs,tasks,signal
external_8b,libero_goal,4,19,-,-1,_hindsight_length,0.9993264125525002,37857,5,0.4993264125525002
external_8b,libero_goal,4,19,L2,0,token_entropy,0.4932773331220118,37857,5,0.006722666877988226
external_8b,libero_goal,4,19,L2,0,load_entropy,0.4657262857595689,37857,5,0.034273714240431075
external_8b,libero_goal,4,19,L2,0,token_differentiation,0.484679187468632,37857,5,0.015320812531368022
external_8b,libero_goal,4,19,L2,0,action_consensus,0.5152151517552896,37857,5,0.015215151755289646
external_8b,libero_goal,4,19,L2,0,state_action_alignment,0.44818659693055446,37857,5,0.05181340306944554
external_8b,libero_goal,4,19,L2,0,conditional_energy,0.5518398182634652,37857,5,0.051839818263465176
external_8b,libero_goal,4,19,L2,0,conditional_effective_rank,0.46073381408986447,37857,5,0.03926618591013553
external_8b,libero_goal,4,19,L2,0,mobility,0.47621311778535014,37857,5,0.023786882214649863
external_8b,libero_goal,4,19,L2,3,token_entropy,0.48889241091475816,37857,5,0.011107589085241842
external_8b,libero_goal,4,19,L2,3,load_entropy,0.424637451462081,37857,5,0.07536254853791902
external_8b,libero_goal,4,19,L2,3,token_differentiation,0.47218480069736113,37857,5,0.02781519930263887
external_8b,libero_goal,4,19,L2,3,action_consensus,0.529188789391658,37857,5,0.029188789391658032
external_8b,libero_goal,4,19,L2,3,state_action_alignment,0.4477903690202605,37857,5,0.05220963097973952
external_8b,libero_goal,4,19,L2,3,conditional_energy,0.5522096309797395,37857,5,0.05220963097973952
external_8b,libero_goal,4,19,L2,3,conditional_effective_rank,0.4590168264785905,37857,5,0.04098317352140951
external_8b,libero_goal,4,19,L2,3,flow_speed,0.4589375808965317,37857,5,0.041062419103468306
external_8b,libero_goal,4,19,L2,3,mobility,0.48279050109623056,37857,5,0.017209498903769438
external_8b,libero_goal,4,19,L2,6,token_entropy,0.5266925535568059,37857,5,0.026692553556805887
external_8b,libero_goal,4,19,L2,6,load_entropy,0.4276487835803154,37857,5,0.07235121641968462
external_8b,libero_goal,4,19,L2,6,token_differentiation,0.44756583987109383,37857,5,0.05243416012890617
external_8b,libero_goal,4,19,L2,6,action_consensus,0.5515096283382201,37857,5,0.05150962833822015
external_8b,libero_goal,4,19,L2,6,state_action_alignment,0.44668093087143723,37857,5,0.05331906912856277
external_8b,libero_goal,4,19,L2,6,conditional_energy,0.5533454843225823,37857,5,0.05334548432258235
external_8b,libero_goal,4,19,L2,6,conditional_effective_rank,0.44084317299310566,37857,5,0.05915682700689434
external_8b,libero_goal,4,19,L2,6,flow_speed,0.4475790474681037,37857,5,0.052420952531896325
external_8b,libero_goal,4,19,L2,6,mobility,0.48545843569221014,37857,5,0.014541564307789856
external_8b,libero_goal,4,19,L2,9,token_entropy,0.5615738172596878,37857,5,0.0615738172596878
external_8b,libero_goal,4,19,L2,9,load_entropy,0.5159943999788679,37857,5,0.015994399978867868
external_8b,libero_goal,4,19,L2,9,token_differentiation,0.4268695353567372,37857,5,0.07313046464326278
external_8b,libero_goal,4,19,L2,9,action_consensus,0.57265499115091,37857,5,0.07265499115091001
external_8b,libero_goal,4,19,L2,9,state_action_alignment,0.44594130543888844,37857,5,0.054058694561111564
external_8b,libero_goal,4,19,L2,9,conditional_energy,0.5540586945611116,37857,5,0.054058694561111564
external_8b,libero_goal,4,19,L2,9,conditional_effective_rank,0.41946007343423936,37857,5,0.08053992656576064
external_8b,libero_goal,4,19,L2,9,flow_speed,0.4532318989882981,37857,5,0.046768101011701924
external_8b,libero_goal,4,19,L2,9,mobility,0.5798399239242412,37857,5,0.07983992392424122
