block_size,candidate_precision_against_primary_c1,clusters,dominant_task_fraction,failure_count,failure_rate,high_deviation_block_exists,jaccard_to_primary_c1,min_cluster_size,min_samples,noise_fraction,primary_c1_recall,raw_curve_mean_rank,task_count,task_initial_failure_count_ratio,task_initial_length_failure_count_ratio,view
351,0.698005698005698,2,0.33048433048433046,81,0.23076923076923078,True,0.698005698005698,16,4,0.807421875,1.0,0.8027576632900709,5,1.8,1.0093457943925233,full
280,0.875,2,0.375,73,0.26071428571428573,True,0.875,16,8,0.8609375,1.0,0.8320891203703703,5,1.908496732026144,1.006896551724138,full
255,0.9529411764705882,2,0.38823529411764707,72,0.2823529411764706,True,0.9455252918287937,16,12,0.878125,0.9918367346938776,0.8383192628903413,5,1.9948051948051948,1.006993006993007,full
245,1.0,2,0.3877551020408163,70,0.2857142857142857,True,1.0,16,16,0.88671875,1.0,0.8409037226001512,5,2.047531992687386,1.0071942446043165,full
241,0.9875518672199171,2,0.3900414937759336,69,0.2863070539419087,True,0.9596774193548387,16,24,0.8890625,0.9714285714285714,0.844078972644844,5,2.03690036900369,1.0072992700729928,full
253,0.9525691699604744,2,0.383399209486166,73,0.2885375494071146,True,0.9377431906614786,16,32,0.88046875,0.9836734693877551,0.8412316095740009,5,2.034843205574913,1.0103806228373702,full
351,0.698005698005698,2,0.33048433048433046,81,0.23076923076923078,True,0.698005698005698,24,4,0.807421875,1.0,0.8027576632900709,5,1.8,1.0093457943925233,full
280,0.875,2,0.375,73,0.26071428571428573,True,0.875,24,8,0.8609375,1.0,0.8320891203703703,5,1.908496732026144,1.006896551724138,full
255,0.9529411764705882,2,0.38823529411764707,72,0.2823529411764706,True,0.9455252918287937,24,12,0.878125,0.9918367346938776,0.8383192628903413,5,1.9948051948051948,1.006993006993007,full
245,1.0,2,0.3877551020408163,70,0.2857142857142857,True,1.0,24,16,0.88671875,1.0,0.8409037226001512,5,2.047531992687386,1.0071942446043165,full
241,0.9875518672199171,2,0.3900414937759336,69,0.2863070539419087,True,0.9596774193548387,24,24,0.8890625,0.9714285714285714,0.844078972644844,5,2.03690036900369,1.0072992700729928,full
253,0.9525691699604744,2,0.383399209486166,73,0.2885375494071146,True,0.9377431906614786,24,32,0.88046875,0.9836734693877551,0.8412316095740009,5,2.034843205574913,1.0103806228373702,full
351,0.698005698005698,2,0.33048433048433046,81,0.23076923076923078,True,0.698005698005698,32,4,0.807421875,1.0,0.8027576632900709,5,1.8,1.0093457943925233,full
280,0.875,2,0.375,73,0.26071428571428573,True,0.875,32,8,0.8609375,1.0,0.8320891203703703,5,1.908496732026144,1.006896551724138,full
255,0.9529411764705882,2,0.38823529411764707,72,0.2823529411764706,True,0.9455252918287937,32,12,0.878125,0.9918367346938776,0.8383192628903413,5,1.9948051948051948,1.006993006993007,full
245,1.0,2,0.3877551020408163,70,0.2857142857142857,True,1.0,32,16,0.88671875,1.0,0.8409037226001512,5,2.047531992687386,1.0071942446043165,full
241,0.9875518672199171,2,0.3900414937759336,69,0.2863070539419087,True,0.9596774193548387,32,24,0.8890625,0.9714285714285714,0.844078972644844,5,2.03690036900369,1.0072992700729928,full
253,0.9525691699604744,2,0.383399209486166,73,0.2885375494071146,True,0.9377431906614786,32,32,0.88046875,0.9836734693877551,0.8412316095740009,5,2.034843205574913,1.0103806228373702,full
351,0.698005698005698,2,0.33048433048433046,81,0.23076923076923078,True,0.698005698005698,40,4,0.807421875,1.0,0.8027576632900709,5,1.8,1.0093457943925233,full
280,0.875,2,0.375,73,0.26071428571428573,True,0.875,40,8,0.8609375,1.0,0.8320891203703703,5,1.908496732026144,1.006896551724138,full
255,0.9529411764705882,2,0.38823529411764707,72,0.2823529411764706,True,0.9455252918287937,40,12,0.878125,0.9918367346938776,0.8383192628903413,5,1.9948051948051948,1.006993006993007,full
245,1.0,2,0.3877551020408163,70,0.2857142857142857,True,1.0,40,16,0.88671875,1.0,0.8409037226001512,5,2.047531992687386,1.0071942446043165,full
241,0.9875518672199171,2,0.3900414937759336,69,0.2863070539419087,True,0.9596774193548387,40,24,0.8890625,0.9714285714285714,0.844078972644844,5,2.03690036900369,1.0072992700729928,full
253,0.9525691699604744,2,0.383399209486166,73,0.2885375494071146,True,0.9377431906614786,40,32,0.88046875,0.9836734693877551,0.8412316095740009,5,2.034843205574913,1.0103806228373702,full
