fold,suite,episodes,points,reference_points,pca_explained_variance,threshold_10d,threshold_2d,exceeds_10d,exceeds_2d,points_neither,points_both,points_10d_only,points_2d_only,display_ratio_underflow,display_ratio_overflow
libero_goal_20260907,libero_goal,58,344,4096,0.875410147240828,1.8795933723449707,1.186293363571167,101,59,243,59,42,0,0,0
libero_long_20260907,libero_long,42,336,4096,0.8710021369609677,4.067817211151123,3.5491273403167725,11,11,325,11,0,0,0,0
libero_object_20260907,libero_object,34,259,4096,0.8613570751490487,2.3483307361602783,0.8765963912010193,17,14,242,14,3,0,0,0
libero_spatial_20260907,libero_spatial,48,223,4096,0.8230621407351244,2.0431175231933594,1.2222099304199219,102,72,121,72,30,0,0,0
