method,k,calibration,threshold,units,rank,exceedances,fold,suite
cosine_neighbors_euclidean_score,2,episode,2.660767078399658,540,514,26,libero_goal_full_0,libero_goal
cosine_neighbors_euclidean_score,2,task_init,3.6224422454833984,70,68,2,libero_goal_full_0,libero_goal
cosine_neighbors_euclidean_score,3,episode,2.5759615898132324,540,514,26,libero_goal_full_0,libero_goal
cosine_neighbors_euclidean_score,3,task_init,3.518059015274048,70,68,2,libero_goal_full_0,libero_goal
cosine_neighbors_euclidean_score,4,episode,2.449068784713745,540,514,26,libero_goal_full_0,libero_goal
cosine_neighbors_euclidean_score,4,task_init,3.1659600734710693,70,68,2,libero_goal_full_0,libero_goal
cosine_neighbors_euclidean_score,5,episode,2.372543334960937,540,514,26,libero_goal_full_0,libero_goal
cosine_neighbors_euclidean_score,5,task_init,3.2311277389526367,70,68,2,libero_goal_full_0,libero_goal
cosine_neighbors_euclidean_score,6,episode,2.372910976409912,540,514,26,libero_goal_full_0,libero_goal
cosine_neighbors_euclidean_score,6,task_init,3.2606496810913086,70,68,2,libero_goal_full_0,libero_goal
cosine_neighbors_euclidean_score,7,episode,2.386938571929932,540,514,26,libero_goal_full_0,libero_goal
cosine_neighbors_euclidean_score,7,task_init,3.133286476135254,70,68,2,libero_goal_full_0,libero_goal
cosine_neighbors_euclidean_score,8,episode,2.388631820678711,540,514,26,libero_goal_full_0,libero_goal
cosine_neighbors_euclidean_score,8,task_init,3.1832735538482666,70,68,2,libero_goal_full_0,libero_goal
cosine_neighbors_euclidean_score,9,episode,2.383385181427002,540,514,26,libero_goal_full_0,libero_goal
cosine_neighbors_euclidean_score,9,task_init,3.2125084400177,70,68,2,libero_goal_full_0,libero_goal
cosine_neighbors_euclidean_score,10,episode,2.3539958000183105,540,514,26,libero_goal_full_0,libero_goal
cosine_neighbors_euclidean_score,10,task_init,3.093350887298584,70,68,2,libero_goal_full_0,libero_goal
cosine_neighbors_euclidean_score,20,episode,2.355415105819702,540,514,26,libero_goal_full_0,libero_goal
cosine_neighbors_euclidean_score,20,task_init,2.9383974075317383,70,68,2,libero_goal_full_0,libero_goal
euclidean_neighbors_cosine_score,1,episode,0.2020669728517532,540,514,26,libero_goal_full_0,libero_goal
euclidean_neighbors_cosine_score,1,task_init,0.3082772195339203,70,68,2,libero_goal_full_0,libero_goal
euclidean_neighbors_cosine_score,2,episode,0.2138748615980148,540,514,26,libero_goal_full_0,libero_goal
euclidean_neighbors_cosine_score,2,task_init,0.2639272212982178,70,68,2,libero_goal_full_0,libero_goal
euclidean_neighbors_cosine_score,3,episode,0.2269875407218933,540,514,26,libero_goal_full_0,libero_goal
euclidean_neighbors_cosine_score,3,task_init,0.2884520590305328,70,68,2,libero_goal_full_0,libero_goal
euclidean_neighbors_cosine_score,4,episode,0.2279277145862579,540,514,26,libero_goal_full_0,libero_goal
euclidean_neighbors_cosine_score,4,task_init,0.3299953043460846,70,68,2,libero_goal_full_0,libero_goal
euclidean_neighbors_cosine_score,5,episode,0.2337732017040252,540,514,26,libero_goal_full_0,libero_goal
euclidean_neighbors_cosine_score,5,task_init,0.3126383423805237,70,68,2,libero_goal_full_0,libero_goal
euclidean_neighbors_cosine_score,6,episode,0.2408419102430343,540,514,26,libero_goal_full_0,libero_goal
euclidean_neighbors_cosine_score,6,task_init,0.3213121294975281,70,68,2,libero_goal_full_0,libero_goal
euclidean_neighbors_cosine_score,7,episode,0.2429839074611663,540,514,26,libero_goal_full_0,libero_goal
euclidean_neighbors_cosine_score,7,task_init,0.3455411791801452,70,68,2,libero_goal_full_0,libero_goal
euclidean_neighbors_cosine_score,8,episode,0.2604618370532989,540,514,26,libero_goal_full_0,libero_goal
euclidean_neighbors_cosine_score,8,task_init,0.371855229139328,70,68,2,libero_goal_full_0,libero_goal
euclidean_neighbors_cosine_score,9,episode,0.2660311460494995,540,514,26,libero_goal_full_0,libero_goal
euclidean_neighbors_cosine_score,9,task_init,0.3608309328556061,70,68,2,libero_goal_full_0,libero_goal
euclidean_neighbors_cosine_score,10,episode,0.2674307823181152,540,514,26,libero_goal_full_0,libero_goal
euclidean_neighbors_cosine_score,10,task_init,0.3692652583122253,70,68,2,libero_goal_full_0,libero_goal
euclidean_neighbors_cosine_score,20,episode,0.3158353269100189,540,514,26,libero_goal_full_0,libero_goal
euclidean_neighbors_cosine_score,20,task_init,0.4079544842243194,70,68,2,libero_goal_full_0,libero_goal
cosine_without_center,1,episode,0.1415164172649383,540,514,26,libero_goal_full_0,libero_goal
cosine_without_center,1,task_init,0.2503683567047119,70,68,2,libero_goal_full_0,libero_goal
cosine_without_center,2,episode,0.1585363894701004,540,514,26,libero_goal_full_0,libero_goal
cosine_without_center,2,task_init,0.2606864273548126,70,68,2,libero_goal_full_0,libero_goal
cosine_without_center,3,episode,0.1671528965234756,540,514,26,libero_goal_full_0,libero_goal
cosine_without_center,3,task_init,0.2652170956134796,70,68,2,libero_goal_full_0,libero_goal
cosine_without_center,4,episode,0.1755937188863754,540,514,26,libero_goal_full_0,libero_goal
cosine_without_center,4,task_init,0.2747974693775177,70,68,2,libero_goal_full_0,libero_goal
cosine_without_center,5,episode,0.181638017296791,540,514,26,libero_goal_full_0,libero_goal
cosine_without_center,5,task_init,0.283700942993164,70,68,2,libero_goal_full_0,libero_goal
cosine_without_center,6,episode,0.1873822063207626,540,514,26,libero_goal_full_0,libero_goal
cosine_without_center,6,task_init,0.292519748210907,70,68,2,libero_goal_full_0,libero_goal
cosine_without_center,7,episode,0.1908024996519088,540,514,26,libero_goal_full_0,libero_goal
cosine_without_center,7,task_init,0.2994579374790191,70,68,2,libero_goal_full_0,libero_goal
cosine_without_center,8,episode,0.1939751356840133,540,514,26,libero_goal_full_0,libero_goal
cosine_without_center,8,task_init,0.3056347668170929,70,68,2,libero_goal_full_0,libero_goal
cosine_without_center,9,episode,0.1974605470895767,540,514,26,libero_goal_full_0,libero_goal
cosine_without_center,9,task_init,0.3106650710105896,70,68,2,libero_goal_full_0,libero_goal
cosine_without_center,10,episode,0.2007043212652206,540,514,26,libero_goal_full_0,libero_goal
cosine_without_center,10,task_init,0.3148840367794037,70,68,2,libero_goal_full_0,libero_goal
