level,cohort,suite,task,calibration,threshold_mode,method,k,episodes,failures,successes,tp,fn,fp,tn,recall,fpr,precision
cohort,A,all,all,episode,recalibrated,euclidean_neighbors_cosine_score,9,16000,532,15468,63,469,1354,14114,0.11842105263157894,0.08753555727954487,0.04446012702893437
cohort,A,all,all,episode,recalibrated,euclidean_neighbors_cosine_score,10,16000,532,15468,65,467,1364,14104,0.12218045112781954,0.08818205327126971,0.04548635409377187
cohort,A,all,all,episode,recalibrated,euclidean_neighbors_cosine_score,20,16000,532,15468,60,472,1311,14157,0.11278195488721804,0.08475562451512801,0.0437636761487965
cohort,A,all,all,episode,recalibrated,cosine_without_center,1,16000,532,15468,171,361,1710,13758,0.32142857142857145,0.11055081458494957,0.09090909090909091
cohort,A,all,all,episode,recalibrated,cosine_without_center,2,16000,532,15468,174,358,1733,13735,0.32706766917293234,0.11203775536591673,0.09124278972207656
cohort,A,all,all,episode,recalibrated,cosine_without_center,3,16000,532,15468,171,361,1735,13733,0.32142857142857145,0.1121670545642617,0.08971668415529906
cohort,A,all,all,episode,recalibrated,cosine_without_center,4,16000,532,15468,173,359,1736,13732,0.325187969924812,0.11223170416343418,0.09062336301728653
cohort,A,all,all,episode,recalibrated,cosine_without_center,5,16000,532,15468,172,360,1725,13743,0.3233082706766917,0.11152055857253686,0.09066947812335266
cohort,A,all,all,episode,recalibrated,cosine_without_center,6,16000,532,15468,174,358,1737,13731,0.32706766917293234,0.11229635376260667,0.09105180533751962
cohort,A,all,all,episode,recalibrated,cosine_without_center,7,16000,532,15468,171,361,1758,13710,0.32142857142857145,0.11365399534522885,0.08864696734059098
cohort,A,all,all,episode,recalibrated,cosine_without_center,8,16000,532,15468,172,360,1766,13702,0.3233082706766917,0.11417119213860874,0.08875128998968008
cohort,A,all,all,episode,recalibrated,cosine_without_center,9,16000,532,15468,170,362,1767,13701,0.31954887218045114,0.11423584173778123,0.08776458440887971
cohort,A,all,all,episode,recalibrated,cosine_without_center,10,16000,532,15468,171,361,1763,13705,0.32142857142857145,0.11397724334109129,0.08841778697001035
cohort,A,all,all,episode,recalibrated,cosine_without_center,20,16000,532,15468,164,368,1709,13759,0.3082706766917293,0.11048616498577708,0.08756006406833956
cohort,A,all,all,task_init,recalibrated,euclidean,1,16000,532,15468,477,55,1617,13851,0.8966165413533834,0.10453840186190845,0.22779369627507162
cohort,A,all,all,task_init,recalibrated,euclidean,2,16000,532,15468,481,51,1565,13903,0.9041353383458647,0.10117662270493923,0.2350928641251222
cohort,A,all,all,task_init,recalibrated,euclidean,3,16000,532,15468,492,40,1540,13928,0.924812030075188,0.0995603827256271,0.2421259842519685
cohort,A,all,all,task_init,recalibrated,euclidean,4,16000,532,15468,495,37,1517,13951,0.9304511278195489,0.09807344194465994,0.24602385685884692
cohort,A,all,all,task_init,recalibrated,euclidean,5,16000,532,15468,497,35,1503,13965,0.9342105263157895,0.09716834755624515,0.2485
cohort,A,all,all,task_init,recalibrated,euclidean,6,16000,532,15468,498,34,1492,13976,0.9360902255639098,0.09645720196534781,0.25025125628140704
cohort,A,all,all,task_init,recalibrated,euclidean,7,16000,532,15468,499,33,1495,13973,0.9379699248120301,0.09665115076286528,0.2502507522567703
cohort,A,all,all,task_init,recalibrated,euclidean,8,16000,532,15468,500,32,1487,13981,0.9398496240601504,0.09613395396948539,0.25163563160543534
cohort,A,all,all,task_init,recalibrated,euclidean,9,16000,532,15468,498,34,1460,14008,0.9360902255639098,0.09438841479182829,0.254341164453524
cohort,A,all,all,task_init,recalibrated,euclidean,10,16000,532,15468,495,37,1449,14019,0.9304511278195489,0.09367726920093096,0.25462962962962965
cohort,A,all,all,task_init,recalibrated,euclidean,20,16000,532,15468,478,54,1349,14119,0.8984962406015038,0.08721230928368244,0.2616310892172961
cohort,A,all,all,task_init,recalibrated,cosine,1,16000,532,15468,12,520,284,15184,0.022556390977443608,0.018360486164985777,0.04054054054054054
cohort,A,all,all,task_init,recalibrated,cosine,2,16000,532,15468,14,518,318,15150,0.02631578947368421,0.020558572536850273,0.04216867469879518
cohort,A,all,all,task_init,recalibrated,cosine,3,16000,532,15468,13,519,329,15139,0.02443609022556391,0.021269718127747608,0.038011695906432746
cohort,A,all,all,task_init,recalibrated,cosine,4,16000,532,15468,14,518,329,15139,0.02631578947368421,0.021269718127747608,0.04081632653061224
cohort,A,all,all,task_init,recalibrated,cosine,5,16000,532,15468,14,518,329,15139,0.02631578947368421,0.021269718127747608,0.04081632653061224
cohort,A,all,all,task_init,recalibrated,cosine,6,16000,532,15468,14,518,329,15139,0.02631578947368421,0.021269718127747608,0.04081632653061224
cohort,A,all,all,task_init,recalibrated,cosine,7,16000,532,15468,14,518,326,15142,0.02631578947368421,0.021075769330230153,0.041176470588235294
cohort,A,all,all,task_init,recalibrated,cosine,8,16000,532,15468,15,517,324,15144,0.02819548872180451,0.02094647013188518,0.04424778761061947
cohort,A,all,all,task_init,recalibrated,cosine,9,16000,532,15468,15,517,325,15143,0.02819548872180451,0.021011119731057668,0.04411764705882353
cohort,A,all,all,task_init,recalibrated,cosine,10,16000,532,15468,15,517,323,15145,0.02819548872180451,0.020881820532712696,0.04437869822485207
cohort,A,all,all,task_init,recalibrated,cosine,20,16000,532,15468,17,515,322,15146,0.03195488721804511,0.020817170933540213,0.05014749262536873
cohort,A,all,all,task_init,recalibrated,cosine_neighbors_euclidean_score,1,16000,532,15468,284,248,659,14809,0.5338345864661654,0.0426040858546677,0.30116648992576883
cohort,A,all,all,task_init,recalibrated,cosine_neighbors_euclidean_score,2,16000,532,15468,289,243,686,14782,0.543233082706767,0.0443496250323248,0.2964102564102564
cohort,A,all,all,task_init,recalibrated,cosine_neighbors_euclidean_score,3,16000,532,15468,312,220,657,14811,0.5864661654135338,0.04247478665632273,0.3219814241486068
cohort,A,all,all,task_init,recalibrated,cosine_neighbors_euclidean_score,4,16000,532,15468,369,163,784,14684,0.693609022556391,0.05068528575122834,0.32003469210754554
cohort,A,all,all,task_init,recalibrated,cosine_neighbors_euclidean_score,5,16000,532,15468,381,151,763,14705,0.7161654135338346,0.049327644168606154,0.333041958041958
cohort,A,all,all,task_init,recalibrated,cosine_neighbors_euclidean_score,6,16000,532,15468,397,135,807,14661,0.7462406015037594,0.0521722265321955,0.329734219269103
cohort,A,all,all,task_init,recalibrated,cosine_neighbors_euclidean_score,7,16000,532,15468,403,129,866,14602,0.7575187969924813,0.05598655288337212,0.31757289204097716
cohort,A,all,all,task_init,recalibrated,cosine_neighbors_euclidean_score,8,16000,532,15468,417,115,871,14597,0.7838345864661654,0.056309800879234546,0.32375776397515527
cohort,A,all,all,task_init,recalibrated,cosine_neighbors_euclidean_score,9,16000,532,15468,420,112,837,14631,0.7894736842105263,0.054111714507370054,0.3341288782816229
cohort,A,all,all,task_init,recalibrated,cosine_neighbors_euclidean_score,10,16000,532,15468,429,103,896,14572,0.806390977443609,0.057926040858546676,0.3237735849056604
cohort,A,all,all,task_init,recalibrated,cosine_neighbors_euclidean_score,20,16000,532,15468,446,86,987,14481,0.8383458646616542,0.06380915438324282,0.31123517096999304
cohort,A,all,all,task_init,recalibrated,euclidean_neighbors_cosine_score,1,16000,532,15468,12,520,267,15201,0.022556390977443608,0.01726144297905353,0.043010752688172046
cohort,A,all,all,task_init,recalibrated,euclidean_neighbors_cosine_score,2,16000,532,15468,10,522,311,15157,0.018796992481203006,0.020106025342642875,0.03115264797507788
cohort,A,all,all,task_init,recalibrated,euclidean_neighbors_cosine_score,3,16000,532,15468,9,523,297,15171,0.016917293233082706,0.019200930954228083,0.029411764705882353
cohort,A,all,all,task_init,recalibrated,euclidean_neighbors_cosine_score,4,16000,532,15468,9,523,253,15215,0.016917293233082706,0.01635634859063874,0.03435114503816794
cohort,A,all,all,task_init,recalibrated,euclidean_neighbors_cosine_score,5,16000,532,15468,10,522,324,15144,0.018796992481203006,0.02094647013188518,0.029940119760479042
cohort,A,all,all,task_init,recalibrated,euclidean_neighbors_cosine_score,6,16000,532,15468,12,520,336,15132,0.022556390977443608,0.021722265321955005,0.034482758620689655
cohort,A,all,all,task_init,recalibrated,euclidean_neighbors_cosine_score,7,16000,532,15468,16,516,338,15130,0.03007518796992481,0.021851564520299974,0.04519774011299435
cohort,A,all,all,task_init,recalibrated,euclidean_neighbors_cosine_score,8,16000,532,15468,12,520,293,15175,0.022556390977443608,0.018942332557538143,0.03934426229508197
cohort,A,all,all,task_init,recalibrated,euclidean_neighbors_cosine_score,9,16000,532,15468,11,521,293,15175,0.020676691729323307,0.018942332557538143,0.03618421052631579
cohort,A,all,all,task_init,recalibrated,euclidean_neighbors_cosine_score,10,16000,532,15468,10,522,295,15173,0.018796992481203006,0.019071631755883115,0.03278688524590164
cohort,A,all,all,task_init,recalibrated,euclidean_neighbors_cosine_score,20,16000,532,15468,14,518,322,15146,0.02631578947368421,0.020817170933540213,0.041666666666666664
cohort,A,all,all,task_init,recalibrated,cosine_without_center,1,16000,532,15468,79,453,615,14853,0.14849624060150377,0.03975950349107835,0.1138328530259366
cohort,A,all,all,task_init,recalibrated,cosine_without_center,2,16000,532,15468,77,455,607,14861,0.14473684210526316,0.03924230669769847,0.11257309941520467
cohort,A,all,all,task_init,recalibrated,cosine_without_center,3,16000,532,15468,76,456,612,14856,0.14285714285714285,0.0395655546935609,0.11046511627906977
cohort,A,all,all,task_init,recalibrated,cosine_without_center,4,16000,532,15468,79,453,624,14844,0.14849624060150377,0.04034134988363072,0.112375533428165
cohort,A,all,all,task_init,recalibrated,cosine_without_center,5,16000,532,15468,83,449,646,14822,0.15601503759398497,0.04176364106542539,0.11385459533607682
cohort,A,all,all,task_init,recalibrated,cosine_without_center,6,16000,532,15468,86,446,650,14818,0.16165413533834586,0.042022239462115335,0.11684782608695653
