level,cohort,suite,task,method,k,failure,episodes,progress_bin,alarms,count
all,all,all,all,euclidean,1,False,30904,"[0,25%)",3338,3
all,all,all,all,euclidean,1,False,30904,"[25,50%)",3338,92
all,all,all,all,euclidean,1,False,30904,"[50,75%)",3338,1218
all,all,all,all,euclidean,1,False,30904,"[75,100%)",3338,2025
all,all,all,all,euclidean,2,False,30904,"[0,25%)",3224,4
all,all,all,all,euclidean,2,False,30904,"[25,50%)",3224,96
all,all,all,all,euclidean,2,False,30904,"[50,75%)",3224,1210
all,all,all,all,euclidean,2,False,30904,"[75,100%)",3224,1914
all,all,all,all,euclidean,3,False,30904,"[0,25%)",3171,4
all,all,all,all,euclidean,3,False,30904,"[25,50%)",3171,106
all,all,all,all,euclidean,3,False,30904,"[50,75%)",3171,1217
all,all,all,all,euclidean,3,False,30904,"[75,100%)",3171,1844
all,all,all,all,euclidean,4,False,30904,"[0,25%)",3123,4
all,all,all,all,euclidean,4,False,30904,"[25,50%)",3123,110
all,all,all,all,euclidean,4,False,30904,"[50,75%)",3123,1216
all,all,all,all,euclidean,4,False,30904,"[75,100%)",3123,1793
all,all,all,all,euclidean,5,False,30904,"[0,25%)",3091,5
all,all,all,all,euclidean,5,False,30904,"[25,50%)",3091,112
all,all,all,all,euclidean,5,False,30904,"[50,75%)",3091,1190
all,all,all,all,euclidean,5,False,30904,"[75,100%)",3091,1784
all,all,all,all,euclidean,6,False,30904,"[0,25%)",3064,7
all,all,all,all,euclidean,6,False,30904,"[25,50%)",3064,110
all,all,all,all,euclidean,6,False,30904,"[50,75%)",3064,1180
all,all,all,all,euclidean,6,False,30904,"[75,100%)",3064,1767
all,all,all,all,euclidean,7,False,30904,"[0,25%)",3068,6
all,all,all,all,euclidean,7,False,30904,"[25,50%)",3068,109
all,all,all,all,euclidean,7,False,30904,"[50,75%)",3068,1178
all,all,all,all,euclidean,7,False,30904,"[75,100%)",3068,1775
all,all,all,all,euclidean,8,False,30904,"[0,25%)",3032,6
all,all,all,all,euclidean,8,False,30904,"[25,50%)",3032,108
all,all,all,all,euclidean,8,False,30904,"[50,75%)",3032,1173
all,all,all,all,euclidean,8,False,30904,"[75,100%)",3032,1745
