level,cohort,suite,task,method,k,failure,episodes,query_bin,count
all,all,all,all,euclidean,1,False,30904,no_alarm,27566
all,all,all,all,euclidean,1,False,30904,q0-6,0
all,all,all,all,euclidean,1,False,30904,q7,12
all,all,all,all,euclidean,1,False,30904,q8-10,2037
all,all,all,all,euclidean,1,False,30904,q11-14,1064
all,all,all,all,euclidean,1,False,30904,q15-19,138
all,all,all,all,euclidean,1,False,30904,q20-29,56
all,all,all,all,euclidean,1,False,30904,q30-39,29
all,all,all,all,euclidean,1,False,30904,q40-51,2
all,all,all,all,euclidean,2,False,30904,no_alarm,27680
all,all,all,all,euclidean,2,False,30904,q0-6,0
all,all,all,all,euclidean,2,False,30904,q7,8
all,all,all,all,euclidean,2,False,30904,q8-10,1948
all,all,all,all,euclidean,2,False,30904,q11-14,1055
all,all,all,all,euclidean,2,False,30904,q15-19,128
all,all,all,all,euclidean,2,False,30904,q20-29,51
all,all,all,all,euclidean,2,False,30904,q30-39,32
all,all,all,all,euclidean,2,False,30904,q40-51,2
all,all,all,all,euclidean,3,False,30904,no_alarm,27733
all,all,all,all,euclidean,3,False,30904,q0-6,0
all,all,all,all,euclidean,3,False,30904,q7,8
all,all,all,all,euclidean,3,False,30904,q8-10,1956
all,all,all,all,euclidean,3,False,30904,q11-14,1009
all,all,all,all,euclidean,3,False,30904,q15-19,124
all,all,all,all,euclidean,3,False,30904,q20-29,41
all,all,all,all,euclidean,3,False,30904,q30-39,31
all,all,all,all,euclidean,3,False,30904,q40-51,2
all,all,all,all,euclidean,4,False,30904,no_alarm,27781
all,all,all,all,euclidean,4,False,30904,q0-6,0
all,all,all,all,euclidean,4,False,30904,q7,7
all,all,all,all,euclidean,4,False,30904,q8-10,1926
all,all,all,all,euclidean,4,False,30904,q11-14,989
all,all,all,all,euclidean,4,False,30904,q15-19,125
all,all,all,all,euclidean,4,False,30904,q20-29,40
all,all,all,all,euclidean,4,False,30904,q30-39,35
all,all,all,all,euclidean,4,False,30904,q40-51,1
all,all,all,all,euclidean,5,False,30904,no_alarm,27813
all,all,all,all,euclidean,5,False,30904,q0-6,0
all,all,all,all,euclidean,5,False,30904,q7,6
all,all,all,all,euclidean,5,False,30904,q8-10,1888
all,all,all,all,euclidean,5,False,30904,q11-14,999
all,all,all,all,euclidean,5,False,30904,q15-19,120
