level,cohort,suite,task,method,failure,k_count,episodes,count,baseline_k20_alarms,baseline_alarms_with_this_k_count
all,all,all,all,euclidean_neighbors_cosine_score,True,10,1096,14,30,14
all,all,all,all,cosine_without_center,False,0,30904,29414,1125,32
all,all,all,all,cosine_without_center,False,1,30904,87,1125,4
all,all,all,all,cosine_without_center,False,2,30904,55,1125,9
all,all,all,all,cosine_without_center,False,3,30904,56,1125,11
all,all,all,all,cosine_without_center,False,4,30904,30,1125,10
all,all,all,all,cosine_without_center,False,5,30904,41,1125,23
all,all,all,all,cosine_without_center,False,6,30904,53,1125,29
all,all,all,all,cosine_without_center,False,7,30904,61,1125,41
all,all,all,all,cosine_without_center,False,8,30904,66,1125,40
all,all,all,all,cosine_without_center,False,9,30904,79,1125,64
all,all,all,all,cosine_without_center,False,10,30904,962,1125,862
all,all,all,all,cosine_without_center,True,0,1096,896,158,2
all,all,all,all,cosine_without_center,True,1,1096,7,158,2
all,all,all,all,cosine_without_center,True,2,1096,4,158,1
all,all,all,all,cosine_without_center,True,3,1096,4,158,2
all,all,all,all,cosine_without_center,True,4,1096,7,158,2
all,all,all,all,cosine_without_center,True,5,1096,4,158,2
all,all,all,all,cosine_without_center,True,6,1096,6,158,3
all,all,all,all,cosine_without_center,True,7,1096,9,158,6
all,all,all,all,cosine_without_center,True,8,1096,9,158,7
all,all,all,all,cosine_without_center,True,9,1096,13,158,10
all,all,all,all,cosine_without_center,True,10,1096,137,158,121
cohort,A,all,all,euclidean,False,0,15468,13693,1349,16
cohort,A,all,all,euclidean,False,1,15468,112,1349,7
cohort,A,all,all,euclidean,False,2,15468,75,1349,8
cohort,A,all,all,euclidean,False,3,15468,42,1349,17
cohort,A,all,all,euclidean,False,4,15468,37,1349,10
cohort,A,all,all,euclidean,False,5,15468,20,1349,5
cohort,A,all,all,euclidean,False,6,15468,26,1349,7
cohort,A,all,all,euclidean,False,7,15468,44,1349,18
cohort,A,all,all,euclidean,False,8,15468,52,1349,20
cohort,A,all,all,euclidean,False,9,15468,61,1349,33
cohort,A,all,all,euclidean,False,10,15468,1306,1349,1208
cohort,A,all,all,euclidean,True,0,532,30,478,1
cohort,A,all,all,euclidean,True,1,532,1,478,0
cohort,A,all,all,euclidean,True,2,532,1,478,0
cohort,A,all,all,euclidean,True,3,532,1,478,0
cohort,A,all,all,euclidean,True,4,532,1,478,0
cohort,A,all,all,euclidean,True,5,532,1,478,0
cohort,A,all,all,euclidean,True,6,532,2,478,0
cohort,A,all,all,euclidean,True,7,532,1,478,0
cohort,A,all,all,euclidean,True,8,532,15,478,12
cohort,A,all,all,euclidean,True,9,532,12,478,9
cohort,A,all,all,euclidean,True,10,532,467,478,456
cohort,A,all,all,cosine,False,0,15468,15060,322,21
cohort,A,all,all,cosine,False,1,15468,26,322,4
cohort,A,all,all,cosine,False,2,15468,18,322,5
cohort,A,all,all,cosine,False,3,15468,19,322,6
cohort,A,all,all,cosine,False,4,15468,13,322,4
cohort,A,all,all,cosine,False,5,15468,15,322,5
cohort,A,all,all,cosine,False,6,15468,14,322,9
cohort,A,all,all,cosine,False,7,15468,21,322,14
cohort,A,all,all,cosine,False,8,15468,22,322,17
cohort,A,all,all,cosine,False,9,15468,37,322,30
cohort,A,all,all,cosine,False,10,15468,223,322,207
cohort,A,all,all,cosine,True,0,532,516,17,3
cohort,A,all,all,cosine,True,1,532,0,17,0
cohort,A,all,all,cosine,True,2,532,1,17,0
cohort,A,all,all,cosine,True,3,532,1,17,1
cohort,A,all,all,cosine,True,4,532,0,17,0
cohort,A,all,all,cosine,True,5,532,0,17,0
cohort,A,all,all,cosine,True,6,532,0,17,0
cohort,A,all,all,cosine,True,7,532,1,17,1
cohort,A,all,all,cosine,True,8,532,0,17,0
cohort,A,all,all,cosine,True,9,532,2,17,2
cohort,A,all,all,cosine,True,10,532,11,17,10
cohort,A,all,all,cosine_neighbors_euclidean_score,False,0,15468,14206,987,125
cohort,A,all,all,cosine_neighbors_euclidean_score,False,1,15468,221,987,29
cohort,A,all,all,cosine_neighbors_euclidean_score,False,2,15468,109,987,28
cohort,A,all,all,cosine_neighbors_euclidean_score,False,3,15468,82,987,31
cohort,A,all,all,cosine_neighbors_euclidean_score,False,4,15468,62,987,37
cohort,A,all,all,cosine_neighbors_euclidean_score,False,5,15468,54,987,41
cohort,A,all,all,cosine_neighbors_euclidean_score,False,6,15468,44,987,37
cohort,A,all,all,cosine_neighbors_euclidean_score,False,7,15468,90,987,80
cohort,A,all,all,cosine_neighbors_euclidean_score,False,8,15468,98,987,86
cohort,A,all,all,cosine_neighbors_euclidean_score,False,9,15468,75,987,69
cohort,A,all,all,cosine_neighbors_euclidean_score,False,10,15468,427,987,424
cohort,A,all,all,cosine_neighbors_euclidean_score,True,0,532,87,446,14
cohort,A,all,all,cosine_neighbors_euclidean_score,True,1,532,18,446,11
cohort,A,all,all,cosine_neighbors_euclidean_score,True,2,532,10,446,8
cohort,A,all,all,cosine_neighbors_euclidean_score,True,3,532,9,446,9
cohort,A,all,all,cosine_neighbors_euclidean_score,True,4,532,9,446,7
cohort,A,all,all,cosine_neighbors_euclidean_score,True,5,532,16,446,16
cohort,A,all,all,cosine_neighbors_euclidean_score,True,6,532,16,446,15
cohort,A,all,all,cosine_neighbors_euclidean_score,True,7,532,55,446,54
cohort,A,all,all,cosine_neighbors_euclidean_score,True,8,532,31,446,31
cohort,A,all,all,cosine_neighbors_euclidean_score,True,9,532,19,446,19
cohort,A,all,all,cosine_neighbors_euclidean_score,True,10,532,262,446,262
cohort,A,all,all,euclidean_neighbors_cosine_score,False,0,15468,14948,322,24
cohort,A,all,all,euclidean_neighbors_cosine_score,False,1,15468,99,322,13
cohort,A,all,all,euclidean_neighbors_cosine_score,False,2,15468,63,322,16
cohort,A,all,all,euclidean_neighbors_cosine_score,False,3,15468,36,322,8
cohort,A,all,all,euclidean_neighbors_cosine_score,False,4,15468,27,322,8
cohort,A,all,all,euclidean_neighbors_cosine_score,False,5,15468,23,322,15
cohort,A,all,all,euclidean_neighbors_cosine_score,False,6,15468,16,322,10
cohort,A,all,all,euclidean_neighbors_cosine_score,False,7,15468,32,322,25
cohort,A,all,all,euclidean_neighbors_cosine_score,False,8,15468,23,322,18
cohort,A,all,all,euclidean_neighbors_cosine_score,False,9,15468,63,322,56
cohort,A,all,all,euclidean_neighbors_cosine_score,False,10,15468,138,322,129
cohort,A,all,all,euclidean_neighbors_cosine_score,True,0,532,515,14,3
cohort,A,all,all,euclidean_neighbors_cosine_score,True,1,532,2,14,0
cohort,A,all,all,euclidean_neighbors_cosine_score,True,2,532,0,14,0
cohort,A,all,all,euclidean_neighbors_cosine_score,True,3,532,2,14,1
cohort,A,all,all,euclidean_neighbors_cosine_score,True,4,532,0,14,0
cohort,A,all,all,euclidean_neighbors_cosine_score,True,5,532,3,14,2
cohort,A,all,all,euclidean_neighbors_cosine_score,True,6,532,2,14,0
cohort,A,all,all,euclidean_neighbors_cosine_score,True,7,532,1,14,1
cohort,A,all,all,euclidean_neighbors_cosine_score,True,8,532,0,14,0
cohort,A,all,all,euclidean_neighbors_cosine_score,True,9,532,1,14,1
cohort,A,all,all,euclidean_neighbors_cosine_score,True,10,532,6,14,6
cohort,A,all,all,cosine_without_center,False,0,15468,14700,575,17
cohort,A,all,all,cosine_without_center,False,1,15468,41,575,1
cohort,A,all,all,cosine_without_center,False,2,15468,29,575,2
cohort,A,all,all,cosine_without_center,False,3,15468,27,575,7
cohort,A,all,all,cosine_without_center,False,4,15468,13,575,3
cohort,A,all,all,cosine_without_center,False,5,15468,25,575,13
