level,cohort,suite,task,calibration,threshold_mode,method,k,episodes,failures,successes,tp,fn,fp,tn,recall,fpr,precision
all,all,all,all,episode,recalibrated,euclidean_neighbors_cosine_score,9,32000,1096,30904,142,954,2651,28253,0.12956204379562045,0.08578177582190008,0.05084138918725385
all,all,all,all,episode,recalibrated,euclidean_neighbors_cosine_score,10,32000,1096,30904,144,952,2646,28258,0.13138686131386862,0.08561998446803003,0.05161290322580645
all,all,all,all,episode,recalibrated,euclidean_neighbors_cosine_score,20,32000,1096,30904,133,963,2552,28352,0.12135036496350365,0.0825783070152731,0.04953445065176909
all,all,all,all,episode,recalibrated,cosine_without_center,1,32000,1096,30904,352,744,3412,27492,0.32116788321167883,0.11040641988092156,0.09351753453772582
all,all,all,all,episode,recalibrated,cosine_without_center,2,32000,1096,30904,358,738,3447,27457,0.3266423357664234,0.1115389593580119,0.09408672798948751
all,all,all,all,episode,recalibrated,cosine_without_center,3,32000,1096,30904,351,745,3423,27481,0.32025547445255476,0.11076236085943567,0.09300476947535771
all,all,all,all,episode,recalibrated,cosine_without_center,4,32000,1096,30904,353,743,3398,27506,0.3220802919708029,0.10995340409008543,0.09410823780325246
all,all,all,all,episode,recalibrated,cosine_without_center,5,32000,1096,30904,352,744,3369,27535,0.32116788321167883,0.10901501423763914,0.09459822628325719
all,all,all,all,episode,recalibrated,cosine_without_center,6,32000,1096,30904,353,743,3400,27504,0.3220802919708029,0.11001812063163345,0.09405808686384226
all,all,all,all,episode,recalibrated,cosine_without_center,7,32000,1096,30904,349,747,3438,27466,0.31843065693430656,0.11124773492104582,0.09215738051227886
all,all,all,all,episode,recalibrated,cosine_without_center,8,32000,1096,30904,350,746,3436,27468,0.3193430656934307,0.1111830183794978,0.092445853143159
all,all,all,all,episode,recalibrated,cosine_without_center,9,32000,1096,30904,349,747,3439,27465,0.31843065693430656,0.11128009319181983,0.09213305174234425
all,all,all,all,episode,recalibrated,cosine_without_center,10,32000,1096,30904,351,745,3433,27471,0.32025547445255476,0.11108594356717577,0.09275898520084566
all,all,all,all,episode,recalibrated,cosine_without_center,20,32000,1096,30904,334,762,3350,27554,0.30474452554744524,0.10840020709293295,0.09066232356134636
