level,cohort,suite,task,method,k,failure,episodes,both,removed_from_k20,new_vs_k20,neither,earlier,later,same_query
all,all,all,all,cosine,5,True,1096,30,8,7,1051,0,4,26
all,all,all,all,cosine,6,True,1096,31,7,7,1051,0,3,28
all,all,all,all,cosine,7,True,1096,32,6,6,1052,0,3,29
all,all,all,all,cosine,8,True,1096,33,5,6,1052,0,2,31
all,all,all,all,cosine,9,True,1096,33,5,5,1053,0,1,32
all,all,all,all,cosine,10,True,1096,33,5,4,1054,0,0,33
all,all,all,all,cosine,20,True,1096,38,0,0,1058,0,0,38
all,all,all,all,cosine_neighbors_euclidean_score,1,False,30904,989,978,330,28607,46,414,529
all,all,all,all,cosine_neighbors_euclidean_score,2,False,30904,1081,886,280,28657,59,433,589
all,all,all,all,cosine_neighbors_euclidean_score,3,False,30904,1170,797,153,28784,80,381,709
all,all,all,all,cosine_neighbors_euclidean_score,4,False,30904,1380,587,190,28747,80,356,944
all,all,all,all,cosine_neighbors_euclidean_score,5,False,30904,1381,586,178,28759,54,373,954
all,all,all,all,cosine_neighbors_euclidean_score,6,False,30904,1404,563,239,28698,57,324,1023
all,all,all,all,cosine_neighbors_euclidean_score,7,False,30904,1553,414,210,28727,101,227,1225
all,all,all,all,cosine_neighbors_euclidean_score,8,False,30904,1541,426,199,28738,85,251,1205
all,all,all,all,cosine_neighbors_euclidean_score,9,False,30904,1552,415,150,28787,73,250,1229
all,all,all,all,cosine_neighbors_euclidean_score,10,False,30904,1623,344,175,28762,98,194,1331
all,all,all,all,cosine_neighbors_euclidean_score,20,False,30904,1967,0,0,28937,0,0,1967
all,all,all,all,cosine_neighbors_euclidean_score,1,True,1096,562,348,9,177,59,348,155
all,all,all,all,cosine_neighbors_euclidean_score,2,True,1096,583,327,9,177,49,304,230
all,all,all,all,cosine_neighbors_euclidean_score,3,True,1096,642,268,5,181,29,352,261
all,all,all,all,cosine_neighbors_euclidean_score,4,True,1096,746,164,5,181,40,378,328
all,all,all,all,cosine_neighbors_euclidean_score,5,True,1096,779,131,4,182,47,369,363
all,all,all,all,cosine_neighbors_euclidean_score,6,True,1096,819,91,5,181,74,266,479
all,all,all,all,cosine_neighbors_euclidean_score,7,True,1096,828,82,4,182,60,234,534
all,all,all,all,cosine_neighbors_euclidean_score,8,True,1096,846,64,6,180,79,216,551
all,all,all,all,cosine_neighbors_euclidean_score,9,True,1096,856,54,4,182,63,206,587
all,all,all,all,cosine_neighbors_euclidean_score,10,True,1096,868,42,7,179,87,170,611
all,all,all,all,cosine_neighbors_euclidean_score,20,True,1096,910,0,0,186,0,0,910
all,all,all,all,euclidean_neighbors_cosine_score,1,False,30904,362,280,190,30072,24,30,308
all,all,all,all,euclidean_neighbors_cosine_score,2,False,30904,442,200,180,30082,29,20,393
all,all,all,all,euclidean_neighbors_cosine_score,3,False,30904,437,205,142,30120,20,21,396
all,all,all,all,euclidean_neighbors_cosine_score,4,False,30904,423,219,86,30176,10,25,388
all,all,all,all,euclidean_neighbors_cosine_score,5,False,30904,490,152,138,30124,21,21,448
all,all,all,all,euclidean_neighbors_cosine_score,6,False,30904,519,123,149,30113,30,11,478
all,all,all,all,euclidean_neighbors_cosine_score,7,False,30904,541,101,139,30123,42,8,491
all,all,all,all,euclidean_neighbors_cosine_score,8,False,30904,509,133,73,30189,20,14,475
all,all,all,all,euclidean_neighbors_cosine_score,9,False,30904,518,124,71,30191,16,14,488
all,all,all,all,euclidean_neighbors_cosine_score,10,False,30904,516,126,78,30184,13,15,488
all,all,all,all,euclidean_neighbors_cosine_score,20,False,30904,642,0,0,30262,0,0,642
all,all,all,all,euclidean_neighbors_cosine_score,1,True,1096,17,13,10,1056,4,0,13
all,all,all,all,euclidean_neighbors_cosine_score,2,True,1096,18,12,5,1061,2,0,16
all,all,all,all,euclidean_neighbors_cosine_score,3,True,1096,17,13,6,1060,1,0,16
all,all,all,all,euclidean_neighbors_cosine_score,4,True,1096,16,14,4,1062,0,0,16
all,all,all,all,euclidean_neighbors_cosine_score,5,True,1096,18,12,6,1060,0,0,18
all,all,all,all,euclidean_neighbors_cosine_score,6,True,1096,22,8,8,1058,2,0,20
all,all,all,all,euclidean_neighbors_cosine_score,7,True,1096,25,5,13,1053,4,0,21
all,all,all,all,euclidean_neighbors_cosine_score,8,True,1096,24,6,5,1061,2,0,22
all,all,all,all,euclidean_neighbors_cosine_score,9,True,1096,23,7,3,1063,1,0,22
