level,cohort,suite,task,method,k,failure,episodes,query,count
all,all,all,all,euclidean,1,False,30904,-1,27566
all,all,all,all,euclidean,1,False,30904,0,0
all,all,all,all,euclidean,1,False,30904,1,0
all,all,all,all,euclidean,1,False,30904,2,0
all,all,all,all,euclidean,1,False,30904,3,0
all,all,all,all,euclidean,1,False,30904,4,0
all,all,all,all,euclidean,1,False,30904,5,0
all,all,all,all,euclidean,1,False,30904,6,0
all,all,all,all,euclidean,1,False,30904,7,12
all,all,all,all,euclidean,1,False,30904,8,396
all,all,all,all,euclidean,1,False,30904,9,873
all,all,all,all,euclidean,1,False,30904,10,768
all,all,all,all,euclidean,1,False,30904,11,602
all,all,all,all,euclidean,1,False,30904,12,191
all,all,all,all,euclidean,1,False,30904,13,123
all,all,all,all,euclidean,1,False,30904,14,148
all,all,all,all,euclidean,1,False,30904,15,68
all,all,all,all,euclidean,1,False,30904,16,37
all,all,all,all,euclidean,1,False,30904,17,12
all,all,all,all,euclidean,1,False,30904,18,11
all,all,all,all,euclidean,1,False,30904,19,10
all,all,all,all,euclidean,1,False,30904,20,11
all,all,all,all,euclidean,1,False,30904,21,1
all,all,all,all,euclidean,1,False,30904,22,3
all,all,all,all,euclidean,1,False,30904,23,6
all,all,all,all,euclidean,1,False,30904,24,7
all,all,all,all,euclidean,1,False,30904,25,9
all,all,all,all,euclidean,1,False,30904,26,9
all,all,all,all,euclidean,1,False,30904,27,1
all,all,all,all,euclidean,1,False,30904,28,2
all,all,all,all,euclidean,1,False,30904,29,7
all,all,all,all,euclidean,1,False,30904,30,2
all,all,all,all,euclidean,1,False,30904,31,7
all,all,all,all,euclidean,1,False,30904,32,11
all,all,all,all,euclidean,1,False,30904,33,3
all,all,all,all,euclidean,1,False,30904,34,2
all,all,all,all,euclidean,1,False,30904,35,0
all,all,all,all,euclidean,1,False,30904,36,2
all,all,all,all,euclidean,1,False,30904,37,1
all,all,all,all,euclidean,1,False,30904,38,0
all,all,all,all,euclidean,1,False,30904,39,1
all,all,all,all,euclidean,1,False,30904,40,2
all,all,all,all,euclidean,1,False,30904,41,0
