level,cohort,suite,task,calibration,threshold_mode,method,k,episodes,failures,successes,tp,fn,fp,tn,recall,fpr,precision
suite,all,libero_goal,all,episode,recalibrated,euclidean,1,8000,208,7792,208,0,3594,4198,1.0,0.4612422997946612,0.05470804839558127
suite,all,libero_goal,all,episode,recalibrated,euclidean,2,8000,208,7792,208,0,3639,4153,1.0,0.46701745379876797,0.05406810501689628
suite,all,libero_goal,all,episode,recalibrated,euclidean,3,8000,208,7792,208,0,3639,4153,1.0,0.46701745379876797,0.05406810501689628
suite,all,libero_goal,all,episode,recalibrated,euclidean,4,8000,208,7792,208,0,3629,4163,1.0,0.4657340862422998,0.05420901746155851
suite,all,libero_goal,all,episode,recalibrated,euclidean,5,8000,208,7792,208,0,3639,4153,1.0,0.46701745379876797,0.05406810501689628
suite,all,libero_goal,all,episode,recalibrated,euclidean,6,8000,208,7792,208,0,3615,4177,1.0,0.46393737166324434,0.05440753335077164
suite,all,libero_goal,all,episode,recalibrated,euclidean,7,8000,208,7792,208,0,3591,4201,1.0,0.46085728952772076,0.054751250329033954
suite,all,libero_goal,all,episode,recalibrated,euclidean,8,8000,208,7792,208,0,3574,4218,1.0,0.4586755646817248,0.05499735589635114
suite,all,libero_goal,all,episode,recalibrated,euclidean,9,8000,208,7792,208,0,3565,4227,1.0,0.45752053388090347,0.05512854492446329
suite,all,libero_goal,all,episode,recalibrated,euclidean,10,8000,208,7792,208,0,3555,4237,1.0,0.45623716632443534,0.05527504650544778
suite,all,libero_goal,all,episode,recalibrated,euclidean,20,8000,208,7792,208,0,3390,4402,1.0,0.43506160164271046,0.057809894385769875
suite,all,libero_goal,all,episode,recalibrated,cosine,1,8000,208,7792,113,95,1005,6787,0.5432692307692307,0.12897843942505133,0.10107334525939177
suite,all,libero_goal,all,episode,recalibrated,cosine,2,8000,208,7792,110,98,1007,6785,0.5288461538461539,0.12923511293634496,0.09847806624888093
suite,all,libero_goal,all,episode,recalibrated,cosine,3,8000,208,7792,105,103,980,6812,0.5048076923076923,0.1257700205338809,0.0967741935483871
suite,all,libero_goal,all,episode,recalibrated,cosine,4,8000,208,7792,102,106,951,6841,0.49038461538461536,0.1220482546201232,0.09686609686609686
suite,all,libero_goal,all,episode,recalibrated,cosine,5,8000,208,7792,102,106,924,6868,0.49038461538461536,0.11858316221765913,0.09941520467836257
suite,all,libero_goal,all,episode,recalibrated,cosine,6,8000,208,7792,104,104,918,6874,0.5,0.11781314168377824,0.10176125244618395
suite,all,libero_goal,all,episode,recalibrated,cosine,7,8000,208,7792,101,107,906,6886,0.4855769230769231,0.11627310061601642,0.1002979145978153
suite,all,libero_goal,all,episode,recalibrated,cosine,8,8000,208,7792,101,107,900,6892,0.4855769230769231,0.11550308008213553,0.1008991008991009
suite,all,libero_goal,all,episode,recalibrated,cosine,9,8000,208,7792,101,107,885,6907,0.4855769230769231,0.11357802874743327,0.10243407707910751
suite,all,libero_goal,all,episode,recalibrated,cosine,10,8000,208,7792,99,109,886,6906,0.47596153846153844,0.11370636550308008,0.10050761421319797
suite,all,libero_goal,all,episode,recalibrated,cosine,20,8000,208,7792,90,118,844,6948,0.4326923076923077,0.10831622176591375,0.09635974304068523
suite,all,libero_goal,all,episode,recalibrated,cosine_neighbors_euclidean_score,1,8000,208,7792,205,3,1973,5819,0.9855769230769231,0.2532084188911704,0.09412304866850321
suite,all,libero_goal,all,episode,recalibrated,cosine_neighbors_euclidean_score,2,8000,208,7792,207,1,2207,5585,0.9951923076923077,0.2832392197125257,0.08574979287489644
suite,all,libero_goal,all,episode,recalibrated,cosine_neighbors_euclidean_score,3,8000,208,7792,206,2,2288,5504,0.9903846153846154,0.2936344969199179,0.08259823576583801
suite,all,libero_goal,all,episode,recalibrated,cosine_neighbors_euclidean_score,4,8000,208,7792,206,2,2446,5346,0.9903846153846154,0.313911704312115,0.07767722473604827
suite,all,libero_goal,all,episode,recalibrated,cosine_neighbors_euclidean_score,5,8000,208,7792,206,2,2500,5292,0.9903846153846154,0.32084188911704314,0.07612712490761271
suite,all,libero_goal,all,episode,recalibrated,cosine_neighbors_euclidean_score,6,8000,208,7792,207,1,2514,5278,0.9951923076923077,0.32263860369609854,0.07607497243660419
suite,all,libero_goal,all,episode,recalibrated,cosine_neighbors_euclidean_score,7,8000,208,7792,207,1,2484,5308,0.9951923076923077,0.31878850102669404,0.07692307692307693
suite,all,libero_goal,all,episode,recalibrated,cosine_neighbors_euclidean_score,8,8000,208,7792,207,1,2543,5249,0.9951923076923077,0.32636036960985626,0.07527272727272727
suite,all,libero_goal,all,episode,recalibrated,cosine_neighbors_euclidean_score,9,8000,208,7792,207,1,2545,5247,0.9951923076923077,0.3266170431211499,0.07521802325581395
suite,all,libero_goal,all,episode,recalibrated,cosine_neighbors_euclidean_score,10,8000,208,7792,207,1,2609,5183,0.9951923076923077,0.3348305954825462,0.07350852272727272
suite,all,libero_goal,all,episode,recalibrated,cosine_neighbors_euclidean_score,20,8000,208,7792,208,0,2725,5067,1.0,0.349717659137577,0.07091714967609955
suite,all,libero_goal,all,episode,recalibrated,euclidean_neighbors_cosine_score,1,8000,208,7792,100,108,1060,6732,0.4807692307692308,0.1360369609856263,0.08620689655172414
suite,all,libero_goal,all,episode,recalibrated,euclidean_neighbors_cosine_score,2,8000,208,7792,93,115,1035,6757,0.44711538461538464,0.13282854209445585,0.08244680851063829
