direction,scope,rule,episodes,failures,tp,fp,fn,tn,precision,failure_recall,success_false_alarm_rate
seed1000_1007_to_seed1008_1015,heldout,combined,3200,125,124,151,1,2924,0.4509090909090909,0.992,0.049105691056910566
seed1000_1007_to_seed1008_1015,heldout,lock_in,3200,125,124,151,1,2924,0.4509090909090909,0.992,0.049105691056910566
seed1000_1007_to_seed1008_1015,heldout,instability,3200,125,6,24,119,3051,0.2,0.048,0.007804878048780488
seed1000_1007_to_seed1008_1015,heldout,state_action_decoupling,3200,125,0,28,125,3047,0.0,0.0,0.009105691056910569
seed1000_1007_to_seed1008_1015,all_target,combined,16000,564,469,556,95,14880,0.4575609756097561,0.8315602836879432,0.03601969422130086
seed1000_1007_to_seed1008_1015,all_target,lock_in,16000,564,469,556,95,14880,0.4575609756097561,0.8315602836879432,0.03601969422130086
seed1000_1007_to_seed1008_1015,all_target,instability,16000,564,34,106,530,15330,0.24285714285714285,0.06028368794326241,0.006867064006219227
seed1000_1007_to_seed1008_1015,all_target,state_action_decoupling,16000,564,18,601,546,14835,0.029079159935379646,0.031914893617021274,0.038934957242809015
seed1000_1007_to_seed1008_1015,heldout,prefrozen_clock,3200,125,48,0,77,3075,1.0,0.384,0.0
seed1000_1007_to_seed1008_1015,heldout,posthoc_fp_bounded_clock,3200,125,83,135,42,2940,0.38073394495412843,0.664,0.04390243902439024
seed1008_1015_to_seed1000_1007,heldout,combined,3200,114,109,138,5,2948,0.44129554655870445,0.956140350877193,0.04471808165910564
seed1008_1015_to_seed1000_1007,heldout,lock_in,3200,114,109,138,5,2948,0.44129554655870445,0.956140350877193,0.04471808165910564
seed1008_1015_to_seed1000_1007,heldout,instability,3200,114,10,31,104,3055,0.24390243902439024,0.08771929824561403,0.010045366169799093
seed1008_1015_to_seed1000_1007,heldout,state_action_decoupling,3200,114,2,31,112,3055,0.06060606060606061,0.017543859649122806,0.010045366169799093
seed1008_1015_to_seed1000_1007,all_target,combined,16000,532,394,526,138,14942,0.4282608695652174,0.7406015037593985,0.03400568916472718
seed1008_1015_to_seed1000_1007,all_target,lock_in,16000,532,394,524,138,14944,0.42919389978213507,0.7406015037593985,0.03387638996638221
seed1008_1015_to_seed1000_1007,all_target,instability,16000,532,45,111,487,15357,0.28846153846153844,0.08458646616541353,0.0071761055081458495
seed1008_1015_to_seed1000_1007,all_target,state_action_decoupling,16000,532,14,595,518,14873,0.022988505747126436,0.02631578947368421,0.03846651150762865
seed1008_1015_to_seed1000_1007,heldout,prefrozen_clock,3200,114,47,2,67,3084,0.9591836734693877,0.41228070175438597,0.0006480881399870382
seed1008_1015_to_seed1000_1007,heldout,posthoc_fp_bounded_clock,3200,114,79,121,35,2965,0.395,0.6929824561403509,0.03920933246921581
