episode_id,scene,noise_seed,routed_level_085_k2,routed_layer_median_085_k2,routed_all4_090_k2,routed_flat_0015_level_0925,routed_curvature_001_level_085,routed_rebound_level_090,mass_rebound_level_090
359,36,1007,8,7,8,9,8,9,9
360,36,1008,7,7,8,9,7,9,9
361,36,1009,8,8,9,10,10,10,9
362,36,1010,7,8,8,9,7,10,9
363,36,1011,7,8,10,9,9,9,9
364,36,1012,8,7,10,10,7,10,10
365,36,1013,7,7,10,8,6,9,8
366,36,1014,8,7,10,8,7,10,8
367,36,1015,6,6,8,10,9,9,9
368,36,1016,7,7,10,10,9,9,9
369,36,1017,8,8,8,10,8,9,9
370,36,1018,7,7,8,10,7,9,9
371,36,1019,7,7,8,9,9,9,9
372,36,1020,7,7,8,10,7,9,9
373,36,1021,7,7,10,9,6,9,9
374,36,1022,7,7,10,9,9,10,9
375,36,1023,7,6,10,10,6,9,9
376,36,1024,7,8,10,9,9,9,9
377,36,1025,8,7,10,9,7,9,9
378,36,1026,9,8,10,5,9,9,9
379,36,1027,7,7,8,9,7,10,9
380,36,1028,8,8,10,9,7,10,9
381,36,1029,8,9,10,10,9,10,9
382,36,1030,7,7,9,9,9,9,9
383,36,1031,7,7,9,9,9,9,9
384,39,1000,8,8,7,10,9,9,9
385,39,1001,7,8,10,10,7,9,9
386,39,1002,8,8,7,8,7,9,8
387,39,1003,7,7,7,7,7,9,7
388,39,1004,8,8,10,8,7,9,8
389,39,1005,7,7,7,7,7,9,8
390,39,1006,8,8,10,8,8,8,8
391,39,1007,7,8,10,7,6,9,8
392,39,1008,7,7,8,7,7,10,7
393,39,1009,7,7,7,7,7,10,8
394,39,1010,9,8,10,7,9,9,9
395,39,1011,7,7,10,8,8,9,8
396,39,1012,8,10,10,8,8,10,8
397,39,1013,7,7,6,7,7,8,8
398,39,1014,7,7,10,7,7,9,8
399,39,1015,7,7,6,8,8,8,8
400,39,1016,7,7,7,10,6,9,9
401,39,1017,8,8,10,8,8,9,8
402,39,1018,7,7,7,7,7,9,8
403,39,1019,7,7,7,8,7,8,8
404,39,1020,7,7,6,8,8,9,8
405,39,1021,7,7,10,8,6,9,8
406,39,1022,7,8,10,10,7,9,9
407,39,1023,7,7,7,8,7,9,8
408,39,1024,8,8,10,8,8,8,8
409,39,1025,7,8,10,7,6,8,8
410,39,1026,10,10,10,7,10,9,7
411,39,1027,9,8,10,8,10,10,8
412,39,1028,9,10,10,7,9,10,9
413,39,1029,10,10,10,7,10,10,7
414,39,1030,7,6,7,10,7,9,9
415,39,1031,10,8,10,7,10,9,8
416,42,1000,7,7,9,9,8,9,9
417,42,1001,7,7,10,9,8,9,9
418,42,1002,7,7,8,8,8,10,8
419,42,1003,7,7,9,9,7,10,9
420,42,1004,8,8,7,9,7,10,9
421,42,1005,8,7,8,8,8,10,8
422,42,1006,7,8,7,8,8,9,8
423,42,1007,8,7,9,8,8,10,8
424,42,1008,7,7,8,9,8,10,9
425,42,1009,8,8,9,10,9,10,10
426,42,1010,7,7,9,9,7,10,9
427,42,1011,7,8,7,10,8,9,9
428,42,1012,8,8,10,8,8,10,9
429,42,1013,8,7,9,8,8,10,8
430,42,1014,7,7,9,8,8,10,8
431,42,1015,7,6,7,8,6,10,8
432,42,1016,6,6,8,9,6,9,9
433,42,1017,8,8,8,9,8,9,9
434,42,1018,7,7,8,8,6,9,9
435,42,1019,7,7,7,8,7,9,8
436,42,1020,7,7,8,9,6,10,9
437,42,1021,7,7,8,8,7,10,8
438,42,1022,7,7,7,9,7,9,9
439,42,1023,7,7,8,8,8,9,8
440,42,1024,7,7,8,9,8,9,9
441,42,1025,8,8,10,9,7,10,9
442,42,1026,8,8,10,8,8,10,8
443,42,1027,8,7,8,10,8,10,10
444,42,1028,8,9,9,10,9,10,9
445,42,1029,8,9,8,10,9,10,9
446,42,1030,7,7,7,9,7,9,9
447,42,1031,8,7,9,9,7,10,9
448,46,1000,7,7,8,9,7,10,9
449,46,1001,8,8,10,5,9,10,9
450,46,1002,8,8,8,10,8,10,9
451,46,1003,7,7,7,9,7,10,9
452,46,1004,8,8,10,10,7,10,9
453,46,1005,7,7,8,9,7,9,9
454,46,1006,7,8,8,9,9,9,9
455,46,1007,7,7,8,9,6,10,9
456,46,1008,7,7,8,8,6,10,10
457,46,1009,8,8,8,9,8,10,9
458,46,1010,8,8,8,9,9,10,9
459,46,1011,6,7,7,7,7,10,10
460,46,1012,9,9,10,10,10,10,10
461,46,1013,8,8,8,6,8,9,9
462,46,1014,7,7,9,10,6,10,10
463,46,1015,6,7,7,9,6,9,9
464,46,1016,7,7,8,9,8,10,9
465,46,1017,8,8,10,9,8,9,9
466,46,1018,7,7,7,8,8,9,8
467,46,1019,7,7,7,8,7,9,8
468,46,1020,7,7,8,9,8,10,9
469,46,1021,7,8,10,8,8,10,8
470,46,1022,7,7,6,10,7,10,10
471,46,1023,7,7,7,8,8,10,8
472,46,1024,8,9,9,9,9,10,9
473,46,1025,7,7,9,7,7,10,7
474,46,1026,8,7,10,8,8,10,8
475,46,1027,7,8,7,10,9,10,9
476,46,1028,8,9,8,10,7,10,9
477,46,1029,8,9,9,10,9,10,9
478,46,1030,7,6,8,9,8,10,9
479,46,1031,7,7,7,8,7,8,8
480,49,1000,7,6,10,8,6,9,9
481,49,1001,7,7,10,8,7,9,8
482,49,1002,7,7,8,8,6,10,8
483,49,1003,7,7,9,8,7,9,8
484,49,1004,9,10,10,9,9,9,9
485,49,1005,7,6,10,8,7,8,8
486,49,1006,7,7,9,7,7,9,8
487,49,1007,7,7,9,7,7,9,8
