signal,aggregation,round,median,q25,q75
expert_mass,aggregate_then_norm,1,1.0,1.0,1.0
expert_mass,aggregate_then_norm,2,0.964574042705744,0.9590218472353114,0.9690974053944654
expert_mass,aggregate_then_norm,3,0.9404715106594956,0.9333012367891127,0.9473205389364565
expert_mass,aggregate_then_norm,4,0.9108134555605832,0.9021774243089575,0.918674327308723
expert_mass,aggregate_then_norm,5,0.8854030967471197,0.8760156857482866,0.8946503835266428
expert_mass,aggregate_then_norm,6,0.8637178115057418,0.852344212472308,0.8766442711393629
expert_mass,aggregate_then_norm,7,0.8533417896255429,0.8405676659996756,0.869689179775802
expert_mass,aggregate_then_norm,8,0.8538508775279315,0.8391309697639899,0.8718961982160413
expert_mass,aggregate_then_norm,9,0.8738267028997111,0.8540826478968377,0.8981572349026347
expert_mass,aggregate_then_norm,10,0.9347164177551626,0.9012392665747309,0.9695316423980328
routed_rms,aggregate_then_norm,1,1.0,1.0,1.0
routed_rms,aggregate_then_norm,2,0.9663556080508187,0.959344147390362,0.9721531438095554
routed_rms,aggregate_then_norm,3,0.9411978295160714,0.9340455179171725,0.9498097967535097
routed_rms,aggregate_then_norm,4,0.9098757413779306,0.9001431851016786,0.9193345878367111
routed_rms,aggregate_then_norm,5,0.8812564476564881,0.8701514376834283,0.8913358431648543
routed_rms,aggregate_then_norm,6,0.8511634488510258,0.839041693224288,0.8653713259565459
routed_rms,aggregate_then_norm,7,0.8301835048078293,0.8180175982171916,0.8485226313340039
routed_rms,aggregate_then_norm,8,0.820251316458156,0.8047717493669642,0.8382183480854272
routed_rms,aggregate_then_norm,9,0.825870119679366,0.8069331683388639,0.8502423582782981
routed_rms,aggregate_then_norm,10,0.8711306916762456,0.8393006566718989,0.9088630857450377
shared_rms,aggregate_then_norm,1,1.0,1.0,1.0
shared_rms,aggregate_then_norm,2,0.9576104153187375,0.9563869151101466,0.9593140411532288
shared_rms,aggregate_then_norm,3,0.8986995933710599,0.8961598669106106,0.9018870120026741
shared_rms,aggregate_then_norm,4,0.832186161017098,0.8278720611662311,0.8365764584198039
shared_rms,aggregate_then_norm,5,0.7619834373159021,0.7564283747162879,0.7679931880706811
shared_rms,aggregate_then_norm,6,0.6878932776886281,0.6806688944400048,0.6950188951991323
shared_rms,aggregate_then_norm,7,0.6128479594270901,0.6046103607123425,0.6209531275866156
shared_rms,aggregate_then_norm,8,0.5425902937413964,0.5335918043648624,0.5509637552658257
shared_rms,aggregate_then_norm,9,0.49034909840026397,0.4817438960512894,0.49933530865402187
shared_rms,aggregate_then_norm,10,0.5044221062993284,0.49473582482096623,0.5150172540989647
routed_over_shared,aggregate_then_norm,1,1.0,1.0,1.0
routed_over_shared,aggregate_then_norm,2,1.009975577745827,1.0031796429499644,1.0162329646933204
routed_over_shared,aggregate_then_norm,3,1.043785110426018,1.034331749406527,1.0522224628286108
routed_over_shared,aggregate_then_norm,4,1.0678794613510527,1.055326714742815,1.0793628268073625
routed_over_shared,aggregate_then_norm,5,1.0942291421870984,1.0777022462734993,1.1125195602328615
routed_over_shared,aggregate_then_norm,6,1.1160566033526629,1.0938304533583787,1.1392560307557602
routed_over_shared,aggregate_then_norm,7,1.1383571382351665,1.1154240657687196,1.1712007224013974
routed_over_shared,aggregate_then_norm,8,1.1631310466281664,1.1390805007457174,1.1986569231452386
routed_over_shared,aggregate_then_norm,9,1.1996371101750634,1.1689017634492544,1.231977812162431
routed_over_shared,aggregate_then_norm,10,1.2158467644460238,1.177990347992581,1.2525106096260046
cancellation,aggregate_then_norm,1,1.0,1.0,1.0
cancellation,aggregate_then_norm,2,1.0017805342041464,0.9996331307422776,1.004249479045623
cancellation,aggregate_then_norm,3,1.0007640356843002,0.9977710086079019,1.0038399394085096
cancellation,aggregate_then_norm,4,0.9984257132130124,0.9948221841283511,1.0022193265257093
cancellation,aggregate_then_norm,5,0.9944957229429564,0.9897171797340885,0.9993372161502758
cancellation,aggregate_then_norm,6,0.9846782918394468,0.9800902779988417,0.9900372764475157
cancellation,aggregate_then_norm,7,0.972819140433813,0.9670412278775357,0.977849595400143
cancellation,aggregate_then_norm,8,0.9572017566263327,0.9517774279070524,0.9630659727400216
cancellation,aggregate_then_norm,9,0.9410066531614772,0.9359397967319788,0.9457726685729413
cancellation,aggregate_then_norm,10,0.9290918672408641,0.9234014367218635,0.9354477538948991
