signal,definition,normalized_trajectory_median,level_085_k2_save_pct,level_085_k2_coverage_pct,level_085_k2_median_stop
routed,RMS(mean_over_action_tokens(vector)),"[1.0, 0.9670693874359131, 0.9461895227432251, 0.9118411540985107, 0.883499264717102, 0.8528371453285217, 0.8275418281555176, 0.8212099075317383, 0.8402005434036255, 0.9022181034088135]",20.0390625,72.8515625,8.0
shared,RMS(mean_over_action_tokens(vector)),"[1.0, 0.9568769931793213, 0.8950070738792419, 0.8258929252624512, 0.7547701597213745, 0.6796994209289551, 0.6041430234909058, 0.5343426465988159, 0.48075664043426514, 0.49450045824050903]",50.0,100.0,5.0
routed_plus_shared,RMS(mean_over_action_tokens(vector)),"[1.0, 0.9583369493484497, 0.8986949920654297, 0.8308907747268677, 0.7610486745834351, 0.6865518093109131, 0.6109110116958618, 0.5401898622512817, 0.4857659339904785, 0.49764013290405273]",50.0,100.0,5.0
