signal,layer,round1_absolute_median,minimum_ratio_median,round10_ratio_median,minimum_round_mode,minimum_round_mode_fraction,level_085_k2_save_pct,level_085_k2_coverage_pct
expert_mass,2,0.19179610908031464,0.7959439448273793,0.8592599151733407,9,0.4296875,33.28125,97.265625
expert_mass,5,0.17891864478588104,0.8736150709529584,0.9322390596358441,6,0.400390625,3.28125,10.546875
expert_mass,12,0.13772041350603104,0.8938533205829243,1.0117079285179005,8,0.587890625,0.1953125,1.171875
expert_mass,15,0.11260642856359482,0.7974297779728218,0.97337663761741,7,0.416015625,25.60546875,73.4375
routed_rms,2,0.10546534135937691,0.768977899781607,0.8263701069621631,9,0.55859375,36.19140625,100.0
routed_rms,5,0.09834343194961548,0.8509588591322403,0.8808776904976103,7,0.291015625,7.05078125,25.1953125
routed_rms,12,0.07434700056910515,0.8797431681743666,0.9848366815719538,8,0.6015625,2.01171875,12.5
routed_rms,15,0.06919921562075615,0.7203992763014941,0.820871390540157,8,0.4609375,32.05078125,90.625
shared_rms,2,0.25217992067337036,0.7997193204580191,1.2395942283867034,6,0.79296875,47.36328125,98.4375
shared_rms,5,0.19273386150598526,0.7283873522531288,0.9611706134805051,7,0.501953125,45.37109375,99.609375
shared_rms,12,0.32556042075157166,0.487613117643239,0.487613117643239,10,1.0,37.05078125,100.0
shared_rms,15,0.9449746310710907,0.21604743621887132,0.21604743621887132,10,1.0,50.0,100.0
routed_over_shared,2,0.41897931694984436,0.6767528012120054,0.6767528012120054,10,0.990234375,3.28125,32.8125
routed_over_shared,5,0.5136789381504059,0.9152141417846397,0.9152141417846397,10,0.896484375,0.0,0.0
routed_over_shared,12,0.22912124544382095,1.0,2.047754080925465,1,0.66015625,0.0,0.0
routed_over_shared,15,0.07362978160381317,1.0,3.8277826074111143,1,0.685546875,0.0,0.0
cancellation,2,0.5494679808616638,0.9566597232193763,0.9599175003125648,10,0.51171875,0.0,0.0
cancellation,5,0.5491490364074707,0.9442438500547481,0.9442438500547481,10,0.978515625,0.0,0.0
cancellation,12,0.5395485162734985,0.9665976219470871,0.9695374146593911,10,0.599609375,0.0,0.0
cancellation,15,0.6056568324565887,0.8512038728662914,0.8512038728662914,10,0.978515625,0.01953125,0.1953125
