signal,token_aggregation,round1_absolute_median,round1_token_cv_median,normalized_trajectory_median,level_085_k2_save_pct,level_085_k2_coverage_pct,level_085_k2_median_stop
expert_mass,token_mean,0.16003324836492538,0.07516159617934734,"[1.0, 0.964574042705744, 0.9404715106594956, 0.9108134555605832, 0.8854030967471197, 0.8637178115057418, 0.8533417896255429, 0.8538508775279315, 0.8738267028997111, 0.9347164177551626]",10.13671875,42.1875,10.0
expert_mass,token_rms_recovered,0.16037319295603827,0.07516159617934734,"[1.0, 0.9649096698315849, 0.9407570878297704, 0.9113182434138452, 0.8853295689593836, 0.863728353643991, 0.8527839976483795, 0.8532465577417246, 0.8718265998212865, 0.9330389253809538]",10.60546875,44.921875,10.0
expert_mass,mean_plus_std_proxy,0.1778518226929009,0.07516159617934734,"[1.0, 0.9670034778550383, 0.941865937856724, 0.913869970120602, 0.8886552962511742, 0.8635656566167409, 0.8514941929091159, 0.8473843845124989, 0.8570177941159559, 0.9227560411066605]",12.67578125,51.171875,9.0
expert_mass,max_upper_bound_mean_plus_3std,0.20846193423494697,0.07516159617934734,"[1.0, 0.9707357379528729, 0.944158554194646, 0.91778631710692, 0.897132584841965, 0.8658663110455554, 0.8511792741561037, 0.8376242920692601, 0.8331241263814181, 0.9026266243030683]",15.3125,60.3515625,9.0
routed_rms,token_mean,0.0918889120221138,0.08927341684567328,"[1.0, 0.9663556080508187, 0.9411978295160714, 0.9098757413779306, 0.8812564476564881, 0.8511634488510258, 0.8301835048078293, 0.820251316458156, 0.825870119679366, 0.8711306916762456]",20.78125,82.8125,8.0
routed_rms,token_rms_recovered,0.09241832388689461,0.08927341684567328,"[1.0, 0.9670042404748969, 0.9414792946412605, 0.9107034218515536, 0.8819842064727723, 0.8510359717538379, 0.8290212058245332, 0.8188339472497365, 0.8220531442263026, 0.8676119284280042]",20.625,82.421875,8.0
routed_rms,mean_plus_std_proxy,0.1019390351139009,0.08927341684567328,"[1.0, 0.9682815102915757, 0.9421695810278816, 0.9119253357314878, 0.8849851270252379, 0.8484905748526732, 0.8261316280005992, 0.8095271404329103, 0.80146099858766, 0.8543269704579046]",22.01171875,86.5234375,7.0
routed_rms,max_upper_bound_mean_plus_3std,0.12384744384326041,0.08927341684567328,"[1.0, 0.97014194515612, 0.9432225808765777, 0.9164313308931546, 0.8900131187922534, 0.8479996559532608, 0.8183894234059657, 0.7898722215066909, 0.770071985560596, 0.8250825083979565]",23.515625,87.6953125,7.0
shared_rms,token_mean,0.2945346534252167,0.065033305113153,"[1.0, 0.9576104153187375, 0.8986995933710599, 0.832186161017098, 0.7619834373159021, 0.6878932776886281, 0.6128479594270901, 0.5425902937413964, 0.49034909840026397, 0.5044221062993284]",49.98046875,100.0,5.0
shared_rms,token_rms_recovered,0.2950306569768835,0.065033305113153,"[1.0, 0.9573207925182905, 0.8982260824198562, 0.8317579759285376, 0.7616178051526074, 0.6876071956724824, 0.6125798474853046, 0.5430928214668946, 0.4917557020328855, 0.506349814254666]",49.98046875,100.0,5.0
shared_rms,mean_plus_std_proxy,0.31206648936495185,0.065033305113153,"[1.0, 0.9535941482698513, 0.89245165266218, 0.8241013745012921, 0.753718716098399, 0.6806658688040438, 0.6097646441560322, 0.5475101571798733, 0.5055158138525018, 0.5242845965727456]",50.0,100.0,5.0
shared_rms,max_upper_bound_mean_plus_3std,0.34723157016560435,0.065033305113153,"[1.0, 0.9468714786872183, 0.8818238515186143, 0.8114232163686894, 0.739170343236864, 0.6684407862418097, 0.6050100878780174, 0.5550076064690845, 0.528587926546725, 0.55344996802227]",50.0,100.0,5.0
