corpus,event,lead,score,auc_event_high,auc_detection,events,control_episodes,pairs,matched_groups
main16x32,loop,-2,r1_commitment,0.542907180385289,0.542907180385289,103,330,1142,58
main16x32,loop,-2,r1_entropy,0.45709281961471104,0.542907180385289,103,330,1142,58
main16x32,loop,-2,r1_margin,0.4973730297723292,0.5026269702276708,103,330,1142,58
main16x32,loop,-2,r1_top4_mass,0.5262697022767076,0.5262697022767076,103,330,1142,58
main16x32,loop,-2,r2_late_volatility,0.5595446584938704,0.5595446584938704,103,330,1142,58
main16x32,loop,-2,r2_route_acceleration,0.62784588441331,0.62784588441331,103,330,1142,58
main16x32,loop,-2,r2_flow_instability,0.5989492119089317,0.5989492119089317,103,330,1142,58
main16x32,loop,-2,r3_token_consensus,0.45884413309982486,0.5411558669001751,103,330,1142,58
main16x32,loop,-2,r3_effective_rank,0.5612959719789843,0.5612959719789843,103,330,1142,58
main16x32,loop,-2,r3_token_expert_mi,0.5175131348511384,0.5175131348511384,103,330,1142,58
main16x32,loop,-2,r3_occupancy_concentration,0.5485989492119089,0.5485989492119089,103,330,1142,58
main16x32,loop,-2,r3_support_union_fraction,0.5512259194395797,0.5512259194395797,103,330,1142,58
main16x32,loop,-2,r3_loop_graph_evidence,0.537215411558669,0.537215411558669,103,330,1142,58
main16x32,loop,-2,r3_static_authority_loss,0.4702276707530648,0.5297723292469352,103,330,1142,58
main16x32,loop,-2,r3_static_lockin,0.4929947460595447,0.5070052539404553,103,330,1142,58
main16x32,loop,-2,r4_healthy_energy,0.6033274956217163,0.6033274956217163,103,330,1142,58
main16x32,loop,0,r1_commitment,0.717741935483871,0.717741935483871,103,322,1116,58
main16x32,loop,0,r1_entropy,0.28225806451612906,0.717741935483871,103,322,1116,58
main16x32,loop,0,r1_margin,0.5716845878136201,0.5716845878136201,103,322,1116,58
main16x32,loop,0,r1_top4_mass,0.7275985663082437,0.7275985663082437,103,322,1116,58
main16x32,loop,0,r2_late_volatility,0.6630824372759857,0.6630824372759857,103,322,1116,58
main16x32,loop,0,r2_route_acceleration,0.7625448028673835,0.7625448028673835,103,322,1116,58
main16x32,loop,0,r2_flow_instability,0.7293906810035843,0.7293906810035843,103,322,1116,58
main16x32,loop,0,r3_token_consensus,0.33154121863799285,0.6684587813620071,103,322,1116,58
main16x32,loop,0,r3_effective_rank,0.6335125448028673,0.6335125448028673,103,322,1116,58
main16x32,loop,0,r3_token_expert_mi,0.6702508960573477,0.6702508960573477,103,322,1116,58
main16x32,loop,0,r3_occupancy_concentration,0.478494623655914,0.521505376344086,103,322,1116,58
main16x32,loop,0,r3_support_union_fraction,0.4520609318996416,0.5479390681003584,103,322,1116,58
main16x32,loop,0,r3_loop_graph_evidence,0.692652329749104,0.692652329749104,103,322,1116,58
main16x32,loop,0,r3_static_authority_loss,0.4345878136200717,0.5654121863799283,103,322,1116,58
main16x32,loop,0,r3_static_lockin,0.4014336917562724,0.5985663082437276,103,322,1116,58
main16x32,loop,0,r4_healthy_energy,0.6093189964157706,0.6093189964157706,103,322,1116,58
main16x32,static,-2,r1_commitment,0.4158878504672897,0.5841121495327103,126,168,1070,41
main16x32,static,-2,r1_entropy,0.5841121495327103,0.5841121495327103,126,168,1070,41
main16x32,static,-2,r1_margin,0.2803738317757009,0.719626168224299,126,168,1070,41
main16x32,static,-2,r1_top4_mass,0.28785046728971964,0.7121495327102804,126,168,1070,41
main16x32,static,-2,r2_late_volatility,0.19532710280373833,0.8046728971962617,126,168,1070,41
main16x32,static,-2,r2_route_acceleration,0.3317757009345794,0.6682242990654206,126,168,1070,41
main16x32,static,-2,r2_flow_instability,0.2504672897196262,0.7495327102803738,126,168,1070,41
main16x32,static,-2,r3_token_consensus,0.8700934579439252,0.8700934579439252,126,168,1070,41
main16x32,static,-2,r3_effective_rank,0.19439252336448598,0.805607476635514,126,168,1070,41
main16x32,static,-2,r3_token_expert_mi,0.1261682242990654,0.8738317757009346,126,168,1070,41
main16x32,static,-2,r3_occupancy_concentration,0.6892523364485982,0.6892523364485982,126,168,1070,41
main16x32,static,-2,r3_support_union_fraction,0.33271028037383177,0.6672897196261682,126,168,1070,41
main16x32,static,-2,r3_loop_graph_evidence,0.15794392523364487,0.8420560747663551,126,168,1070,41
main16x32,static,-2,r3_static_authority_loss,0.8,0.8,126,168,1070,41
main16x32,static,-2,r3_static_lockin,0.9719626168224299,0.9719626168224299,126,168,1070,41
main16x32,static,-2,r4_healthy_energy,0.7644859813084112,0.7644859813084112,126,168,1070,41
main16x32,static,0,r1_commitment,0.22697795071335927,0.7730220492866408,126,140,771,41
main16x32,static,0,r1_entropy,0.7730220492866408,0.7730220492866408,126,140,771,41
main16x32,static,0,r1_margin,0.1932555123216602,0.8067444876783398,126,140,771,41
main16x32,static,0,r1_top4_mass,0.14007782101167315,0.8599221789883269,126,140,771,41
main16x32,static,0,r2_late_volatility,0.13359273670557717,0.8664072632944229,126,140,771,41
main16x32,static,0,r2_route_acceleration,0.21011673151750973,0.7898832684824902,126,140,771,41
main16x32,static,0,r2_flow_instability,0.1621271076523995,0.8378728923476005,126,140,771,41
main16x32,static,0,r3_token_consensus,0.8923476005188068,0.8923476005188068,126,140,771,41
main16x32,static,0,r3_effective_rank,0.14137483787289234,0.8586251621271077,126,140,771,41
main16x32,static,0,r3_token_expert_mi,0.10505836575875487,0.8949416342412452,126,140,771,41
main16x32,static,0,r3_occupancy_concentration,0.6251621271076524,0.6251621271076524,126,140,771,41
main16x32,static,0,r3_support_union_fraction,0.4079118028534371,0.5920881971465629,126,140,771,41
main16x32,static,0,r3_loop_graph_evidence,0.10376134889753567,0.8962386511024644,126,140,771,41
main16x32,static,0,r3_static_authority_loss,0.808041504539559,0.808041504539559,126,140,771,41
main16x32,static,0,r3_static_lockin,0.9857328145265889,0.9857328145265889,126,140,771,41
main16x32,static,0,r4_healthy_energy,0.7859922178988327,0.7859922178988327,126,140,771,41
grid50x8,loop,-2,r1_commitment,0.6163522012578616,0.6163522012578616,306,632,1113,218
grid50x8,loop,-2,r1_entropy,0.3836477987421384,0.6163522012578616,306,632,1113,218
grid50x8,loop,-2,r1_margin,0.6307277628032345,0.6307277628032345,306,632,1113,218
grid50x8,loop,-2,r1_top4_mass,0.6109613656783468,0.6109613656783468,306,632,1113,218
grid50x8,loop,-2,r2_late_volatility,0.683288409703504,0.683288409703504,306,632,1113,218
grid50x8,loop,-2,r2_route_acceleration,0.6783468104222821,0.6783468104222821,306,632,1113,218
grid50x8,loop,-2,r2_flow_instability,0.6729559748427673,0.6729559748427673,306,632,1113,218
grid50x8,loop,-2,r3_token_consensus,0.4339622641509434,0.5660377358490566,306,632,1113,218
grid50x8,loop,-2,r3_effective_rank,0.5911949685534591,0.5911949685534591,306,632,1113,218
grid50x8,loop,-2,r3_token_expert_mi,0.5669362084456424,0.5669362084456424,306,632,1113,218
grid50x8,loop,-2,r3_occupancy_concentration,0.5175202156334232,0.5175202156334232,306,632,1113,218
grid50x8,loop,-2,r3_support_union_fraction,0.49865229110512127,0.5013477088948788,306,632,1113,218
grid50x8,loop,-2,r3_loop_graph_evidence,0.5813117699910153,0.5813117699910153,306,632,1113,218
grid50x8,loop,-2,r3_static_authority_loss,0.4582210242587601,0.5417789757412399,306,632,1113,218
grid50x8,loop,-2,r3_static_lockin,0.39847259658580414,0.6015274034141959,306,632,1113,218
grid50x8,loop,-2,r4_healthy_energy,0.522911051212938,0.522911051212938,306,632,1113,218
grid50x8,loop,0,r1_commitment,0.782991202346041,0.782991202346041,284,594,1023,200
grid50x8,loop,0,r1_entropy,0.21652003910068426,0.7834799608993157,284,594,1023,200
grid50x8,loop,0,r1_margin,0.6578690127077224,0.6578690127077224,284,594,1023,200
grid50x8,loop,0,r1_top4_mass,0.7458455522971652,0.7458455522971652,284,594,1023,200
grid50x8,loop,0,r2_late_volatility,0.7419354838709677,0.7419354838709677,284,594,1023,200
