cohort,timing,method,parents,task_clusters,eligible_parents,success_rate,native_success_rate,delta_vs_native_pp,random_success_rate,delta_vs_random_pp,cluster_ci95_pp,rescued_repeats,failed_repeats,rescue_rate,harmed_repeats,successful_repeats,harm_rate,rescued_unique_parents,harmed_unique_parents,changed_vs_random_parents,mean_model_queries,query_overhead_percent,deployable
primary,after_alarm,candidate0,23,8,23,0.30434782608695654,0.30434782608695654,0.0,0.30434782608695654,0.0,,0,32,0.0,0,14,0.0,0,0,0,44.369565217391305,0.0,True
primary,after_alarm,short2_once,23,8,23,0.2608695652173913,0.30434782608695654,-4.3478260869565215,0.30434782608695654,-4.3478260869565215,"[-9.67741935483871, 0.0]",0,32,0.0,2,14,0.14285714285714285,0,2,2,46.391304347826086,4.55658990690837,True
primary,after_alarm,short2_5,23,8,23,0.2826086956521739,0.30434782608695654,-2.1739130434782608,0.30434782608695654,-2.1739130434782608,"[-4.838709677419355, 0.0]",0,32,0.0,1,14,0.07142857142857142,0,1,1,48.58695652173913,9.505144536991672,True
primary,after_alarm,short5_5,23,8,23,0.30434782608695654,0.30434782608695654,0.0,0.30434782608695654,0.0,,0,32,0.0,0,14,0.0,0,0,0,46.76086956521739,5.3895149436550716,True
primary,after_alarm,short2_20,23,8,23,0.2826086956521739,0.30434782608695654,-2.1739130434782608,0.30434782608695654,-2.1739130434782608,"[-4.838709677419355, 0.0]",0,32,0.0,1,14,0.07142857142857142,0,1,1,58.06521739130435,30.867221950024515,True
primary,after_alarm,center5_5,23,8,23,0.2826086956521739,0.30434782608695654,-2.1739130434782608,0.30434782608695654,-2.1739130434782608,"[-4.838709677419355, 0.0]",0,32,0.0,1,14,0.07142857142857142,0,1,1,60.34782608695652,36.01175894169526,True
primary,after_alarm,edge5_5,23,8,23,0.30434782608695654,0.30434782608695654,0.0,0.30434782608695654,0.0,,0,32,0.0,0,14,0.0,0,0,0,59.54347826086956,34.198922097011256,True
primary,after_alarm,knn5_5,23,8,23,0.30434782608695654,0.30434782608695654,0.0,0.30434782608695654,0.0,,0,32,0.0,0,14,0.0,0,0,0,59.52173913043478,34.14992650661439,True
primary,after_alarm,guarded_knn5_5,23,8,23,0.30434782608695654,0.30434782608695654,0.0,0.30434782608695654,0.0,,0,32,0.0,0,14,0.0,0,0,0,59.54347826086956,34.198922097011256,True
primary,after_alarm,center_once,23,8,23,0.2826086956521739,0.30434782608695654,-2.1739130434782608,0.30434782608695654,-2.1739130434782608,"[-4.838709677419355, 0.0]",0,32,0.0,1,14,0.07142857142857142,0,1,1,47.97826086956522,8.13326800587948,True
