timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], power.draw [W]
2026/08/29 06:22:53.550, 0 %, 0 %, 1 MiB, 40445 MiB, 31.51 W
2026/08/29 06:22:58.560, 0 %, 0 %, 1 MiB, 40445 MiB, 31.51 W
2026/08/29 06:23:03.560, 0 %, 0 %, 1 MiB, 40445 MiB, 31.61 W
2026/08/29 06:23:08.561, 0 %, 0 %, 1 MiB, 40445 MiB, 31.31 W
2026/08/29 06:23:13.561, 0 %, 0 %, 1 MiB, 40445 MiB, 31.61 W
2026/08/29 06:23:18.561, 0 %, 0 %, 1 MiB, 40445 MiB, 31.31 W
2026/08/29 06:23:23.562, 0 %, 0 %, 1 MiB, 40445 MiB, 31.40 W
2026/08/29 06:23:28.562, 0 %, 0 %, 1 MiB, 40445 MiB, 31.61 W
2026/08/29 06:23:33.563, 0 %, 0 %, 1 MiB, 40445 MiB, 31.40 W
2026/08/29 06:23:38.563, 0 %, 0 %, 1 MiB, 40445 MiB, 31.51 W
2026/08/29 06:23:43.563, 0 %, 0 %, 1 MiB, 40445 MiB, 31.61 W
2026/08/29 06:23:48.564, 0 %, 0 %, 1 MiB, 40445 MiB, 31.40 W
2026/08/29 06:23:53.564, 0 %, 0 %, 1 MiB, 40445 MiB, 31.61 W
2026/08/29 06:23:58.565, 0 %, 0 %, 1 MiB, 40445 MiB, 31.61 W
2026/08/29 06:24:03.565, 0 %, 0 %, 1 MiB, 40445 MiB, 31.61 W
2026/08/29 06:24:08.651, 0 %, 0 %, 4 MiB, 40441 MiB, 31.61 W
2026/08/29 06:24:13.651, 0 %, 0 %, 4 MiB, 40441 MiB, 31.40 W
2026/08/29 06:24:18.651, 0 %, 0 %, 4 MiB, 40441 MiB, 31.61 W
2026/08/29 06:24:23.652, 0 %, 0 %, 4 MiB, 40441 MiB, 31.61 W
2026/08/29 06:24:28.652, 0 %, 0 %, 4 MiB, 40441 MiB, 31.40 W
2026/08/29 06:24:33.653, 0 %, 0 %, 4 MiB, 40441 MiB, 31.61 W
2026/08/29 06:24:38.653, 0 %, 0 %, 4 MiB, 40441 MiB, 31.40 W
2026/08/29 06:24:43.654, 0 %, 0 %, 4 MiB, 40441 MiB, 31.51 W
2026/08/29 06:24:48.654, 0 %, 0 %, 4 MiB, 40441 MiB, 31.31 W
2026/08/29 06:24:53.654, 0 %, 0 %, 4 MiB, 40441 MiB, 31.61 W
2026/08/29 06:24:58.655, 0 %, 0 %, 4 MiB, 40441 MiB, 31.51 W
2026/08/29 06:25:03.655, 0 %, 0 %, 4 MiB, 40441 MiB, 31.61 W
2026/08/29 06:25:08.656, 0 %, 0 %, 4 MiB, 40441 MiB, 31.61 W
2026/08/29 06:25:13.656, 34 %, 0 %, 4255 MiB, 36190 MiB, 35.27 W
2026/08/29 06:25:18.657, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.78 W
2026/08/29 06:25:23.657, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.49 W
2026/08/29 06:25:28.657, 0 %, 0 %, 16045 MiB, 24400 MiB, 45.63 W
2026/08/29 06:25:33.658, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.58 W
2026/08/29 06:25:38.658, 0 %, 0 %, 16045 MiB, 24400 MiB, 34.07 W
2026/08/29 06:25:43.659, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.58 W
2026/08/29 06:25:48.659, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.78 W
2026/08/29 06:25:53.659, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.78 W
2026/08/29 06:25:58.660, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.68 W
2026/08/29 06:26:03.660, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.88 W
2026/08/29 06:26:08.661, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.78 W
2026/08/29 06:26:13.661, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.68 W
2026/08/29 06:26:18.662, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.78 W
2026/08/29 06:26:23.662, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.58 W
