task,head,quantile,threshold,reference_episodes,calibration_statistic,outcomes_used
libero_goal/open_the_middle_drawer_of_the_cabinet,lock,0.5,-0.032241955,400,trajectory_max_persistent_score,False
libero_goal/open_the_middle_drawer_of_the_cabinet,lock,0.6,-0.03182141,400,trajectory_max_persistent_score,False
libero_goal/open_the_middle_drawer_of_the_cabinet,lock,0.7,-0.031362884,400,trajectory_max_persistent_score,False
libero_goal/open_the_middle_drawer_of_the_cabinet,lock,0.75,-0.031134201,400,trajectory_max_persistent_score,False
libero_goal/open_the_middle_drawer_of_the_cabinet,lock,0.8,-0.030924043,400,trajectory_max_persistent_score,False
libero_goal/open_the_middle_drawer_of_the_cabinet,lock,0.85,-0.030701652,400,trajectory_max_persistent_score,False
libero_goal/open_the_middle_drawer_of_the_cabinet,lock,0.9,-0.030449696,400,trajectory_max_persistent_score,False
libero_goal/open_the_middle_drawer_of_the_cabinet,lock,0.925,-0.030320644,400,trajectory_max_persistent_score,False
libero_goal/open_the_middle_drawer_of_the_cabinet,lock,0.95,-0.030075248,400,trajectory_max_persistent_score,False
libero_goal/open_the_middle_drawer_of_the_cabinet,lock,0.96,-0.02997941,400,trajectory_max_persistent_score,False
libero_goal/open_the_middle_drawer_of_the_cabinet,lock,0.975,-0.029877096,400,trajectory_max_persistent_score,False
libero_goal/open_the_middle_drawer_of_the_cabinet,lock,0.98,-0.029832695,400,trajectory_max_persistent_score,False
libero_goal/open_the_middle_drawer_of_the_cabinet,lock,0.99,-0.029702066,400,trajectory_max_persistent_score,False
libero_goal/open_the_middle_drawer_of_the_cabinet,lock,0.995,-0.029288627,400,trajectory_max_persistent_score,False
libero_goal/open_the_middle_drawer_of_the_cabinet,lock,1.0,-0.029127888,400,trajectory_max_persistent_score,False
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,lock,0.5,-0.038500346,400,trajectory_max_persistent_score,False
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,lock,0.6,-0.038146123,400,trajectory_max_persistent_score,False
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,lock,0.7,-0.037599906,400,trajectory_max_persistent_score,False
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,lock,0.75,-0.03720103,400,trajectory_max_persistent_score,False
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,lock,0.8,-0.036342733,400,trajectory_max_persistent_score,False
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,lock,0.85,-0.034885682,400,trajectory_max_persistent_score,False
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,lock,0.9,-0.025304094,400,trajectory_max_persistent_score,False
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,lock,0.925,-0.0235928,400,trajectory_max_persistent_score,False
