task,episodes,successes,failures,true_alarms,false_alarms,recall,recall_ci_low,recall_ci_high,false_positive_rate,fpr_ci_low,fpr_ci_high,precision
libero_goal/put_the_bowl_on_the_plate,800,770,30,3,76,0.1,0.03459988874733419,0.25621082579184085,0.0987012987012987,0.07958474714757134,0.12180205766150516,0.0379746835443038
libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,800,797,3,0,63,0.0,5.551115123125783e-17,0.5614970317550454,0.07904642409033877,0.06227007301265462,0.09986121700808993,0.0
libero_goal/turn_on_the_stove,800,800,0,0,63,nan,nan,nan,0.07875,0.06203471192750583,0.09949149127577626,0.0
libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,800,710,90,6,52,0.06666666666666667,0.030909927745827924,0.13790094774325526,0.07323943661971831,0.05628663047114037,0.0947853722657898,0.10344827586206896
libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,800,794,6,3,51,0.5,0.1876163064826506,0.8123836935173494,0.06423173803526448,0.049189240709224036,0.0834705222681732,0.05555555555555555
libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,800,799,1,0,49,0.0,0.0,0.7934506856227626,0.06132665832290363,0.04669698568359695,0.08015428451648784,0.0
libero_goal/open_the_middle_drawer_of_the_cabinet,1312,1312,0,0,78,nan,nan,nan,0.05945121951219512,0.047896124353090805,0.07357858504233283,0.0
libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,800,783,17,2,46,0.11764705882352941,0.03287977376379267,0.3433635059488588,0.05874840357598978,0.04433135443116212,0.07747394414110659,0.041666666666666664
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,1312,1199,113,98,69,0.8672566371681416,0.7924865385236264,0.9178777520093468,0.057547956630525435,0.045724368946769234,0.07219762133760307,0.5868263473053892
libero_goal/put_the_cream_cheese_in_the_bowl,800,781,19,14,43,0.7368421052631579,0.5120844910218489,0.8819358765321748,0.05505761843790013,0.04112986383120659,0.07334097331810795,0.24561403508771928
libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,800,768,32,19,42,0.59375,0.42260024875382873,0.7448036515733456,0.0546875,0.040711009133557054,0.0730966359687262,0.3114754098360656
libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,800,762,38,11,41,0.2894736842105263,0.17003277828483065,0.44757137675752057,0.05380577427821522,0.039907677521621096,0.07218008925047283,0.21153846153846154
libero_goal/put_the_bowl_on_top_of_the_cabinet,800,769,31,9,38,0.2903225806451613,0.1609580015630062,0.46592329330749926,0.0494148244473342,0.03621109255675646,0.06709788227816894,0.19148936170212766
libero_goal/push_the_plate_to_the_front_of_the_stove,800,797,3,1,39,0.3333333333333333,0.06149194472039621,0.7923403991979522,0.04893350062735257,0.03600018765167966,0.06619414547039983,0.025
libero_goal/put_the_bowl_on_the_stove,800,785,15,3,38,0.2,0.07047549346981563,0.45185448715169363,0.048407643312101914,0.035468820349664434,0.06574474788755257,0.07317073170731707
libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,800,763,37,8,36,0.21621621621621623,0.11386511993385592,0.3719514839196916,0.047182175622542594,0.03427323745883301,0.0646278560440258,0.18181818181818182
libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,800,789,11,5,37,0.45454545454545453,0.21271271622459764,0.719908462590678,0.046894803548795945,0.034211394065866194,0.063968964635959,0.11904761904761904
libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,800,790,10,2,37,0.2,0.05668215145437519,0.5098375284633583,0.04683544303797468,0.03416784758696277,0.06388883357495709,0.05128205128205128
libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,800,786,14,2,36,0.14285714285714285,0.040093921271464966,0.39941379496970353,0.04580152671755725,0.03326482727107476,0.06275628933874766,0.05263157894736842
libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,800,744,56,14,34,0.25,0.15517054688270684,0.376926421476675,0.0456989247311828,0.032884566994900846,0.06318052537639435,0.2916666666666667
libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket,800,795,5,0,36,0.0,0.0,0.43448246478317476,0.045283018867924525,0.032886202221114304,0.06205311018344794,0.0
libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,800,774,26,23,34,0.8846153846153846,0.7102409678828635,0.9599675537638938,0.04392764857881137,0.031603144702386544,0.06075688317477861,0.40350877192982454
libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket,800,800,0,0,35,nan,nan,nan,0.04375,0.03162362448958758,0.060237100048091796,0.0
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,1312,1167,145,37,51,0.25517241379310346,0.1911691856457023,0.33181318390005676,0.043701799485861184,0.033393882960147586,0.05700388867949076,0.42045454545454547
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1312,807,505,65,35,0.12871287128712872,0.10228415722008163,0.16074759166863709,0.04337050805452292,0.03134788194687904,0.05971980831169603,0.65
libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,800,795,5,2,33,0.4,0.11762077423264783,0.769275718723987,0.04150943396226415,0.02970759715049829,0.05772083817858315,0.05714285714285714
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,1312,1263,49,7,50,0.14285714285714285,0.0709642372040676,0.26667706223914406,0.0395882818685669,0.030156613818690545,0.05181217406528066,0.12280701754385964
libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,800,790,10,9,31,0.9,0.5958499732047615,0.9821237869049271,0.039240506329113925,0.027780458657108785,0.05515985403266447,0.225
libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket,800,792,8,6,31,0.75,0.40927543031016883,0.9285207872478909,0.039141414141414144,0.02770996241956105,0.05502191601042212,0.16216216216216217
libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,800,779,21,9,27,0.42857142857142855,0.2446996892537596,0.6345344563069328,0.03465982028241335,0.02392799800826137,0.04995855739700418,0.25
libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,800,788,12,0,27,0.0,2.7755575615628914e-17,0.24249400665524085,0.03426395939086294,0.02365349022377984,0.04939327712638973,0.0
libero_object/pick_up_the_butter_and_place_it_in_the_basket,800,798,2,0,26,0.0,0.0,0.6576197724933469,0.03258145363408521,0.022329967231507153,0.04731155380286636,0.0
libero_object/pick_up_the_milk_and_place_it_in_the_basket,800,785,15,6,25,0.4,0.1982449614134158,0.6425316987937539,0.03184713375796178,0.021663139054578895,0.04659070107850219,0.1935483870967742
libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,800,794,6,2,25,0.3333333333333333,0.09677141110578041,0.700006684861608,0.031486146095717885,0.02141655983950961,0.046067347176651584,0.07407407407407407
libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,800,793,7,2,23,0.2857142857142857,0.08221892400405678,0.6410655481673808,0.029003783102143757,0.019403274687229178,0.04314550244901355,0.08
