group_type,group,detector,episodes,successes,failures,true_alarms,false_alarms,recall,recall_ci_low,recall_ci_high,false_positive_rate,fpr_ci_low,fpr_ci_high,precision
all_observational,all,HB_MoE,34560,33157,1403,383,1559,0.2729864575908767,0.2503189187668463,0.2968937426129409,0.04701872907681636,0.04479228898182628,0.04935011879444844,0.1972193614830072
all_observational,all,length_only_same_run,34560,33157,1403,1403,934,1.0,0.997269444402133,1.0,0.028169014084507043,0.026442028280322178,0.030005316734886708,0.6003423192126658
suite,libero_goal,HB_MoE,9024,8774,250,67,508,0.268,0.21691132145905745,0.32611052950682884,0.05789833599270572,0.053202178959282406,0.06298144814369674,0.11652173913043479
suite,libero_goal,length_only_same_run,9024,8774,250,250,172,1.0,0.9848667005045553,0.9999999999999998,0.019603373603829497,0.016905849516138084,0.022721370963123877,0.5924170616113744
suite,libero_long,HB_MoE,8512,7755,757,112,338,0.14795244385733158,0.12443873106616328,0.17502110538103674,0.04358478401031592,0.03926216689264969,0.04835935011203295,0.24888888888888888
suite,libero_long,length_only_same_run,8512,7755,757,757,313,1.0,0.9949510390421568,1.0,0.040361057382333976,0.03620361893442386,0.044973636995281265,0.7074766355140187
suite,libero_object,HB_MoE,8000,7919,81,31,273,0.38271604938271603,0.28446535970964615,0.4915875245275869,0.034474049753756786,0.030676114540216064,0.038723413606159,0.10197368421052631
suite,libero_object,length_only_same_run,8000,7919,81,81,237,1.0,0.9547219145675847,1.0,0.029928021214799847,0.026397146331621497,0.03391473310005657,0.25471698113207547
suite,libero_spatial,HB_MoE,9024,8709,315,173,440,0.5492063492063493,0.49399460201743617,0.6032324026345321,0.05052244804225514,0.046117466291307925,0.05532377569593288,0.2822185970636215
suite,libero_spatial,length_only_same_run,9024,8709,315,315,212,1.0,0.9879518214635491,0.9999999999999999,0.02434263405672293,0.021309619771206025,0.02779507940675923,0.5977229601518027
data_root,cache,HB_MoE,2560,2253,307,82,119,0.2671009771986971,0.22070940998424937,0.3192489966500208,0.052818464269862406,0.04432030179923505,0.06283895738375941,0.4079601990049751
data_root,cache,length_only_same_run,2560,2253,307,307,50,1.0,0.9876417424005526,0.9999999999999998,0.022192632046160676,0.016874199752421604,0.029137653856008736,0.8599439775910365
data_root,cache_new,HB_MoE,32000,30904,1096,301,1440,0.27463503649635035,0.24903259088379603,0.3018117639655912,0.046595909914574164,0.04430181241489238,0.049002712349896185,0.17288914417001724
data_root,cache_new,length_only_same_run,32000,30904,1096,1096,884,1.0,0.9965072613058129,0.9999999999999999,0.028604711364224697,0.02680401365017804,0.030522586176644672,0.5535353535353535
run_regime,duplicate_pin_base,HB_MoE,512,500,12,2,21,0.16666666666666666,0.04696514218385378,0.4480308622529734,0.042,0.027632310108451703,0.06335158575433016,0.08695652173913043
run_regime,duplicate_pin_base,length_only_same_run,512,500,12,12,17,1.0,0.7575059933447592,1.0,0.034,0.02133451980853219,0.053771365501634506,0.41379310344827586
run_regime,front_layer_intervention,HB_MoE,1024,997,27,3,37,0.1111111111111111,0.038520348283098374,0.2805780081827982,0.037111334002006016,0.02704266323009725,0.05073335027799208,0.075
run_regime,front_layer_intervention,length_only_same_run,1024,997,27,27,16,1.0,0.8754449702581328,0.9999999999999998,0.0160481444332999,0.009902018375791114,0.025909306689546045,0.627906976744186
run_regime,observational,HB_MoE,34560,33157,1403,383,1559,0.2729864575908767,0.2503189187668463,0.2968937426129409,0.04701872907681636,0.04479228898182628,0.04935011879444844,0.1972193614830072
run_regime,observational,length_only_same_run,34560,33157,1403,1403,934,1.0,0.997269444402133,1.0,0.028169014084507043,0.026442028280322178,0.030005316734886708,0.6003423192126658
run_regime,smoke,HB_MoE,2,2,0,0,0,nan,nan,nan,0.0,0.0,0.6576197724933469,nan
run_regime,smoke,length_only_same_run,2,2,0,0,0,nan,nan,nan,0.0,0.0,0.6576197724933469,nan
