detector,target_calibration_fpr,episodes,successes,failures,true_alarms,false_alarms,recall,recall_ci_low,recall_ci_high,false_positive_rate,fpr_ci_low,fpr_ci_high,precision,task_macro_recall,task_macro_false_positive_rate
HB_MoE,0.01,34560,33157,1403,284,886,0.20242337847469707,0.18222394573012615,0.2242479102386685,0.026721355973097688,0.02503958245461589,0.028512781740543135,0.24273504273504273,0.2541646231584779,0.027247982178225726
length_only_same_run,0.01,34560,33157,1403,1338,273,0.9536707056307911,0.9413784987490237,0.963485366342862,0.00823355550864071,0.0073162575566337535,0.009264789082471895,0.8305400372439479,0.989132802498369,0.00821037545833351
HB_MoE,0.05,34560,33157,1403,383,1559,0.2729864575908767,0.2503189187668463,0.2968937426129409,0.04701872907681636,0.04479228898182628,0.04935011879444844,0.1972193614830072,0.305659181518533,0.04691515275425785
length_only_same_run,0.05,34560,33157,1403,1403,934,1.0,0.997269444402133,1.0,0.028169014084507043,0.026442028280322178,0.030005316734886708,0.6003423192126658,1.0,0.0285612178458708
HB_MoE,0.1,34560,33157,1403,492,2941,0.35067712045616534,0.3261465095376646,0.37602320022392216,0.08869921886781072,0.08568646150855797,0.09180726904498554,0.14331488494028546,0.39610108428327573,0.08866313141513044
length_only_same_run,0.1,34560,33157,1403,1403,1741,1.0,0.997269444402133,1.0,0.05250776608257683,0.05015836183120344,0.05496084822109365,0.4462468193384224,1.0,0.05268027201207711
