query_index,actions_generated_through_query,at_risk_episodes,at_risk_successes,at_risk_failures,score_supported,point_score_auc,cumulative_failure_recall,cumulative_success_fpr
7,80,34286,32883,1403,34286,0.6037629818621494,0.03706343549536707,0.02119636286226926
12,130,20713,19310,1403,20343,0.635185324384016,0.17462580185317178,0.027187985499741066
20,210,8578,7175,1403,7833,0.5502072983042013,0.22950819672131148,0.03637630662020906
27,280,2369,1281,1088,1640,0.5110599238077631,0.15716911764705882,0.06479313036690086
34,350,1632,875,757,1312,0.7710761038929171,0.10700132100396301,0.05714285714285714
